# trial_index,allocated_resources
0,5
1,5
2,9
3,9
4,2
5,5
6,9
7,9
8,5
9,2
10,0
11,0
12,5
13,9
14,7
15,9
16,0
17,0
18,5
19,9
20,5
21,9
22,1
23,5
24,5
25,9
26,9
27,5
28,9
29,9
30,5
31,2
32,0
33,5
34,9
35,9
36,5
37,5
38,9
39,9
40,5
41,2
42,0
43,0
44,0
45,5
46,9
47,9
48,5
49,2
50,0
51,0
52,0
53,5
54,5
55,9
56,5
57,2
58,1
59,2
60,1
61,5
62,9
63,7
64,5
65,9
66,9
67,5
68,2
69,5
70,9
71,9
72,5
73,9
74,9
75,5
76,2
77,5
78,9
79,5
80,1
81,9
82,1
83,0
84,0
85,5
86,9
87,9
88,5
89,2
90,5
91,5
92,2
93,9
94,9
95,0
96,5
97,9
98,9
99,2
100,5
101,0
102,0
103,0
104,0
105,0
106,5
107,5
108,9
109,9
110,2
111,5
112,9
113,5
114,5
115,9
116,9
117,5
118,9
119,9
120,5
121,9
122,8
123,4
124,3
125,1
126,0
127,0
128,5
129,9
130,9
131,5
132,2
133,0
134,0
135,5
136,5
137,9
138,9
139,5
140,9
141,1
142,9
143,4
144,2
145,5
146,9
147,9
148,5
149,2
150,0
151,8
152,5
153,9
154,2
155,5
156,5
157,9
158,9
159,2
160,5
161,0
162,5
163,2
164,9
165,9
166,2
167,2
168,1
169,0
170,5
171,5
172,9
173,9
174,2
175,0
176,0
177,5
178,9
179,9
180,5
181,9
182,6
183,1
184,9
185,0
186,0
187,5
188,9
189,9
190,5
191,5
192,9
193,5
194,2
195,9
196,0
197,5
198,5
199,9
200,2
201,9
202,5
203,9
204,9
205,5
206,5
207,9
208,2
209,9
210,0
211,0
212,0
213,0
214,0
215,5
216,5
217,9
218,9
219,1
220,1
221,5
222,5
223,8
224,9
225,5
226,5
227,9
228,5
229,1
230,5
231,0
232,0
233,0
234,5
235,9
236,5
237,9
238,2
239,0
240,0
241,5
242,9
243,9
244,5
245,2
246,0
247,0
248,5
249,9
250,9
251,5
252,2
253,0
254,5
255,9
256,9
257,5
258,9
259,2
260,5
261,9
262,9
263,5
264,2
265,0
266,0
267,5
268,9
269,9
270,5
271,9
272,9
273,5
274,2
275,0
276,0
277,0
278,0
279,8
280,5
281,9
282,5
283,5
284,2
285,9
286,9
287,0
288,5
289,9
290,9
291,5
292,1
293,1
294,5
295,5
296,9
297,2
298,9
299,0
300,5
301,9
302,9
303,5
304,1
305,5
306,9
307,9
308,5
309,2
310,0
311,5
312,5
313,2
314,9
315,5
316,9
317,7
318,5
319,5
320,9
321,5
322,9
323,1
324,1
325,0
326,0
327,5
328,9
329,9
330,5
331,5
332,5
333,9
334,2
335,9
336,0
337,0
338,5
339,9
340,6
341,5
342,5
343,9
344,9
345,2
346,5
347,9
348,9
349,5
350,5
351,9
352,6
353,9
354,1
355,0
356,0
357,0
358,0
359,0
