# trial_index,allocated_resources
0,8
1,5
2,9
3,5
4,3
5,5
6,9
7,9
8,5
9,1
10,1
11,0
12,8
13,9
14,9
15,3
16,1
17,0
18,9
19,6
20,9
21,5
22,1
23,5
24,9
25,9
26,5
27,8
28,6
29,9
30,5
31,2
32,0
33,5
34,9
35,9
36,5
37,5
38,9
39,9
40,5
41,2
42,0
43,0
44,0
45,8
46,9
47,9
48,4
49,0
50,0
51,0
52,0
53,5
54,9
55,9
56,5
57,2
58,0
59,0
60,0
61,5
62,9
63,9
64,9
65,9
66,3
67,9
68,0
69,5
70,9
71,9
72,5
73,9
74,9
75,5
76,2
77,8
78,9
79,3
80,9
81,1
82,0
83,0
84,0
85,8
86,6
87,9
88,5
89,2
90,9
91,6
92,9
93,5
94,1
95,0
96,5
97,9
98,9
99,5
100,2
101,0
102,0
103,0
104,0
105,0
106,5
107,9
108,9
109,5
110,1
111,8
112,5
113,9
114,8
115,5
116,9
117,8
118,9
119,9
120,5
121,9
122,9
123,5
124,2
125,0
126,0
127,0
128,5
129,9
130,9
131,5
132,1
133,1
134,0
135,5
136,9
137,9
138,7
139,8
140,5
141,7
142,9
143,1
144,0
145,5
146,9
147,9
148,5
149,2
150,0
151,5
152,9
153,9
154,5
155,2
156,9
157,6
158,9
159,5
160,1
161,0
162,5
163,9
164,9
165,5
166,2
167,0
168,0
169,0
170,8
171,6
172,9
173,5
174,2
175,0
176,0
177,5
178,9
179,9
180,8
181,6
182,9
183,5
184,2
185,0
186,0
187,5
188,9
189,9
190,5
191,5
192,9
193,9
194,5
195,2
196,0
197,5
198,9
199,9
200,5
201,2
202,9
203,5
204,9
205,5
206,9
207,9
208,5
209,1
210,1
211,0
212,0
213,0
214,0
215,9
216,9
217,3
218,9
219,0
220,0
221,8
222,5
223,9
224,5
225,10
226,9
227,5
228,5
229,1
230,0
231,0
232,0
233,0
234,5
235,9
236,9
237,5
238,1
239,1
240,0
241,5
242,10
243,5
244,9
245,1
246,0
247,0
248,8
249,9
250,3
251,9
252,1
253,0
254,5
255,9
256,9
257,5
258,9
259,9
260,5
261,9
262,9
263,5
264,2
265,0
266,0
267,5
268,9
269,9
270,10
271,10
272,5
273,5
274,0
275,0
276,0
277,0
278,0
279,9
280,6
281,5
282,5
283,9
284,9
285,5
286,1
287,1
288,8
289,9
290,3
291,9
292,1
293,0
294,5
295,9
296,9
297,5
298,2
299,0
300,5
301,9
302,9
303,3
304,3
305,10
306,10
307,5
308,5
309,0
310,0
311,5
312,9
313,9
314,5
315,5
316,9
317,9
318,5
319,9
320,10
321,5
322,5
323,1
324,0
325,0
326,0
327,9
328,5
329,9
330,5
331,5
332,9
333,9
334,5
335,2
336,0
337,0
338,8
339,9
340,5
341,5
342,9
343,5
344,10
345,1
346,9
347,5
348,9
349,6
350,8
351,6
352,9
353,5
354,1
355,1
356,0
357,0
358,0
359,0
