# trial_index,allocated_resources
0,5
1,9
2,9
3,5
4,2
5,10
6,5
7,10
8,5
9,0
10,0
11,0
12,10
13,9
14,9
15,2
16,0
17,0
18,10
19,9
20,5
21,5
22,1
23,10
24,10
25,6
26,1
27,10
28,9
29,5
30,5
31,1
32,0
33,8
34,9
35,5
36,8
37,10
38,4
39,9
40,7
41,0
42,0
43,0
44,0
45,10
46,9
47,9
48,2
49,0
50,0
51,0
52,0
53,5
54,9
55,7
56,9
57,0
58,0
59,0
60,0
61,10
62,4
63,9
64,5
65,9
66,9
67,6
68,1
69,5
70,9
71,5
72,5
73,9
74,9
75,5
76,1
77,5
78,9
79,9
80,7
81,0
82,0
83,0
84,0
85,10
86,5
87,9
88,6
89,0
90,5
91,9
92,9
93,5
94,2
95,0
96,5
97,9
98,9
99,7
100,0
101,0
102,0
103,0
104,0
105,0
106,10
107,9
108,3
109,5
110,3
111,10
112,6
113,9
114,8
115,6
116,5
117,5
118,5
119,9
120,5
121,9
122,9
123,3
124,4
125,0
126,0
127,0
128,8
129,9
130,9
131,4
132,0
133,0
134,0
135,5
136,9
137,5
138,9
139,5
140,10
141,5
142,9
143,1
144,0
145,10
146,5
147,9
148,6
149,0
150,0
151,5
152,10
153,5
154,9
155,1
156,5
157,9
158,9
159,5
160,2
161,0
162,5
163,9
164,9
165,5
166,2
167,0
168,0
169,0
170,5
171,2
172,9
173,9
174,5
175,0
176,0
177,5
178,9
179,9
180,10
181,8
182,5
183,5
184,1
185,1
186,0
187,5
188,9
189,9
190,5
191,9
192,9
193,3
194,9
195,0
196,0
197,5
198,9
199,9
200,5
201,2
202,5
203,9
204,9
205,5
206,9
207,9
208,1
209,6
210,0
211,0
212,0
213,0
214,0
215,5
216,5
217,2
218,9
219,9
220,0
221,5
222,9
223,9
224,5
225,5
226,9
227,9
228,5
229,2
230,0
231,0
232,0
233,0
234,5
235,9
236,9
237,5
238,2
239,0
240,0
241,8
242,5
243,9
244,5
245,1
246,1
247,1
248,10
249,5
250,4
251,9
252,2
253,0
254,9
255,5
256,9
257,5
258,5
259,9
260,10
261,5
262,9
263,6
264,0
265,0
266,0
267,5
268,9
269,9
270,5
271,5
272,2
273,9
274,9
275,0
276,0
277,0
278,0
279,5
280,5
281,9
282,9
283,6
284,9
285,6
286,0
287,0
288,8
289,6
290,9
291,5
292,2
293,0
294,8
295,6
296,9
297,5
298,2
299,0
300,5
301,9
302,5
303,7
304,4
305,5
306,9
307,9
308,5
309,2
310,0
311,9
312,5
313,9
314,2
315,9
316,9
317,9
318,3
319,10
320,4
321,5
322,9
323,2
324,0
325,0
326,0
327,5
328,9
329,9
330,5
331,5
332,9
333,9
334,5
335,2
336,0
337,0
338,5
339,10
340,9
341,5
342,9
343,9
344,7
345,0
346,10
347,10
348,5
349,5
350,8
351,5
352,9
353,5
354,3
355,0
356,0
357,0
358,0
359,0
