# trial_index,allocated_resources
0,10
1,10
2,9
3,1
4,0
5,9
6,9
7,9
8,3
9,0
10,0
11,0
12,10
13,4
14,9
15,7
16,0
17,0
18,8
19,5
20,9
21,5
22,3
23,9
24,6
25,9
26,5
27,5
28,5
29,9
30,9
31,1
32,1
33,5
34,9
35,9
36,5
37,5
38,9
39,9
40,5
41,2
42,0
43,0
44,0
45,9
46,6
47,5
48,9
49,1
50,0
51,0
52,0
53,9
54,10
55,3
56,5
57,3
58,0
59,0
60,0
61,9
62,9
63,9
64,10
65,10
66,5
67,5
68,0
69,8
70,6
71,9
72,10
73,4
74,6
75,9
76,1
77,5
78,9
79,9
80,5
81,2
82,0
83,0
84,0
85,5
86,9
87,9
88,5
89,1
90,5
91,9
92,9
93,7
94,0
95,0
96,5
97,5
98,9
99,9
100,2
101,0
102,0
103,0
104,0
105,0
106,8
107,5
108,9
109,8
110,0
111,5
112,9
113,9
114,5
115,9
116,9
117,10
118,9
119,3
120,9
121,5
122,7
123,9
124,0
125,0
126,0
127,0
128,5
129,9
130,5
131,9
132,2
133,0
134,0
135,5
136,9
137,5
138,9
139,5
140,9
141,9
142,5
143,2
144,0
145,5
146,9
147,9
148,5
149,2
150,0
151,10
152,1
153,10
154,7
155,1
156,5
157,9
158,9
159,5
160,1
161,1
162,8
163,5
164,9
165,5
166,3
167,0
168,0
169,0
170,5
171,9
172,9
173,5
174,2
175,0
176,0
177,9
178,6
179,9
180,8
181,6
182,9
183,7
184,0
185,0
186,0
187,5
188,10
189,9
190,5
191,8
192,5
193,7
194,9
195,1
196,0
197,5
198,9
199,9
200,5
201,1
202,5
203,9
204,6
205,10
206,4
207,9
208,5
209,2
210,0
211,0
212,0
213,0
214,0
215,5
216,9
217,9
218,3
219,3
220,1
221,8
222,6
223,9
224,5
225,10
226,9
227,3
228,5
229,3
230,0
231,0
232,0
233,0
234,5
235,10
236,5
237,5
238,5
239,0
240,0
241,10
242,10
243,5
244,5
245,0
246,0
247,0
248,9
249,10
250,9
251,2
252,0
253,0
254,10
255,4
256,7
257,5
258,9
259,9
260,5
261,9
262,9
263,5
264,2
265,0
266,0
267,5
268,5
269,2
270,10
271,4
272,9
273,5
274,1
275,1
276,0
277,0
278,0
279,5
280,9
281,9
282,5
283,9
284,9
285,7
286,0
287,0
288,5
289,9
290,5
291,9
292,2
293,0
294,10
295,10
296,7
297,3
298,0
299,0
300,5
301,9
302,9
303,5
304,1
305,8
306,5
307,9
308,5
309,3
310,0
311,8
312,9
313,3
314,9
315,5
316,9
317,9
318,5
319,5
320,9
321,9
322,6
323,1
324,0
325,0
326,0
327,9
328,6
329,5
330,9
331,5
332,9
333,5
334,9
335,2
336,0
337,0
338,10
339,1
340,10
341,8
342,6
343,9
344,5
345,1
346,5
347,9
348,5
349,9
350,5
351,9
352,9
353,5
354,2
355,0
356,0
357,0
358,0
359,0
