# trial_index,allocated_resources
0,5
1,5
2,2
3,5
4,5
5,2
6,5
7,6
8,2
9,5
10,7
11,9
12,5
13,7
14,5
15,5
16,5
17,8
18,5
19,6
20,2
21,5
22,6
23,5
24,5
25,7
26,9
27,5
28,7
29,7
30,5
31,5
32,2
33,5
34,7
35,7
36,5
37,5
38,9
39,5
40,7
41,5
42,5
43,6
44,9
45,5
46,6
47,9
48,5
49,6
50,9
51,5
52,5
53,2
54,5
55,9
56,6
57,5
58,5
59,2
60,5
61,7
62,9
63,5
64,5
65,9
66,5
67,5
68,2
69,5
70,7
71,9
72,5
73,5
74,2
75,5
76,6
77,9
78,5
79,5
80,2
81,5
82,7
83,6
84,5
85,7
86,9
87,5
88,6
89,2
90,5
91,5
92,2
93,5
94,5
95,2
96,5
97,6
98,9
99,5
100,5
101,8
102,5
103,7
104,9
105,5
106,5
107,2
108,5
109,5
110,9
111,5
112,6
113,2
114,5
115,6
116,9
117,5
118,7
119,9
120,5
121,5
122,2
123,5
124,7
125,9
126,5
127,5
128,9
129,8
130,9
131,3
132,5
133,5
134,8
135,5
136,5
137,2
138,5
139,6
140,9
141,5
142,5
143,9
144,8
145,5
146,7
147,5
148,2
149,2
150,5
151,9
152,5
153,5
154,5
155,8
156,5
157,6
158,9
159,5
160,7
161,9
162,5
163,2
164,2
165,5
166,6
167,9
168,5
169,9
170,7
171,5
172,9
173,9
174,5
175,6
176,2
177,5
178,10
179,5
180,5
181,9
182,6
183,5
184,7
185,9
186,5
187,6
188,9
189,5
190,6
191,9
