# trial_index,allocated_resources
0,8
1,9
2,3
3,3
4,6
5,0
6,0
7,1
8,0
9,0
10,0
11,8
12,9
13,3
14,3
15,7
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,10
30,10
31,5
32,5
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,9
47,6
48,6
49,9
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,5
62,9
63,5
64,9
65,1
66,1
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,9
77,10
78,9
79,1
80,1
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,10
96,4
97,7
98,2
99,4
100,2
101,0
102,0
103,0
104,0
105,0
106,5
107,9
108,5
109,9
110,1
111,1
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,10
124,5
125,5
126,9
127,1
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,9
137,6
138,6
139,9
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,9
148,5
149,9
150,6
151,1
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,5
164,10
165,9
166,1
167,5
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,8
184,9
185,9
186,3
187,1
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,9
202,6
203,5
204,6
205,3
206,1
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,5
220,7
221,7
222,9
223,1
224,1
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,9
238,5
239,9
240,6
241,1
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,10
256,9
257,10
258,1
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,9
272,6
273,6
274,9
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,5
284,9
285,5
286,5
287,1
288,0
289,0
290,2
291,1
292,1
293,0
294,1
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,10
303,10
304,3
305,5
306,0
307,1
308,1
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,5
318,10
319,9
320,6
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,5
334,7
335,7
336,9
337,1
338,1
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,10
348,10
349,3
350,5
351,0
352,1
353,1
354,0
355,0
356,0
357,0
358,0
359,8
360,6
361,9
362,6
363,1
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,5
380,7
381,9
382,9
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,8
398,6
399,7
400,5
401,3
402,1
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,8
415,5
416,7
417,9
418,1
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,8
430,9
431,3
432,7
433,3
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,5
449,10
450,6
451,9
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,9
465,9
466,1
467,7
468,3
469,1
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,10
480,10
481,5
482,5
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,8
495,6
496,9
497,6
498,1
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,9
508,5
509,9
510,6
511,1
512,0
513,0
514,0
515,0
516,0
517,0
518,5
519,9
520,10
521,1
522,0
523,5
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,5
535,7
536,7
537,9
538,1
539,1
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,5
554,9
555,5
556,5
557,1
558,0
559,0
560,2
561,1
562,1
563,0
564,8
565,9
566,3
567,7
568,3
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
