# trial_index,allocated_resources
0,8
1,9
2,3
3,3
4,6
5,0
6,0
7,1
8,0
9,0
10,5
11,9
12,5
13,5
14,1
15,5
16,0
17,0
18,0
19,0
20,5
21,9
22,5
23,9
24,1
25,0
26,0
27,0
28,0
29,0
30,10
31,9
32,10
33,1
34,5
35,6
36,9
37,8
38,6
39,7
40,5
41,3
42,1
43,0
44,0
45,0
46,9
47,6
48,6
49,9
50,0
51,0
52,0
53,0
54,0
55,5
56,9
57,5
58,5
59,1
60,5
61,0
62,0
63,0
64,0
65,5
66,9
67,5
68,5
69,9
70,10
71,1
72,0
73,5
74,0
75,10
76,9
77,10
78,10
79,5
80,5
81,9
82,1
83,0
84,0
85,5
86,10
87,5
88,9
89,1
90,0
91,0
92,0
93,0
94,0
95,10
96,4
97,7
98,2
99,8
100,5
101,7
102,9
103,1
104,0
105,0
106,0
107,8
108,5
109,7
110,5
111,9
112,5
113,5
114,9
115,10
116,1
117,5
118,7
119,10
120,8
121,0
122,0
123,0
124,5
125,6
126,9
127,5
128,5
129,7
130,7
131,9
132,0
133,1
134,0
135,1
136,9
137,6
138,6
139,9
140,10
141,4
142,7
143,2
144,4
145,2
146,0
147,0
148,0
149,0
150,9
151,5
152,7
153,7
154,0
155,2
156,0
157,0
158,5
159,9
160,10
161,1
162,0
163,5
164,10
165,9
166,1
167,10
168,10
169,3
170,5
171,0
172,8
173,6
174,7
175,5
176,10
177,5
178,5
179,10
180,6
181,9
182,0
183,0
184,10
185,10
186,0
187,7
188,5
189,9
190,5
191,9
192,1
193,1
194,0
195,0
196,5
197,9
198,5
199,9
200,1
201,1
202,8
203,5
204,7
205,9
206,5
207,7
208,7
209,2
210,5
211,9
212,10
213,9
214,1
215,1
216,9
217,6
218,6
219,6
220,5
221,10
222,5
223,9
224,8
225,6
226,9
227,6
228,1
229,0
230,10
231,4
232,7
233,2
234,8
235,5
236,7
237,9
238,1
239,0
240,0
241,0
242,8
243,5
244,7
245,7
246,3
247,0
248,0
249,0
250,0
251,5
252,7
253,7
254,2
255,5
256,4
257,0
258,10
259,5
260,5
261,9
262,6
263,6
264,6
265,3
266,0
267,0
268,0
269,8
270,6
271,9
272,6
273,1
274,0
275,0
276,0
277,0
278,5
279,9
280,5
281,9
282,1
283,1
284,0
285,0
286,5
287,9
288,5
289,9
290,5
291,9
292,5
293,9
294,8
295,9
296,3
297,5
298,7
299,10
300,8
301,9
302,10
303,9
304,5
305,6
306,9
307,8
308,6
309,7
310,5
311,3
312,1
313,0
314,0
315,8
316,9
317,3
318,3
319,6
320,0
321,0
322,1
323,0
324,0
325,5
326,9
327,5
328,5
329,1
330,9
331,5
332,7
333,7
334,5
335,7
336,9
337,9
338,5
339,9
340,10
341,1
342,5
343,7
344,10
345,10
346,9
347,10
348,1
349,0
350,0
351,0
352,8
353,6
354,7
355,5
356,3
357,1
358,0
359,0
360,0
361,9
362,6
363,6
364,9
365,0
366,0
367,0
368,0
369,0
370,5
371,9
372,5
373,5
374,1
375,5
376,0
377,0
378,0
379,0
