# trial_index,allocated_resources
0,5
1,7
2,9
3,9
4,0
5,5
6,7
7,5
8,9
9,3
10,1
11,0
12,5
13,6
14,9
15,2
16,7
17,1
18,5
19,7
20,9
21,2
22,7
23,5
24,7
25,9
26,5
27,5
28,6
29,9
30,10
31,0
32,0
33,5
34,9
35,5
36,5
37,5
38,6
39,9
40,9
41,0
42,1
43,0
44,0
45,5
46,9
47,6
48,5
49,0
50,5
51,0
52,0
53,5
54,7
55,9
56,2
57,7
58,0
59,0
60,0
61,5
62,2
63,2
64,5
65,6
66,9
67,3
68,4
69,8
70,5
71,7
72,5
73,5
74,9
75,6
76,5
77,5
78,6
79,9
80,3
81,7
82,0
83,0
84,0
85,5
86,7
87,7
88,9
89,0
90,5
91,6
92,2
93,2
94,4
95,2
96,5
97,5
98,9
99,1
100,9
101,1
102,0
103,0
104,0
105,0
106,5
107,6
108,9
109,6
110,4
111,5
112,7
113,9
114,5
115,5
116,9
117,5
118,5
119,9
120,5
121,6
122,9
123,3
124,5
125,2
126,0
127,0
128,9
129,5
130,7
131,9
132,0
133,0
134,0
135,5
136,2
137,2
138,4
139,5
140,7
141,5
142,2
143,9
144,2
145,5
146,7
147,7
148,2
149,5
150,3
151,5
152,6
153,2
154,2
155,8
156,5
157,6
158,9
159,2
160,7
161,1
162,5
163,5
164,8
165,9
166,1
167,0
168,2
169,0
170,5
171,6
172,9
173,9
174,1
175,0
176,0
177,5
178,5
179,2
180,5
181,7
182,7
183,5
184,4
185,1
186,1
187,5
188,5
189,9
190,5
191,9
192,5
193,7
194,9
195,0
196,0
197,5
198,9
199,5
200,0
201,6
202,8
203,5
204,7
205,5
206,6
207,9
208,3
209,5
210,2
211,0
212,0
213,0
214,0
215,5
216,5
217,8
218,9
219,1
220,2
221,5
222,9
223,6
224,9
225,5
226,7
227,9
228,7
229,1
230,1
231,0
232,0
233,0
234,5
235,9
236,9
237,1
238,1
239,2
240,0
241,5
242,5
243,2
244,4
245,8
246,2
247,4
248,5
249,5
250,9
251,1
252,4
253,2
254,5
255,5
256,2
257,9
258,5
259,7
260,5
261,5
262,2
263,2
264,9
265,4
266,3
267,5
268,9
269,5
270,8
271,5
272,7
273,9
274,1
275,0
276,0
277,0
278,0
279,5
280,7
281,9
282,5
283,9
284,5
285,10
286,1
287,0
288,5
289,9
290,9
291,5
292,1
293,0
294,5
295,5
296,2
297,9
298,8
299,1
300,9
301,5
302,7
303,2
304,7
305,5
306,7
307,9
308,2
309,2
310,2
311,9
312,5
313,7
314,6
315,5
316,6
317,9
318,3
319,5
320,6
321,9
322,10
323,0
324,0
325,0
326,0
327,9
328,6
329,5
330,9
331,8
332,5
333,5
334,2
335,9
336,1
337,0
338,5
339,7
340,9
341,5
342,7
343,9
344,9
345,0
346,10
347,4
348,5
349,9
350,8
351,5
352,6
353,2
354,1
355,7
356,1
357,0
358,0
359,0
