# trial_index,allocated_resources
0,8
1,5
2,9
3,8
4,0
5,5
6,9
7,5
8,5
9,0
10,6
11,0
12,8
13,9
14,5
15,5
16,3
17,0
18,9
19,6
20,5
21,4
22,6
23,5
24,7
25,7
26,7
27,8
28,6
29,6
30,9
31,1
32,0
33,5
34,9
35,10
36,1
37,5
38,7
39,9
40,9
41,0
42,0
43,0
44,0
45,8
46,9
47,3
48,6
49,3
50,1
51,0
52,0
53,5
54,7
55,7
56,9
57,2
58,0
59,0
60,0
61,5
62,10
63,6
64,9
65,9
66,3
67,3
68,6
69,5
70,6
71,9
72,5
73,9
74,9
75,3
76,1
77,8
78,9
79,3
80,3
81,6
82,1
83,0
84,0
85,8
86,6
87,9
88,6
89,1
90,9
91,6
92,5
93,9
94,1
95,0
96,5
97,7
98,7
99,6
100,0
101,5
102,0
103,0
104,0
105,0
106,5
107,7
108,10
109,7
110,1
111,8
112,5
113,7
114,8
115,5
116,7
117,8
118,9
119,3
120,5
121,9
122,5
123,9
124,1
125,0
126,0
127,0
128,5
129,7
130,9
131,7
132,1
133,1
134,0
135,5
136,9
137,5
138,10
139,8
140,5
141,7
142,9
143,1
144,0
145,5
146,7
147,10
148,1
149,0
150,6
151,5
152,9
153,5
154,9
155,1
156,9
157,6
158,5
159,7
160,2
161,0
162,5
163,9
164,5
165,9
166,1
167,1
168,0
169,0
170,8
171,6
172,5
173,7
174,3
175,0
176,0
177,5
178,10
179,8
180,8
181,6
182,10
183,6
184,0
185,0
186,0
187,5
188,10
189,10
190,1
191,5
192,9
193,5
194,9
195,0
196,0
197,5
198,7
199,7
200,9
201,1
202,9
203,5
204,7
205,5
206,6
207,9
208,9
209,1
210,0
211,0
212,0
213,0
214,0
215,9
216,9
217,3
218,9
219,0
220,0
221,8
222,5
223,7
224,9
225,10
226,4
227,7
228,7
229,0
230,0
231,1
232,1
233,0
234,5
235,9
236,9
237,7
238,0
239,0
240,0
241,5
242,10
243,5
244,0
245,8
246,2
247,0
248,8
249,9
250,3
251,7
252,1
253,1
254,5
255,7
256,7
257,5
258,7
259,7
260,5
261,9
262,10
263,1
264,5
265,0
266,0
267,5
268,9
269,9
270,10
271,10
272,1
273,9
274,0
275,0
276,0
277,0
278,0
279,9
280,6
281,5
282,5
283,10
284,6
285,4
286,5
287,0
288,8
289,9
290,3
291,9
292,1
293,0
294,5
295,9
296,2
297,0
298,6
299,2
300,5
301,6
302,9
303,7
304,1
305,10
306,10
307,5
308,5
309,0
310,0
311,5
312,10
313,5
314,9
315,5
316,9
317,5
318,9
319,9
320,10
321,5
322,0
323,6
324,0
325,0
326,0
327,9
328,5
329,7
330,9
331,5
332,7
333,7
334,9
335,1
336,0
337,1
338,8
339,9
340,0
341,5
342,9
343,5
344,10
345,1
346,9
347,5
348,9
349,6
350,8
351,6
352,6
353,6
354,3
355,1
356,0
357,0
358,0
359,0
