# trial_index,allocated_resources
0,5
1,9
2,5
3,3
4,0
5,10
6,5
7,10
8,5
9,0
10,0
11,0
12,10
13,10
14,9
15,1
16,0
17,0
18,10
19,5
20,6
21,6
22,3
23,10
24,10
25,6
26,1
27,10
28,6
29,6
30,6
31,1
32,1
33,8
34,9
35,0
36,9
37,10
38,4
39,9
40,7
41,0
42,0
43,0
44,0
45,10
46,1
47,10
48,6
49,0
50,1
51,2
52,0
53,5
54,7
55,7
56,9
57,0
58,0
59,2
60,0
61,10
62,4
63,9
64,5
65,7
66,10
67,6
68,1
69,5
70,9
71,5
72,5
73,6
74,9
75,5
76,5
77,5
78,9
79,5
80,10
81,0
82,0
83,0
84,0
85,10
86,5
87,6
88,5
89,2
90,5
91,10
92,9
93,3
94,2
95,0
96,5
97,9
98,5
99,7
100,0
101,4
102,0
103,0
104,0
105,0
106,10
107,9
108,3
109,8
110,0
111,10
112,6
113,6
114,8
115,6
116,5
117,5
118,5
119,8
120,5
121,9
122,9
123,3
124,0
125,4
126,0
127,0
128,8
129,9
130,3
131,6
132,0
133,4
134,0
135,5
136,9
137,5
138,5
139,5
140,10
141,5
142,0
143,7
144,0
145,10
146,5
147,4
148,2
149,2
150,2
151,5
152,10
153,5
154,7
155,3
156,5
157,9
158,5
159,8
160,2
161,1
162,5
163,7
164,7
165,9
166,1
167,1
168,0
169,0
170,5
171,2
172,2
173,10
174,1
175,6
176,4
177,5
178,10
179,5
180,10
181,0
182,10
183,9
184,1
185,0
186,0
187,5
188,6
189,9
190,9
191,9
192,9
193,3
194,9
195,0
196,0
197,5
198,7
199,2
200,1
201,6
202,5
203,9
204,9
205,5
206,9
207,2
208,7
209,0
210,7
211,0
212,0
213,0
214,0
215,5
216,5
217,2
218,9
219,5
220,1
221,5
222,9
223,5
224,9
225,5
226,10
227,6
228,9
229,0
230,0
231,0
232,0
233,0
234,5
235,9
236,10
237,5
238,1
239,0
240,0
241,8
242,5
243,9
244,8
245,0
246,0
247,0
248,10
249,5
250,4
251,2
252,4
253,5
254,9
255,5
256,9
257,5
258,5
259,9
260,10
261,5
262,9
263,2
264,2
265,1
266,0
267,5
268,9
269,5
270,5
271,5
272,2
273,2
274,5
275,2
276,4
277,3
278,0
279,5
280,5
281,9
282,9
283,6
284,5
285,9
286,0
287,1
288,8
289,6
290,8
291,6
292,2
293,0
294,8
295,6
296,0
297,10
298,6
299,0
300,5
301,10
302,5
303,7
304,0
305,5
306,7
307,7
308,9
309,0
310,1
311,9
312,5
313,7
314,2
315,9
316,9
317,9
318,2
319,10
320,4
321,5
322,9
323,2
324,0
325,0
326,0
327,5
328,5
329,9
330,9
331,5
332,7
333,10
334,6
335,1
336,1
337,0
338,5
339,10
340,5
341,5
342,9
343,5
344,2
345,5
346,10
347,10
348,0
349,0
350,8
351,5
352,5
353,2
354,2
355,2
356,0
357,4
358,1
359,0
