# trial_index,allocated_resources
0,10
1,7
2,7
3,6
4,0
5,0
6,0
7,0
8,0
9,0
10,10
11,10
12,7
13,2
14,1
15,0
16,0
17,0
18,0
19,0
20,10
21,8
22,8
23,2
24,2
25,0
26,0
27,0
28,0
29,0
30,8
31,10
32,7
33,5
34,0
35,0
36,0
37,0
38,0
39,0
40,10
41,10
42,7
43,2
44,1
45,0
46,0
47,0
48,0
49,0
50,10
51,8
52,7
53,5
54,0
55,0
56,0
57,0
58,0
59,0
60,10
61,10
62,7
63,2
64,1
65,0
66,0
67,0
68,0
69,0
70,8
71,10
72,7
73,5
74,0
75,0
76,0
77,0
78,0
79,0
80,8
81,10
82,7
83,2
84,2
85,0
86,0
87,1
88,0
89,0
90,8
91,10
92,7
93,5
94,0
95,0
96,0
97,0
98,0
99,0
100,8
101,10
102,7
103,5
104,0
105,0
106,0
107,0
108,0
109,0
110,8
111,8
112,7
113,7
114,0
115,0
116,0
117,0
118,0
119,0
120,10
121,10
122,7
123,2
124,0
125,0
126,0
127,0
128,0
129,0
130,8
131,10
132,10
133,2
134,0
135,0
136,0
137,0
138,0
139,0
140,10
141,10
142,7
143,2
144,1
145,0
146,0
147,0
148,0
149,0
150,8
151,8
152,9
153,5
154,0
155,0
156,0
157,0
158,0
159,0
160,10
161,8
162,7
163,5
164,0
165,0
166,0
167,0
168,0
169,0
170,10
171,10
172,7
173,2
174,1
175,0
176,0
177,0
178,0
179,0
180,8
181,9
182,10
183,2
184,1
185,0
186,0
187,0
188,0
189,0
190,10
191,8
192,7
193,5
194,0
195,0
196,0
197,0
198,0
199,0
200,10
201,10
202,7
203,2
204,1
205,0
206,0
207,0
208,0
209,0
210,8
211,10
212,7
213,5
214,0
215,0
216,0
217,0
218,0
219,0
220,8
221,9
222,7
223,6
224,0
225,0
226,0
227,0
228,0
229,0
230,10
231,10
232,7
233,2
234,1
235,0
236,0
237,0
238,0
239,0
240,10
241,8
242,7
243,5
244,0
245,0
246,0
247,0
248,0
249,0
250,10
251,10
252,7
253,2
254,0
255,0
256,1
257,0
258,0
259,0
260,8
261,9
262,7
263,6
264,0
265,0
266,0
267,0
268,0
269,0
270,10
271,10
272,7
273,2
274,1
275,0
276,0
277,0
278,0
279,0
280,8
281,10
282,8
283,2
284,2
285,0
286,0
287,0
288,0
289,0
290,10
291,8
292,7
293,5
294,0
295,0
296,0
297,0
298,0
299,0
300,8
301,10
302,7
303,5
304,0
305,0
306,0
307,0
308,0
309,0
310,7
311,10
312,7
313,6
314,0
315,0
316,0
317,0
318,0
319,0
320,8
321,10
322,10
323,2
324,0
325,0
326,0
327,0
328,0
329,0
330,10
331,8
332,7
333,5
334,0
335,0
336,0
337,0
338,0
339,0
340,10
341,10
342,7
343,3
344,0
345,0
346,0
347,0
348,0
349,0
350,8
351,10
352,7
353,5
354,0
355,0
356,0
357,0
358,0
359,0
360,10
361,10
362,7
363,2
364,1
365,0
366,0
367,0
368,0
369,0
370,10
371,10
372,7
373,2
374,1
375,0
376,0
377,0
378,0
379,0
380,10
381,10
382,8
383,2
384,0
385,0
386,0
387,0
388,0
389,0
390,10
391,8
392,7
393,2
394,2
395,0
396,1
397,0
398,0
399,0
400,8
401,9
402,10
403,2
404,0
405,0
406,0
407,1
408,0
409,0
410,10
411,10
412,7
413,2
414,1
415,0
416,0
417,0
418,0
419,0
420,10
421,10
422,7
423,2
424,1
425,0
426,0
427,0
428,0
429,0
430,10
431,10
432,7
433,2
434,1
435,0
436,0
437,0
438,0
439,0
440,10
441,10
442,7
443,2
444,1
445,0
446,0
447,0
448,0
449,0
450,10
451,10
452,7
453,2
454,0
455,0
456,0
457,1
458,0
459,0
460,8
461,7
462,9
463,6
464,0
465,0
466,0
467,0
468,0
469,0
470,10
471,10
472,8
473,2
474,0
475,0
476,0
477,0
478,0
479,0
480,10
481,8
482,7
483,5
484,0
485,0
486,0
487,0
488,0
489,0
490,8
491,8
492,7
493,7
494,0
495,0
496,0
497,0
498,0
499,0
500,10
501,10
502,8
503,2
504,0
505,0
506,0
507,0
508,0
509,0
510,10
511,10
512,7
513,2
514,1
515,0
516,0
517,0
518,0
519,0
520,8
521,10
522,7
523,5
524,0
525,0
526,0
527,0
528,0
529,0
530,8
531,10
532,7
533,5
534,0
535,0
536,0
537,0
538,0
539,0
540,8
541,9
542,7
543,6
544,0
545,0
546,0
547,0
548,0
549,0
550,8
551,10
552,7
553,5
554,0
555,0
556,0
557,0
558,0
559,0
560,8
561,8
562,7
563,7
564,0
565,0
566,0
567,0
568,0
569,0
570,8
571,10
572,7
573,2
574,2
575,1
576,0
577,0
578,0
579,0
580,10
581,10
582,7
583,2
584,1
585,0
586,0
587,0
588,0
589,0
590,8
591,10
592,7
593,2
594,2
595,0
596,0
597,0
598,0
599,0
600,10
601,8
602,7
603,5
604,0
605,0
606,0
607,0
608,0
609,0
610,10
611,8
612,7
613,2
614,2
615,0
616,1
617,0
618,0
619,0
620,10
621,10
622,7
623,2
624,1
625,0
626,0
627,0
628,0
629,0
630,7
631,10
632,7
633,5
634,1
635,0
636,0
637,0
638,0
639,0
