# trial_index,allocated_resources
0,7
1,5
2,7
3,7
4,5
5,7
6,7
7,6
8,7
9,7
10,7
11,7
12,7
13,7
14,5
15,7
16,6
17,7
18,7
19,6
20,7
21,7
22,6
23,5
24,5
25,7
26,9
27,7
28,7
29,9
30,5
31,6
32,6
33,7
34,9
35,5
36,5
37,6
38,7
39,7
40,7
41,5
42,7
43,6
44,7
45,7
46,6
47,7
48,7
49,6
50,7
51,7
52,6
53,7
54,7
55,7
56,5
57,7
58,6
59,7
60,7
61,7
62,7
63,5
64,6
65,7
66,7
67,5
68,6
69,5
70,7
71,7
72,7
73,6
74,7
75,7
76,6
77,7
78,5
79,6
80,6
81,5
82,7
83,7
84,7
85,6
86,7
87,7
88,6
89,5
90,7
91,5
92,7
93,7
94,6
95,5
96,7
97,6
98,7
99,5
100,6
101,7
102,5
103,7
104,9
105,7
106,6
107,7
108,5
109,6
110,7
111,7
112,6
113,5
114,7
115,6
116,9
117,7
118,7
119,9
120,5
121,6
122,6
123,5
124,7
125,7
126,5
127,6
128,9
129,8
130,9
131,5
132,5
133,6
134,7
135,5
136,6
137,7
138,7
139,6
140,7
141,5
142,6
143,7
144,8
145,6
146,7
147,5
148,6
149,6
150,5
151,9
152,6
153,7
154,6
155,7
156,7
157,6
158,7
159,5
160,7
161,6
162,5
163,6
164,7
165,7
166,6
167,7
168,7
169,7
170,7
171,5
172,9
173,7
174,7
175,6
176,5
177,7
178,9
179,5
180,5
181,9
182,5
183,5
184,7
185,6
186,7
187,6
188,7
189,7
190,6
191,7
