# trial_index,allocated_resources
0,8
1,9
2,7
3,5
4,0
5,1
6,0
7,0
8,0
9,0
10,7
11,9
12,10
13,4
14,0
15,0
16,0
17,0
18,0
19,0
20,10
21,4
22,8
23,6
24,2
25,0
26,0
27,0
28,0
29,0
30,8
31,10
32,10
33,2
34,7
35,8
36,9
37,10
38,7
39,2
40,6
41,1
42,2
43,2
44,0
45,0
46,8
47,8
48,7
49,2
50,2
51,2
52,0
53,0
54,0
55,8
56,8
57,7
58,5
59,1
60,1
61,0
62,0
63,0
64,0
65,7
66,10
67,4
68,7
69,6
70,7
71,10
72,0
73,0
74,0
75,8
76,8
77,4
78,10
79,10
80,4
81,6
82,0
83,0
84,0
85,7
86,10
87,5
88,0
89,1
90,7
91,0
92,0
93,0
94,0
95,7
96,10
97,5
98,8
99,8
100,8
101,5
102,5
103,4
104,0
105,0
106,0
107,10
108,8
109,7
110,7
111,9
112,5
113,8
114,5
115,7
116,10
117,5
118,10
119,7
120,7
121,0
122,1
123,0
124,5
125,7
126,10
127,5
128,8
129,5
130,4
131,10
132,2
133,1
134,0
135,0
136,10
137,10
138,4
139,5
140,8
141,8
142,5
143,2
144,1
145,6
146,0
147,0
148,0
149,0
150,5
151,6
152,7
153,9
154,2
155,1
156,0
157,0
158,5
159,9
160,9
161,7
162,0
163,7
164,10
165,5
166,8
167,8
168,10
169,7
170,1
171,3
172,7
173,10
174,4
175,10
176,8
177,4
178,7
179,9
180,7
181,0
182,7
183,0
184,5
185,6
186,7
187,9
188,10
189,10
190,8
191,2
192,0
193,0
194,0
195,0
196,10
197,7
198,2
199,2
200,1
201,7
202,8
203,7
204,7
205,8
206,7
207,10
208,10
209,2
210,1
211,10
212,10
213,4
214,6
215,0
216,10
217,7
218,8
219,5
220,5
221,6
222,9
223,5
224,7
225,7
226,10
227,6
228,0
229,0
230,5
231,10
232,10
233,5
234,7
235,10
236,5
237,5
238,2
239,1
240,0
241,0
242,7
243,9
244,7
245,5
246,0
247,0
248,2
249,0
250,0
251,7
252,5
253,10
254,8
255,0
256,0
257,0
258,5
259,10
260,10
261,5
262,10
263,5
264,7
265,2
266,1
267,0
268,0
269,5
270,6
271,9
272,9
273,0
274,0
275,1
276,0
277,0
278,7
279,6
280,10
281,2
282,5
283,0
284,0
285,0
286,5
287,9
288,10
289,2
290,7
291,9
292,10
293,2
294,10
295,7
296,7
297,5
298,10
299,10
300,2
301,10
302,4
303,10
304,10
305,5
306,4
307,5
308,9
309,10
310,2
311,4
312,0
313,0
314,0
315,7
316,9
317,9
318,5
319,0
320,0
321,0
322,0
323,0
324,0
325,5
326,9
327,9
328,5
329,2
330,10
331,5
332,7
333,6
334,10
335,7
336,2
337,10
338,5
339,9
340,6
341,10
342,10
343,10
344,7
345,7
346,10
347,7
348,6
349,0
350,0
351,0
352,7
353,10
354,5
355,8
356,0
357,0
358,0
359,0
360,0
361,8
362,10
363,8
364,2
365,2
366,0
367,0
368,0
369,0
370,10
371,8
372,2
373,0
374,10
375,0
376,0
377,0
378,0
379,0
