# trial_index,allocated_resources
0,8
1,9
2,7
3,6
4,0
5,0
6,0
7,0
8,0
9,0
10,7
11,9
12,9
13,5
14,0
15,0
16,0
17,0
18,0
19,0
20,7
21,9
22,9
23,5
24,0
25,0
26,0
27,0
28,0
29,0
30,10
31,10
32,7
33,2
34,0
35,1
36,0
37,0
38,0
39,0
40,7
41,9
42,7
43,7
44,0
45,0
46,0
47,0
48,0
49,0
50,10
51,5
52,4
53,5
54,4
55,2
56,0
57,0
58,0
59,0
60,8
61,6
62,9
63,7
64,0
65,0
66,0
67,0
68,0
69,0
70,10
71,7
72,4
73,5
74,4
75,0
76,0
77,0
78,0
79,0
80,7
81,9
82,7
83,7
84,0
85,0
86,0
87,0
88,0
89,0
90,8
91,9
92,7
93,6
94,0
95,0
96,0
97,0
98,0
99,0
100,7
101,9
102,9
103,5
104,0
105,0
106,0
107,0
108,0
109,0
110,7
111,9
112,9
113,5
114,0
115,0
116,0
117,0
118,0
119,0
120,10
121,10
122,7
123,2
124,0
125,1
126,0
127,0
128,0
129,0
130,7
131,9
132,7
133,7
134,0
135,0
136,0
137,0
138,0
139,0
140,10
141,5
142,4
143,5
144,4
145,2
146,0
147,0
148,0
149,0
150,8
151,6
152,9
153,7
154,0
155,0
156,0
157,0
158,0
159,0
160,10
161,7
162,4
163,5
164,4
165,0
166,0
167,0
168,0
169,0
170,7
171,9
172,7
173,7
174,0
175,0
176,0
177,0
178,0
179,0
180,8
181,9
182,7
183,6
184,0
185,0
186,0
187,0
188,0
189,0
190,7
191,9
192,9
193,5
194,0
195,0
196,0
197,0
198,0
199,0
200,7
201,9
202,9
203,5
204,0
205,0
206,0
207,0
208,0
209,0
210,10
211,10
212,7
213,2
214,0
215,1
216,0
217,0
218,0
219,0
220,7
221,9
222,7
223,7
224,0
225,0
226,0
227,0
228,0
229,0
230,10
231,5
232,4
233,5
234,4
235,2
236,0
237,0
238,0
239,0
240,8
241,6
242,9
243,7
244,0
245,0
246,0
247,0
248,0
249,0
250,10
251,7
252,4
253,5
254,4
255,0
256,0
257,0
258,0
259,0
260,7
261,9
262,7
263,7
264,0
265,0
266,0
267,0
268,0
269,0
270,8
271,9
272,7
273,6
274,0
275,0
276,0
277,0
278,0
279,0
280,7
281,9
282,9
283,5
284,0
285,0
286,0
287,0
288,0
289,0
290,7
291,9
292,9
293,5
294,0
295,0
296,0
297,0
298,0
299,0
300,10
301,10
302,7
303,2
304,0
305,1
306,0
307,0
308,0
309,0
310,7
311,9
312,7
313,7
314,0
315,0
316,0
317,0
318,0
319,0
320,10
321,5
322,4
323,5
324,4
325,2
326,0
327,0
328,0
329,0
330,8
331,6
332,9
333,7
334,0
335,0
336,0
337,0
338,0
339,0
340,10
341,7
342,4
343,5
344,4
345,0
346,0
347,0
348,0
349,0
350,7
351,9
352,7
353,7
354,0
355,0
356,0
357,0
358,0
359,0
360,8
361,9
362,7
363,6
364,0
365,0
366,0
367,0
368,0
369,0
370,7
371,9
372,9
373,5
374,0
375,0
376,0
377,0
378,0
379,0
380,7
381,9
382,9
383,5
384,0
385,0
386,0
387,0
388,0
389,0
390,10
391,10
392,7
393,2
394,0
395,1
396,0
397,0
398,0
399,0
400,7
401,9
402,7
403,7
404,0
405,0
406,0
407,0
408,0
409,0
410,10
411,5
412,4
413,5
414,4
415,2
416,0
417,0
418,0
419,0
420,8
421,6
422,9
423,7
424,0
425,0
426,0
427,0
428,0
429,0
430,10
431,7
432,4
433,5
434,4
435,0
436,0
437,0
438,0
439,0
440,7
441,9
442,7
443,7
444,0
445,0
446,0
447,0
448,0
449,0
450,8
451,9
452,7
453,6
454,0
455,0
456,0
457,0
458,0
459,0
460,7
461,9
462,9
463,5
464,0
465,0
466,0
467,0
468,0
469,0
470,7
471,9
472,9
473,5
474,0
475,0
476,0
477,0
478,0
479,0
480,10
481,10
482,7
483,2
484,0
485,1
486,0
487,0
488,0
489,0
490,7
491,9
492,7
493,7
494,0
495,0
496,0
497,0
498,0
499,0
500,10
501,5
502,4
503,5
504,4
505,2
506,0
507,0
508,0
509,0
510,8
511,6
512,9
513,7
514,0
515,0
516,0
517,0
518,0
519,0
520,10
521,7
522,4
523,5
524,4
525,0
526,0
527,0
528,0
529,0
530,7
531,9
532,7
533,7
534,0
535,0
536,0
537,0
538,0
539,0
540,8
541,9
542,7
543,6
544,0
545,0
546,0
547,0
548,0
549,0
550,7
551,9
552,9
553,5
554,0
555,0
556,0
557,0
558,0
559,0
560,7
561,9
562,9
563,5
564,0
565,0
566,0
567,0
568,0
569,0
570,10
571,10
572,7
573,2
574,0
575,1
576,0
577,0
578,0
579,0
580,7
581,9
582,7
583,7
584,0
585,0
586,0
587,0
588,0
589,0
590,10
591,5
592,4
593,5
594,4
595,2
596,0
597,0
598,0
599,0
600,8
601,6
602,9
603,7
604,0
605,0
606,0
607,0
608,0
609,0
610,10
611,7
612,4
613,5
614,4
615,0
616,0
617,0
618,0
619,0
620,7
621,9
622,7
623,7
624,0
625,0
626,0
627,0
628,0
629,0
630,8
631,9
632,7
633,6
634,0
635,0
636,0
637,0
638,0
639,0
