# trial_index,allocated_resources
0,8
1,9
2,7
3,8
4,10
5,10
6,7
7,6
8,7
9,8
10,6
11,9
12,8
13,7
14,9
15,8
16,6
17,9
18,7
19,9
20,7
21,8
22,8
23,5
24,8
25,10
26,7
27,7
28,9
29,10
30,10
31,10
32,7
33,10
34,7
35,4
36,8
37,8
38,7
39,7
40,9
41,9
42,7
43,9
44,9
45,8
46,9
47,7
48,8
49,10
50,10
51,7
52,6
53,7
54,8
55,6
56,9
57,8
58,7
59,9
60,8
61,6
62,9
63,7
64,9
65,7
66,8
67,8
68,5
69,8
70,10
71,7
72,7
73,9
74,10
75,10
76,10
77,7
78,10
79,7
80,4
81,8
82,8
83,7
84,7
85,9
86,9
87,7
88,9
89,9
90,8
91,9
92,7
93,8
94,10
95,10
96,7
97,6
98,7
99,8
100,6
101,9
102,8
103,7
104,9
105,8
106,6
107,9
108,7
109,9
110,7
111,8
112,8
113,5
114,8
115,10
116,7
117,7
118,9
119,10
120,10
121,10
122,7
123,10
124,7
125,4
126,8
127,8
128,7
129,7
130,9
131,9
132,7
133,9
134,9
135,8
136,9
137,7
138,8
139,10
140,10
141,7
142,6
143,7
144,8
145,6
146,9
147,8
148,7
149,9
150,8
151,6
152,9
153,7
154,9
155,7
156,8
157,8
158,5
159,8
160,10
161,7
162,7
163,9
164,10
165,10
166,10
167,7
168,10
169,7
170,4
171,8
172,8
173,7
174,7
175,9
176,9
177,7
178,9
179,9
180,8
181,9
182,7
183,8
184,10
185,10
186,7
187,6
188,7
189,8
190,6
191,9
