# trial_index,allocated_resources
0,8
1,9
2,7
3,6
4,0
5,0
6,0
7,0
8,0
9,0
10,7
11,9
12,9
13,5
14,0
15,0
16,0
17,0
18,0
19,0
20,7
21,9
22,9
23,5
24,0
25,0
26,0
27,0
28,0
29,0
30,10
31,10
32,7
33,2
34,7
35,6
36,10
37,8
38,7
39,7
40,8
41,0
42,0
43,0
44,0
45,0
46,8
47,8
48,7
49,7
50,0
51,0
52,0
53,0
54,0
55,7
56,9
57,9
58,5
59,0
60,0
61,0
62,0
63,0
64,0
65,7
66,9
67,9
68,7
69,9
70,10
71,2
72,2
73,0
74,0
75,10
76,10
77,7
78,10
79,7
80,4
81,9
82,0
83,0
84,0
85,7
86,9
87,7
88,7
89,0
90,0
91,0
92,0
93,0
94,0
95,10
96,5
97,4
98,5
99,8
100,6
101,9
102,7
103,0
104,0
105,0
106,0
107,8
108,7
109,7
110,7
111,9
112,9
113,7
114,9
115,10
116,2
117,7
118,9
119,10
120,4
121,0
122,0
123,0
124,7
125,6
126,10
127,7
128,7
129,7
130,9
131,7
132,0
133,0
134,0
135,0
136,8
137,8
138,7
139,7
140,10
141,5
142,4
143,5
144,4
145,2
146,0
147,0
148,0
149,0
150,8
151,6
152,9
153,7
154,0
155,0
156,0
157,0
158,7
159,9
160,10
161,2
162,2
163,7
164,10
165,10
166,2
167,10
168,10
169,4
170,5
171,1
172,8
173,7
174,7
175,7
176,9
177,7
178,7
179,9
180,9
181,5
182,0
183,0
184,10
185,10
186,4
187,5
188,7
189,9
190,5
191,9
192,0
193,0
194,0
195,0
196,7
197,9
198,7
199,7
200,0
201,0
202,8
203,7
204,9
205,6
206,7
207,7
208,9
209,7
210,0
211,8
212,10
213,7
214,4
215,1
216,8
217,8
218,7
219,5
220,7
221,9
222,7
223,7
224,8
225,8
226,9
227,5
228,0
229,0
230,10
231,5
232,4
233,5
234,8
235,6
236,9
237,7
238,0
239,0
240,0
241,0
242,8
243,7
244,7
245,7
246,1
247,0
248,0
249,0
250,0
251,7
252,7
253,9
254,7
255,0
256,0
257,0
258,10
259,7
260,4
261,8
262,8
263,7
264,5
265,2
266,0
267,0
268,0
269,8
270,8
271,9
272,5
273,0
274,0
275,0
276,0
277,0
278,7
279,9
280,5
281,9
282,0
283,0
284,0
285,0
286,7
287,9
288,7
289,7
290,7
291,9
292,9
293,5
294,8
295,10
296,7
297,7
298,9
299,10
300,4
301,8
302,10
303,7
304,7
305,6
306,10
307,8
308,7
309,7
310,8
311,0
312,0
313,0
314,0
315,8
316,9
317,7
318,6
319,0
320,0
321,0
322,0
323,0
324,0
325,7
326,9
327,9
328,5
329,0
330,8
331,6
332,9
333,7
334,7
335,7
336,9
337,7
338,7
339,9
340,10
341,2
342,7
343,9
344,10
345,10
346,10
347,7
348,2
349,0
350,1
351,0
352,8
353,7
354,7
355,8
356,0
357,0
358,0
359,0
360,0
361,8
362,8
363,7
364,7
365,0
366,0
367,0
368,0
369,0
370,7
371,9
372,9
373,5
374,0
375,0
376,0
377,0
378,0
379,0
