# trial_index,allocated_resources
0,8
1,9
2,7
3,6
4,0
5,0
6,0
7,0
8,7
9,9
10,5
11,9
12,0
13,0
14,0
15,8
16,6
17,9
18,7
19,0
20,0
21,0
22,8
23,7
24,9
25,10
26,7
27,4
28,5
29,4
30,0
31,8
32,10
33,7
34,7
35,6
36,10
37,7
38,0
39,0
40,0
41,0
42,7
43,9
44,9
45,8
46,9
47,7
48,6
49,0
50,0
51,0
52,7
53,6
54,9
55,7
56,0
57,0
58,1
59,0
60,8
61,6
62,9
63,7
64,0
65,7
66,9
67,9
68,5
69,0
70,0
71,7
72,7
73,9
74,10
75,10
76,7
77,10
78,10
79,4
80,5
81,1
82,8
83,7
84,7
85,7
86,9
87,7
88,7
89,0
90,0
91,0
92,0
93,0
94,10
95,10
96,4
97,5
98,1
99,8
100,6
101,9
102,7
103,0
104,0
105,0
106,7
107,9
108,7
109,7
110,7
111,9
112,8
113,7
114,9
115,6
116,7
117,7
118,9
119,7
120,0
121,0
122,10
123,10
124,4
125,5
126,1
127,8
128,7
129,7
130,7
131,9
132,7
133,7
134,0
135,8
136,9
137,7
138,6
139,10
140,10
141,4
142,5
143,1
144,0
145,0
146,8
147,9
148,5
149,8
150,10
151,4
152,5
153,1
154,1
155,0
156,0
157,0
158,0
159,8
160,10
161,7
162,5
163,7
164,10
165,10
166,2
167,1
168,10
169,7
170,4
171,9
172,0
173,7
174,7
175,9
176,8
177,7
178,7
179,8
180,0
181,0
182,0
183,8
184,10
185,10
186,2
187,7
188,6
189,9
190,7
191,8
192,9
193,5
194,8
195,10
196,4
197,5
198,1
199,1
200,0
201,8
202,8
203,5
204,9
205,0
206,7
207,7
208,9
209,7
210,0
211,0
212,0
213,0
214,7
215,6
216,10
217,7
218,7
219,7
220,9
221,7
222,7
223,9
224,9
225,8
226,9
227,7
228,8
229,10
230,10
231,7
232,6
233,7
234,9
235,1
236,0
237,0
238,7
239,9
240,9
241,7
242,9
243,7
244,7
245,7
246,9
247,8
248,7
249,9
250,6
251,0
252,0
253,0
254,0
255,0
256,8
257,10
258,7
259,4
260,1
261,0
262,0
263,7
264,7
265,9
266,7
267,7
268,9
269,9
270,5
271,0
272,0
273,0
274,10
275,10
276,4
277,5
278,1
279,0
280,0
281,0
282,8
283,7
284,9
285,6
286,7
287,9
288,7
289,7
290,0
291,8
292,8
293,5
294,9
295,0
296,0
297,7
298,9
299,10
300,4
301,0
302,0
303,10
304,7
305,4
306,9
307,0
308,7
309,7
310,9
311,7
312,0
313,7
314,9
315,9
316,5
317,0
318,8
319,10
320,10
321,2
322,0
323,0
324,0
325,0
326,8
327,9
328,5
329,8
330,0
331,0
332,0
