# trial_index,allocated_resources
0,8
1,10
2,7
3,5
4,0
5,10
6,10
7,7
8,2
9,1
10,0
11,0
12,10
13,10
14,7
15,2
16,0
17,0
18,10
19,10
20,7
21,2
22,1
23,10
24,10
25,7
26,2
27,10
28,10
29,7
30,2
31,1
32,0
33,8
34,10
35,7
36,5
37,10
38,10
39,7
40,2
41,1
42,0
43,0
44,0
45,8
46,10
47,7
48,4
49,1
50,0
51,0
52,0
53,10
54,10
55,7
56,2
57,1
58,0
59,0
60,0
61,7
62,6
63,9
64,8
65,10
66,7
67,5
68,0
69,10
70,8
71,7
72,8
73,10
74,10
75,2
76,0
77,10
78,8
79,7
80,5
81,0
82,0
83,0
84,0
85,8
86,10
87,7
88,5
89,0
90,10
91,10
92,7
93,2
94,0
95,0
96,10
97,8
98,7
99,5
100,0
101,0
102,0
103,0
104,0
105,0
106,10
107,7
108,7
109,6
110,0
111,8
112,8
113,7
114,10
115,10
116,7
117,8
118,10
119,7
120,10
121,10
122,7
123,2
124,1
125,0
126,0
127,0
128,10
129,10
130,7
131,2
132,1
133,0
134,0
135,10
136,8
137,7
138,5
139,10
140,10
141,7
142,2
143,0
144,0
145,8
146,10
147,10
148,2
149,0
150,0
151,8
152,10
153,10
154,2
155,0
156,10
157,8
158,7
159,5
160,0
161,0
162,10
163,10
164,7
165,2
166,1
167,0
168,0
169,0
170,8
171,10
172,7
173,5
174,0
175,0
176,0
177,10
178,10
179,7
180,8
181,10
182,7
183,4
184,1
185,0
186,0
187,10
188,7
189,7
190,6
191,8
192,10
193,7
194,4
195,1
196,0
197,7
198,10
199,7
200,6
201,0
202,8
203,10
204,7
205,10
206,10
207,7
208,2
209,1
210,0
211,0
212,0
213,0
214,0
215,10
216,10
217,7
218,2
219,1
220,0
221,8
222,10
223,7
224,5
225,8
226,10
227,7
228,5
229,0
230,0
231,0
232,0
233,0
234,10
235,7
236,7
237,6
238,0
239,0
240,0
241,10
242,10
243,7
244,2
245,1
246,0
247,0
248,8
249,10
250,7
251,5
252,0
253,0
254,10
255,10
256,7
257,7
258,10
259,7
260,10
261,10
262,8
263,2
264,0
265,0
266,0
267,7
268,10
269,7
270,8
271,10
272,7
273,5
274,0
275,0
276,0
277,0
278,0
279,8
280,10
281,7
282,10
283,7
284,7
285,6
286,0
287,0
288,8
289,10
290,7
291,5
292,0
293,0
294,10
295,10
296,7
297,2
298,1
299,0
300,10
301,8
302,7
303,5
304,0
305,7
306,10
307,10
308,2
309,0
310,0
311,10
312,10
313,7
314,2
315,10
316,10
317,7
318,2
319,10
320,10
321,4
322,6
323,0
324,0
325,0
326,0
327,7
328,9
329,7
330,7
331,10
332,10
333,8
334,2
335,0
336,0
337,0
338,8
339,10
340,7
341,8
342,8
343,9
344,5
345,0
346,7
347,10
348,7
349,6
350,10
351,10
352,7
353,2
354,1
355,0
356,0
357,0
358,0
359,0
