# trial_index,allocated_resources
0,7
1,6
2,9
3,7
4,1
5,7
6,7
7,5
8,9
9,2
10,0
11,0
12,7
13,6
14,7
15,9
16,0
17,1
18,7
19,7
20,7
21,2
22,7
23,5
24,7
25,9
26,5
27,7
28,6
29,10
30,6
31,1
32,0
33,5
34,9
35,5
36,5
37,7
38,6
39,7
40,9
41,1
42,0
43,0
44,0
45,7
46,7
47,9
48,6
49,1
50,0
51,0
52,0
53,7
54,7
55,7
56,2
57,7
58,0
59,0
60,0
61,5
62,6
63,6
64,7
65,6
66,7
67,9
68,1
69,8
70,6
71,5
72,5
73,6
74,9
75,9
76,0
77,7
78,6
79,9
80,7
81,0
82,1
83,0
84,0
85,5
86,7
87,9
88,9
89,0
90,7
91,6
92,7
93,1
94,9
95,0
96,5
97,6
98,7
99,9
100,2
101,1
102,0
103,0
104,0
105,0
106,7
107,6
108,9
109,6
110,2
111,7
112,6
113,7
114,5
115,6
116,9
117,5
118,6
119,7
120,7
121,6
122,7
123,9
124,1
125,0
126,0
127,0
128,8
129,5
130,7
131,10
132,0
133,0
134,0
135,5
136,6
137,7
138,9
139,7
140,7
141,5
142,2
143,9
144,0
145,7
146,9
147,5
148,5
149,2
150,0
151,7
152,6
153,7
154,1
155,9
156,7
157,6
158,7
159,2
160,7
161,0
162,5
163,6
164,7
165,9
166,2
167,1
168,0
169,0
170,7
171,6
172,7
173,10
174,0
175,0
176,0
177,5
178,6
179,6
180,7
181,9
182,5
183,5
184,3
185,1
186,0
187,5
188,6
189,9
190,9
191,8
192,6
193,7
194,9
195,0
196,0
197,7
198,9
199,7
200,5
201,2
202,8
203,6
204,5
205,7
206,6
207,7
208,9
209,1
210,0
211,0
212,0
213,0
214,0
215,5
216,6
217,7
218,9
219,2
220,1
221,7
222,7
223,5
224,2
225,7
226,7
227,7
228,9
229,0
230,0
231,0
232,0
233,0
234,7
235,7
236,7
237,9
238,0
239,0
240,0
241,5
242,6
243,6
244,9
245,2
246,2
247,0
248,5
249,6
250,7
251,9
252,2
253,1
254,5
255,6
256,7
257,8
258,6
259,4
260,7
261,6
262,7
263,9
264,1
265,0
266,0
267,7
268,9
269,7
270,8
271,6
272,7
273,9
274,0
275,0
276,0
277,0
278,0
279,7
280,6
281,5
282,7
283,9
284,5
285,6
286,2
287,1
288,5
289,9
290,7
291,1
292,7
293,0
294,5
295,6
296,7
297,9
298,2
299,0
300,8
301,5
302,7
303,2
304,7
305,7
306,6
307,7
308,5
309,2
310,2
311,8
312,6
313,4
314,9
315,7
316,6
317,7
318,9
319,7
320,6
321,9
322,7
323,0
324,1
325,0
326,0
327,8
328,8
329,5
330,5
331,8
332,5
333,4
334,9
335,4
336,0
337,0
338,7
339,6
340,9
341,5
342,7
343,9
344,9
345,0
346,10
347,5
348,4
349,9
350,8
351,5
352,4
353,9
354,1
355,2
356,1
357,0
358,0
359,0
