# trial_index,allocated_resources
0,8
1,7
2,10
3,5
4,0
5,10
6,10
7,7
8,2
9,1
10,0
11,0
12,10
13,8
14,4
15,5
16,1
17,2
18,8
19,10
20,7
21,4
22,0
23,8
24,10
25,5
26,5
27,7
28,7
29,10
30,6
31,0
32,0
33,7
34,6
35,7
36,2
37,5
38,6
39,10
40,5
41,4
42,0
43,0
44,0
45,10
46,5
47,4
48,10
49,1
50,0
51,0
52,0
53,10
54,10
55,7
56,3
57,0
58,0
59,0
60,0
61,7
62,9
63,10
64,10
65,10
66,7
67,3
68,0
69,7
70,6
71,7
72,10
73,7
74,2
75,5
76,1
77,10
78,10
79,7
80,2
81,0
82,0
83,0
84,1
85,7
86,10
87,5
88,5
89,3
90,5
91,10
92,5
93,6
94,4
95,0
96,7
97,6
98,7
99,10
100,0
101,0
102,0
103,0
104,0
105,0
106,7
107,8
108,5
109,10
110,0
111,5
112,6
113,10
114,7
115,10
116,7
117,8
118,5
119,10
120,10
121,10
122,4
123,0
124,6
125,0
126,0
127,0
128,7
129,9
130,7
131,7
132,0
133,0
134,0
135,7
136,10
137,7
138,6
139,7
140,6
141,7
142,9
143,1
144,0
145,7
146,6
147,10
148,5
149,2
150,0
151,10
152,4
153,10
154,6
155,0
156,5
157,10
158,9
159,6
160,0
161,0
162,5
163,6
164,10
165,5
166,4
167,0
168,0
169,0
170,7
171,10
172,5
173,8
174,0
175,0
176,0
177,8
178,10
179,7
180,10
181,10
182,4
183,5
184,1
185,0
186,0
187,7
188,10
189,5
190,8
191,7
192,5
193,9
194,6
195,2
196,0
197,10
198,7
199,2
200,10
201,1
202,10
203,7
204,2
205,7
206,6
207,10
208,6
209,1
210,0
211,0
212,0
213,0
214,0
215,8
216,6
217,4
218,10
219,1
220,1
221,5
222,10
223,10
224,2
225,10
226,5
227,10
228,5
229,0
230,0
231,0
232,0
233,0
234,10
235,10
236,4
237,6
238,0
239,0
240,0
241,7
242,6
243,7
244,10
245,0
246,0
247,0
248,5
249,6
250,10
251,9
252,0
253,0
254,7
255,10
256,7
257,5
258,6
259,9
260,7
261,9
262,5
263,5
264,4
265,0
266,0
267,7
268,6
269,7
270,7
271,6
272,5
273,10
274,2
275,0
276,0
277,0
278,0
279,10
280,5
281,4
282,5
283,6
284,10
285,9
286,0
287,0
288,10
289,5
290,10
291,5
292,0
293,0
294,10
295,8
296,7
297,5
298,0
299,0
300,10
301,4
302,8
303,8
304,0
305,7
306,7
307,9
308,7
309,0
310,0
311,7
312,6
313,7
314,2
315,7
316,6
317,10
318,5
319,10
320,7
321,4
322,5
323,4
324,0
325,0
326,0
327,10
328,8
329,4
330,8
331,7
332,10
333,10
334,2
335,0
336,0
337,1
338,7
339,9
340,7
341,10
342,10
343,7
344,2
345,1
346,10
347,4
348,7
349,9
350,10
351,5
352,7
353,8
354,0
355,0
356,0
357,0
358,0
359,0
