# trial_index,allocated_resources
0,10
1,10
2,10
3,0
4,0
5,10
6,10
7,8
8,2
9,0
10,0
11,0
12,10
13,10
14,8
15,2
16,0
17,0
18,10
19,10
20,10
21,0
22,0
23,10
24,10
25,10
26,0
27,10
28,10
29,10
30,0
31,0
32,0
33,10
34,10
35,10
36,0
37,10
38,10
39,10
40,0
41,0
42,0
43,0
44,0
45,10
46,10
47,8
48,2
49,0
50,0
51,0
52,0
53,10
54,10
55,10
56,0
57,0
58,0
59,0
60,0
61,10
62,10
63,8
64,10
65,10
66,8
67,2
68,0
69,10
70,10
71,10
72,10
73,10
74,8
75,2
76,0
77,10
78,10
79,8
80,2
81,0
82,0
83,0
84,0
85,10
86,10
87,10
88,0
89,0
90,10
91,10
92,8
93,2
94,0
95,0
96,10
97,10
98,10
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,10
107,10
108,10
109,0
110,0
111,10
112,10
113,10
114,10
115,10
116,10
117,10
118,10
119,10
120,10
121,10
122,10
123,0
124,0
125,0
126,0
127,0
128,10
129,10
130,10
131,0
132,0
133,0
134,0
135,10
136,10
137,10
138,0
139,10
140,10
141,10
142,0
143,0
144,0
145,10
146,10
147,10
148,0
149,0
150,0
151,10
152,10
153,10
154,0
155,0
156,10
157,10
158,10
159,0
160,0
161,0
162,10
163,10
164,10
165,0
166,0
167,0
168,0
169,0
170,10
171,10
172,8
173,2
174,0
175,0
176,0
177,10
178,10
179,10
180,10
181,10
182,10
183,0
184,0
185,0
186,0
187,10
188,10
189,10
190,0
191,10
192,10
193,10
194,0
195,0
196,0
197,10
198,10
199,8
200,2
201,0
202,10
203,10
204,10
205,10
206,10
207,8
208,2
209,0
210,0
211,0
212,0
213,0
214,0
215,10
216,10
217,10
218,0
219,0
220,0
221,10
222,10
223,10
224,0
225,10
226,10
227,10
228,0
229,0
230,0
231,0
232,0
233,0
234,10
235,10
236,10
237,0
238,0
239,0
240,0
241,10
242,10
243,10
244,0
245,0
246,0
247,0
248,10
249,10
250,10
251,0
252,0
253,0
254,10
255,10
256,8
257,10
258,10
259,10
260,10
261,10
262,10
263,0
264,0
265,0
266,0
267,10
268,10
269,10
270,10
271,10
272,10
273,0
274,0
275,0
276,0
277,0
278,0
279,10
280,10
281,10
282,10
283,10
284,10
285,0
286,0
287,0
288,10
289,10
290,8
291,2
292,0
293,0
294,10
295,10
296,8
297,2
298,0
299,0
300,10
301,10
302,10
303,0
304,0
305,10
306,10
307,10
308,0
309,0
310,0
311,10
312,10
313,10
314,0
315,10
316,10
317,8
318,2
319,10
320,10
321,10
322,0
323,0
324,0
325,0
326,0
327,10
328,10
329,10
330,0
331,10
332,10
333,8
334,2
335,0
336,0
337,0
338,10
339,10
340,10
341,10
342,10
343,10
344,0
345,0
346,10
347,10
348,10
349,0
350,10
351,10
352,10
353,0
354,0
355,0
356,0
357,0
358,0
359,0
