# trial_index,allocated_resources
0,10
1,7
2,7
3,6
4,0
5,8
6,10
7,7
8,5
9,0
10,0
11,0
12,10
13,10
14,7
15,2
16,1
17,0
18,10
19,10
20,7
21,2
22,1
23,10
24,8
25,7
26,5
27,10
28,10
29,8
30,2
31,0
32,0
33,10
34,10
35,7
36,2
37,8
38,10
39,7
40,5
41,0
42,0
43,0
44,0
45,10
46,10
47,7
48,2
49,1
50,0
51,0
52,0
53,8
54,10
55,7
56,5
57,0
58,0
59,0
60,0
61,10
62,10
63,8
64,8
65,10
66,7
67,5
68,0
69,8
70,9
71,10
72,10
73,10
74,7
75,2
76,1
77,10
78,10
79,7
80,2
81,0
82,0
83,0
84,0
85,10
86,10
87,7
88,2
89,1
90,8
91,10
92,7
93,5
94,0
95,0
96,10
97,10
98,7
99,2
100,1
101,0
102,0
103,0
104,0
105,0
106,10
107,7
108,7
109,6
110,0
111,8
112,10
113,7
114,10
115,10
116,7
117,8
118,10
119,7
120,10
121,10
122,7
123,2
124,0
125,0
126,0
127,0
128,10
129,7
130,7
131,6
132,0
133,0
134,0
135,7
136,10
137,7
138,6
139,8
140,10
141,8
142,4
143,0
144,0
145,7
146,10
147,7
148,6
149,0
150,0
151,8
152,9
153,7
154,6
155,0
156,8
157,10
158,7
159,5
160,0
161,0
162,10
163,10
164,7
165,2
166,1
167,0
168,0
169,0
170,10
171,10
172,7
173,2
174,1
175,0
176,0
177,8
178,10
179,7
180,8
181,9
182,10
183,2
184,1
185,0
186,0
187,10
188,10
189,7
190,2
191,8
192,8
193,9
194,5
195,0
196,0
197,10
198,8
199,7
200,5
201,0
202,10
203,8
204,7
205,10
206,10
207,7
208,2
209,0
210,0
211,0
212,0
213,0
214,0
215,10
216,10
217,7
218,2
219,1
220,0
221,8
222,10
223,7
224,4
225,8
226,8
227,9
228,5
229,0
230,0
231,0
232,0
233,0
234,10
235,10
236,7
237,2
238,1
239,0
240,0
241,8
242,10
243,10
244,2
245,0
246,0
247,0
248,8
249,10
250,7
251,5
252,0
253,0
254,10
255,10
256,8
257,7
258,10
259,10
260,8
261,9
262,7
263,6
264,0
265,0
266,0
267,10
268,7
269,7
270,10
271,10
272,7
273,2
274,1
275,0
276,0
277,0
278,0
279,8
280,9
281,10
282,10
283,10
284,8
285,2
286,0
287,0
288,10
289,8
290,7
291,4
292,1
293,0
294,10
295,10
296,8
297,2
298,0
299,0
300,8
301,10
302,7
303,5
304,0
305,8
306,9
307,7
308,6
309,0
310,0
311,10
312,10
313,7
314,2
315,8
316,10
317,7
318,5
319,10
320,10
321,7
322,2
323,1
324,0
325,0
326,0
327,10
328,10
329,7
330,2
331,8
332,10
333,7
334,5
335,0
336,0
337,0
338,10
339,10
340,8
341,10
342,10
343,4
344,6
345,0
346,10
347,10
348,7
349,2
350,8
351,10
352,7
353,5
354,0
355,0
356,0
357,0
358,0
359,0
