# trial_index,allocated_resources
0,7
1,5
2,7
3,9
4,2
5,7
6,6
7,7
8,1
9,9
10,0
11,0
12,7
13,7
14,5
15,9
16,2
17,0
18,7
19,6
20,7
21,9
22,1
23,5
24,6
25,7
26,9
27,7
28,7
29,9
30,5
31,2
32,0
33,7
34,9
35,5
36,5
37,5
38,7
39,9
40,9
41,0
42,0
43,0
44,0
45,7
46,6
47,7
48,9
49,0
50,1
51,0
52,0
53,5
54,6
55,9
56,2
57,8
58,0
59,0
60,0
61,7
62,7
63,5
64,5
65,7
66,7
67,1
68,2
69,5
70,7
71,7
72,7
73,6
74,7
75,9
76,0
77,7
78,6
79,5
80,9
81,2
82,1
83,0
84,0
85,7
86,7
87,7
88,9
89,0
90,7
91,5
92,7
93,9
94,2
95,0
96,7
97,6
98,7
99,9
100,0
101,1
102,0
103,0
104,0
105,0
106,5
107,6
108,7
109,9
110,2
111,7
112,6
113,5
114,7
115,6
116,9
117,7
118,7
119,9
120,5
121,6
122,6
123,9
124,2
125,2
126,0
127,0
128,7
129,9
130,9
131,5
132,0
133,0
134,0
135,5
136,6
137,7
138,9
139,7
140,6
141,5
142,9
143,2
144,0
145,7
146,6
147,5
148,2
149,8
150,2
151,8
152,5
153,7
154,9
155,0
156,7
157,6
158,7
159,2
160,8
161,0
162,5
163,6
164,7
165,9
166,2
167,1
168,0
169,0
170,7
171,6
172,7
173,9
174,1
175,0
176,0
177,7
178,9
179,5
180,5
181,9
182,5
183,7
184,4
185,0
186,0
187,7
188,6
189,9
190,7
191,7
192,6
193,5
194,2
195,8
196,2
197,7
198,5
199,7
200,9
201,2
202,7
203,7
204,9
205,7
206,6
207,7
208,9
209,1
210,0
211,0
212,0
213,0
214,0
215,5
216,6
217,7
218,9
219,2
220,1
221,5
222,6
223,6
224,7
225,5
226,6
227,9
228,5
229,1
230,4
231,0
232,0
233,0
234,7
235,9
236,5
237,5
238,4
239,0
240,0
241,7
242,6
243,7
244,9
245,1
246,0
247,0
248,7
249,6
250,7
251,2
252,5
253,3
254,7
255,9
256,7
257,7
258,6
259,5
260,7
261,6
262,7
263,9
264,0
265,1
266,0
267,7
268,6
269,7
270,7
271,6
272,7
273,9
274,1
275,0
276,0
277,0
278,0
279,8
280,7
281,5
282,7
283,5
284,7
285,9
286,2
287,0
288,7
289,7
290,9
291,7
292,0
293,0
294,7
295,6
296,7
297,9
298,1
299,0
300,7
301,7
302,9
303,7
304,0
305,5
306,6
307,9
308,9
309,1
310,0
311,7
312,5
313,7
314,9
315,7
316,7
317,5
318,9
319,7
320,9
321,5
322,7
323,2
324,0
325,0
326,0
327,7
328,9
329,5
330,5
331,7
332,6
333,7
334,9
335,1
336,0
337,0
338,7
339,7
340,5
341,5
342,6
343,9
344,1
345,9
346,7
347,7
348,7
349,9
350,7
351,7
352,5
353,2
354,9
355,0
356,0
357,0
358,0
359,0
