# trial_index,allocated_resources
0,8
1,6
2,9
3,7
4,0
5,7
6,9
7,7
8,7
9,0
10,0
11,0
12,8
13,10
14,7
15,2
16,2
17,1
18,8
19,8
20,7
21,5
22,1
23,7
24,8
25,9
26,6
27,8
28,8
29,9
30,5
31,0
32,0
33,7
34,9
35,10
36,2
37,7
38,7
39,9
40,7
41,0
42,0
43,0
44,0
45,8
46,9
47,7
48,6
49,0
50,0
51,0
52,0
53,7
54,8
55,7
56,8
57,0
58,0
59,0
60,0
61,7
62,9
63,9
64,8
65,10
66,5
67,3
68,4
69,7
70,6
71,7
72,7
73,9
74,9
75,5
76,0
77,8
78,9
79,7
80,6
81,0
82,0
83,0
84,0
85,8
86,7
87,9
88,6
89,0
90,8
91,8
92,7
93,6
94,1
95,0
96,7
97,6
98,9
99,7
100,1
101,0
102,0
103,0
104,0
105,0
106,7
107,9
108,9
109,5
110,0
111,8
112,7
113,5
114,8
115,7
116,9
117,8
118,10
119,7
120,7
121,9
122,7
123,7
124,0
125,0
126,0
127,0
128,7
129,7
130,9
131,7
132,0
133,0
134,0
135,7
136,9
137,9
138,5
139,8
140,7
141,4
142,10
143,1
144,0
145,7
146,9
147,9
148,5
149,0
150,0
151,5
152,9
153,7
154,9
155,0
156,8
157,8
158,4
159,7
160,1
161,0
162,7
163,9
164,7
165,7
166,0
167,0
168,0
169,0
170,8
171,7
172,5
173,7
174,3
175,0
176,0
177,7
178,9
179,9
180,8
181,7
182,10
183,5
184,0
185,0
186,0
187,7
188,10
189,10
190,2
191,7
192,10
193,5
194,5
195,1
196,2
197,7
198,8
199,9
200,6
201,0
202,8
203,5
204,7
205,7
206,6
207,7
208,9
209,1
210,0
211,0
212,0
213,0
214,0
215,8
216,10
217,7
218,2
219,2
220,1
221,8
222,6
223,9
224,7
225,10
226,7
227,4
228,5
229,3
230,0
231,0
232,1
233,0
234,5
235,7
236,7
237,9
238,2
239,0
240,0
241,7
242,10
243,5
244,0
245,8
246,0
247,0
248,8
249,10
250,5
251,7
252,0
253,0
254,7
255,8
256,5
257,7
258,8
259,9
260,7
261,9
262,10
263,2
264,2
265,0
266,0
267,7
268,9
269,7
270,10
271,10
272,7
273,2
274,1
275,0
276,0
277,0
278,0
279,8
280,8
281,5
282,7
283,9
284,9
285,5
286,0
287,0
288,8
289,10
290,7
291,5
292,0
293,0
294,5
295,9
296,10
297,2
298,4
299,0
300,7
301,6
302,9
303,8
304,0
305,10
306,10
307,7
308,2
309,1
310,0
311,7
312,9
313,7
314,7
315,7
316,9
317,7
318,7
319,8
320,10
321,7
322,4
323,1
324,0
325,0
326,0
327,8
328,7
329,4
330,10
331,7
332,6
333,9
334,8
335,0
336,0
337,0
338,8
339,10
340,4
341,7
342,9
343,5
344,9
345,0
346,8
347,7
348,9
349,6
350,8
351,8
352,9
353,5
354,0
355,0
356,0
357,0
358,0
359,0
