# trial_index,allocated_resources
0,5
1,10
2,9
3,5
4,0
5,10
6,4
7,7
8,9
9,0
10,0
11,0
12,10
13,10
14,7
15,2
16,0
17,1
18,10
19,7
20,7
21,5
22,0
23,10
24,10
25,7
26,2
27,10
28,8
29,4
30,6
31,0
32,2
33,8
34,10
35,4
36,8
37,10
38,5
39,7
40,5
41,2
42,0
43,0
44,1
45,10
46,8
47,7
48,5
49,0
50,0
51,0
52,0
53,7
54,8
55,5
56,9
57,1
58,0
59,0
60,0
61,10
62,7
63,8
64,7
65,7
66,10
67,5
68,1
69,7
70,10
71,5
72,7
73,6
74,10
75,7
76,0
77,7
78,9
79,9
80,5
81,0
82,0
83,0
84,0
85,10
86,4
87,4
88,10
89,2
90,7
91,10
92,10
93,2
94,0
95,1
96,7
97,9
98,9
99,5
100,0
101,0
102,0
103,0
104,0
105,0
106,10
107,8
108,7
109,2
110,2
111,10
112,7
113,7
114,8
115,8
116,5
117,5
118,6
119,7
120,7
121,10
122,7
123,5
124,0
125,0
126,1
127,0
128,8
129,9
130,7
131,5
132,0
133,1
134,0
135,7
136,9
137,5
138,5
139,7
140,10
141,5
142,7
143,1
144,0
145,10
146,4
147,4
148,10
149,2
150,0
151,7
152,10
153,5
154,5
155,2
156,5
157,9
158,9
159,7
160,0
161,0
162,7
163,8
164,9
165,6
166,0
167,0
168,0
169,0
170,5
171,6
172,9
173,10
174,0
175,0
176,0
177,5
178,10
179,9
180,10
181,5
182,4
183,10
184,1
185,0
186,0
187,7
188,6
189,7
190,10
191,8
192,10
193,5
194,6
195,1
196,0
197,5
198,7
199,10
200,5
201,3
202,7
203,10
204,7
205,7
206,10
207,10
208,2
209,1
210,0
211,0
212,0
213,0
214,0
215,7
216,5
217,6
218,9
219,3
220,0
221,7
222,10
223,5
224,8
225,7
226,10
227,7
228,5
229,0
230,1
231,0
232,0
233,0
234,7
235,10
236,7
237,5
238,1
239,0
240,0
241,8
242,5
243,7
244,10
245,0
246,0
247,0
248,10
249,4
250,4
251,9
252,2
253,1
254,8
255,5
256,10
257,5
258,6
259,9
260,10
261,5
262,4
263,10
264,0
265,0
266,0
267,7
268,9
269,9
270,7
271,5
272,7
273,9
274,2
275,0
276,0
277,0
278,0
279,5
280,6
281,9
282,8
283,8
284,7
285,6
286,0
287,0
288,8
289,7
290,10
291,2
292,2
293,0
294,8
295,8
296,10
297,2
298,2
299,0
300,7
301,10
302,4
303,8
304,1
305,5
306,7
307,9
308,9
309,0
310,0
311,8
312,5
313,4
314,9
315,8
316,10
317,7
318,5
319,10
320,7
321,2
322,10
323,0
324,0
325,0
326,1
327,5
328,6
329,9
330,9
331,7
332,7
333,10
334,5
335,1
336,0
337,0
338,7
339,10
340,7
341,7
342,9
343,7
344,7
345,0
346,10
347,10
348,4
349,5
350,8
351,5
352,5
353,9
354,3
355,0
356,0
357,0
358,0
359,0
