# trial_index,allocated_resources
0,10
1,10
2,10
3,0
4,0
5,8
6,10
7,7
8,4
9,1
10,0
11,0
12,10
13,7
14,7
15,5
16,0
17,0
18,8
19,7
20,9
21,5
22,1
23,8
24,8
25,5
26,9
27,5
28,6
29,9
30,9
31,1
32,0
33,7
34,6
35,9
36,7
37,7
38,9
39,5
40,9
41,0
42,0
43,0
44,0
45,8
46,8
47,5
48,7
49,1
50,0
51,1
52,0
53,8
54,10
55,7
56,5
57,0
58,0
59,0
60,0
61,8
62,10
63,8
64,10
65,10
66,7
67,2
68,1
69,8
70,7
71,10
72,10
73,5
74,4
75,9
76,2
77,7
78,10
79,7
80,6
81,0
82,0
83,0
84,0
85,5
86,10
87,6
88,5
89,2
90,7
91,10
92,7
93,2
94,2
95,1
96,7
97,6
98,7
99,10
100,0
101,0
102,0
103,0
104,0
105,0
106,8
107,7
108,5
109,10
110,0
111,7
112,6
113,9
114,7
115,9
116,10
117,10
118,8
119,4
120,8
121,7
122,4
123,9
124,2
125,0
126,0
127,0
128,5
129,10
130,7
131,8
132,0
133,0
134,0
135,5
136,10
137,7
138,8
139,7
140,9
141,5
142,9
143,0
144,0
145,7
146,9
147,7
148,7
149,0
150,0
151,10
152,7
153,8
154,2
155,2
156,7
157,9
158,10
159,2
160,2
161,0
162,8
163,6
164,7
165,9
166,0
167,0
168,0
169,0
170,7
171,10
172,5
173,8
174,0
175,0
176,0
177,8
178,8
179,9
180,8
181,8
182,10
183,2
184,2
185,0
186,0
187,7
188,10
189,9
190,2
191,8
192,7
193,5
194,5
195,5
196,0
197,7
198,6
199,10
200,6
201,1
202,5
203,7
204,7
205,10
206,5
207,4
208,10
209,1
210,0
211,0
212,0
213,0
214,0
215,7
216,6
217,9
218,7
219,1
220,0
221,8
222,8
223,9
224,2
225,10
226,8
227,4
228,0
229,8
230,0
231,0
232,0
233,0
234,7
235,10
236,5
237,0
238,8
239,0
240,0
241,10
242,10
243,7
244,2
245,1
246,0
247,0
248,8
249,10
250,10
251,2
252,0
253,0
254,10
255,5
256,4
257,7
258,6
259,7
260,7
261,6
262,10
263,5
264,2
265,0
266,0
267,5
268,6
269,6
270,10
271,7
272,5
273,8
274,0
275,0
276,0
277,0
278,0
279,7
280,6
281,7
282,7
283,6
284,7
285,10
286,0
287,0
288,5
289,10
290,5
291,0
292,10
293,0
294,10
295,10
296,7
297,2
298,1
299,0
300,7
301,9
302,7
303,7
304,0
305,8
306,6
307,7
308,9
309,0
310,0
311,8
312,9
313,5
314,3
315,7
316,9
317,7
318,7
319,7
320,8
321,10
322,5
323,0
324,0
325,0
326,0
327,8
328,8
329,5
330,9
331,5
332,9
333,6
334,10
335,0
336,0
337,0
338,10
339,7
340,7
341,8
342,7
343,9
344,5
345,0
346,5
347,10
348,7
349,5
350,7
351,9
352,9
353,5
354,0
355,0
356,0
357,0
358,0
359,0
