# trial_index,allocated_resources
0,8
1,9
2,7
3,6
4,0
5,10
6,5
7,4
8,5
9,4
10,2
11,0
12,8
13,7
14,9
15,6
16,0
17,0
18,7
19,9
20,7
21,7
22,0
23,7
24,9
25,10
26,2
27,7
28,9
29,10
30,4
31,0
32,0
33,10
34,7
35,4
36,9
37,8
38,7
39,7
40,8
41,0
42,0
43,0
44,0
45,8
46,9
47,7
48,6
49,0
50,0
51,0
52,0
53,7
54,9
55,5
56,9
57,0
58,0
59,0
60,0
61,7
62,9
63,7
64,7
65,7
66,9
67,7
68,0
69,8
70,10
71,7
72,7
73,9
74,10
75,4
76,0
77,10
78,10
79,4
80,5
81,1
82,0
83,0
84,0
85,7
86,9
87,7
88,7
89,0
90,8
91,9
92,7
93,6
94,0
95,0
96,7
97,6
98,7
99,9
100,1
101,0
102,0
103,0
104,0
105,0
106,7
107,9
108,7
109,7
110,0
111,8
112,8
113,5
114,8
115,10
116,7
117,7
118,9
119,10
120,10
121,10
122,7
123,2
124,0
125,1
126,0
127,0
128,7
129,7
130,9
131,7
132,0
133,0
134,0
135,8
136,9
137,7
138,6
139,10
140,10
141,4
142,5
143,1
144,0
145,7
146,9
147,9
148,5
149,0
150,0
151,7
152,9
153,7
154,7
155,0
156,8
157,8
158,5
159,9
160,0
161,0
162,7
163,9
164,10
165,4
166,0
167,0
168,0
169,0
170,7
171,9
172,7
173,7
174,0
175,0
176,0
177,7
178,9
179,9
180,8
181,9
182,7
183,6
184,0
185,0
186,0
187,7
188,6
189,9
190,7
191,8
192,9
193,5
194,8
195,0
196,0
197,8
198,7
199,7
200,7
201,1
202,8
203,7
204,9
205,10
206,7
207,4
208,5
209,4
210,0
211,0
212,0
213,0
214,0
215,7
216,9
217,7
218,7
219,0
220,0
221,8
222,7
223,7
224,8
225,8
226,9
227,7
228,6
229,0
230,0
231,0
232,0
233,0
234,8
235,6
236,9
237,7
238,0
239,0
240,0
241,7
242,9
243,7
244,7
245,0
246,0
247,0
248,7
249,9
250,10
251,2
252,2
253,0
254,10
255,10
256,7
257,10
258,10
259,4
260,7
261,9
262,7
263,7
264,0
265,0
266,0
267,7
268,9
269,9
270,8
271,9
272,7
273,6
274,0
275,0
276,0
277,0
278,0
279,8
280,6
281,9
282,8
283,7
284,9
285,6
286,0
287,0
288,7
289,9
290,7
291,7
292,0
293,0
294,8
295,10
296,7
297,5
298,0
299,0
300,10
301,10
302,7
303,2
304,0
305,7
306,9
307,7
308,7
309,0
310,0
311,8
312,7
313,7
314,8
315,8
316,9
317,7
318,6
319,10
320,10
321,4
322,5
323,1
324,0
325,0
326,0
327,8
328,7
329,9
330,6
331,7
332,9
333,7
334,7
335,0
336,0
337,0
338,7
339,9
340,10
341,7
342,7
343,9
344,7
345,0
346,8
347,10
348,7
349,4
350,7
351,9
352,7
353,7
354,0
355,0
356,0
357,0
358,0
359,0
