#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             7.0,       10, 0.08914996202882997,                5.0,                  5.0
             5.0,       10, 0.08371999473790392,                5.0,                  5.0
             8.0,        9, 0.09875191007882105,                5.0,                  5.0
             8.0,        1, 0.7109242800553772,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,        8, 0.07563799690668616,                5.0,                  5.0
             8.0,       10, 0.05255787274085536,                5.0,                  5.0
             7.0,        8, 0.05183349710679681,                5.0,                  5.0
             9.0,        2, 0.3287966331049933,  2.868545493072215,                  5.0
             8.0,        0,         -1,                0.0,                  0.0
             6.0,        0,         -1, 2.6439541266225897,    4.353527190275538
             8.0,        0,         -1, 0.15010092653058063,                  0.0
             6.0,        0,         -1,                0.0,                  0.0
             8.0,        2, 0.5418282154015285, 2.9471023027744803,   1.8460346726630046
             7.0,        0,         -1,                  0,                    0
             7.0,       10, 0.08914996202882997,                5.0,                  5.0
             6.0,        8, 0.12624944493435436,                5.0,                  5.0
             9.0,        0,         -1,                5.0,                  5.0
             7.0,        4, 0.09917248512286964,                5.0,                  5.0
             6.0,        8, 0.08367947819256258, 4.0584057399119535,                  5.0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             6.0,       10, 0.06028140191461786,                5.0,                  5.0
             6.0,        8, 0.12624944493435436,                5.0,                  5.0
             6.0,        8, 0.16400932692839001,                5.0,                  5.0
             8.0,        0,         -1,  2.868545493072215,                  5.0
             9.0,        2, 0.32879663310499313,                0.0,    2.943028120411538
             7.0,        0,         -1, 2.6439541266225897,    4.353527190275538
             6.0,        1, 0.5418282154015284, 0.15010092653058063,                  0.0
             6.0,        0,         -1,                0.0,                  0.0
             8.0,        0,         -1,                0.0,                  0.0
             8.0,        0,         -1,                0.0,                  0.0
             8.0,        8, 0.07563799690668616,                5.0,                  5.0
             6.0,        7, 0.16379993640800522,                5.0,                  5.0
             7.0,        8, 0.06861708611628417,                5.0,                  5.0
             7.0,        3, 0.13279588755563745,                5.0,                  5.0
             7.0,        1, 0.3287966331049933,                0.0,    2.943028120411538
             8.0,        3, 0.42185432195813083, 3.6439541266225897,                  5.0
             7.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             8.0,        8, 0.07563799690668616,                5.0,                  5.0
             5.0,        9, 0.05682702212439099,                5.0,                  5.0
             7.0,        7, 0.11307722617218663,                5.0,                  5.0
             6.0,        4, 0.18848025029978394,                5.0,                  5.0
             6.0,        2, 0.5418282154015285,                0.0,                  0.0
             7.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             7.0,       10, 0.08914996202882997,                5.0,                  5.0
             8.0,        9, 0.06677799053520403,                5.0,                  5.0
             8.0,       10, 0.07597585799634626,                5.0,                  5.0
