#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             5.0,        8, 0.08326442467096869,                5.0,                  5.0
             6.0,        7, 0.16379993640800522,                5.0,                  5.0
             4.0,       10, 0.06123915040671108,                5.0,                  5.0
             5.0,        8, 0.08326442467096869,                5.0,                  5.0
             8.0,       10, 0.05255787274085536,                5.0,                  5.0
             8.0,        8, 0.13436718036311895,                5.0,                  5.0
             2.0,        8, 0.09205398488360028,                5.0,                  5.0
             3.0,        8, 0.06996792901244438,                5.0,                  5.0
             2.0,       10, 0.24222446699028383,  4.751775555552621,                  5.0
             5.0,        8, 0.08326442467096869,                5.0,                  5.0
             2.0,        8, 0.0724410406450689,                5.0,                  5.0
             5.0,       10, 0.13251746854284682,                5.0,                  5.0
             6.0,       10, 0.06028140191461786,                5.0,                  5.0
             3.0,       10, 0.08087220659731525,                5.0,                  5.0
             6.0,       10, 0.10778010009562392,                5.0,                  5.0
             6.0,       10, 0.06028140191461786,                5.0,                  5.0
             2.0,       10, 0.08688184872025259,                5.0,                  5.0
             5.0,        4, 0.11169896063042378,                5.0,                  5.0
             3.0,        8, 0.1067660802398095,                5.0,                  5.0
             4.0,        9, 0.08060489877423661,                5.0,                  5.0
             3.0,        3, 0.28770744147958294, 3.7517755555526207,                  5.0
             6.0,       10, 0.06028140191461786,                5.0,                  5.0
             5.0,       10, 0.08371999473790392,                5.0,                  5.0
             3.0,        9, 0.13245899650507642,                5.0,                  5.0
             5.0,        8, 0.08326442467096869,                5.0,                  5.0
             7.0,        8, 0.057391858616524724,                5.0,                  5.0
             4.0,       10, 0.16543569196181246,                5.0,                  5.0
             3.0,        8, 0.1067660802398095,                5.0,                  5.0
             4.0,        9, 0.08060489877423661,                5.0,                  5.0
             8.0,        5, 0.18565102134752506,                5.0,                  5.0
             8.0,        8, 0.07563799690668616,                5.0,                  5.0
             6.0,        7, 0.16379993640800522,                5.0,                  5.0
             8.0,       10, 0.24898303766175842,  4.751775555552621,                  5.0
             7.0,       10, 0.08914996202882997,                5.0,                  5.0
             4.0,        9, 0.0481280997093982,                5.0,                  5.0
             2.0,        2, 0.05227750293358638,                5.0,                  5.0
             6.0,       10, 0.06028140191461786,                5.0,                  5.0
             5.0,       10, 0.08371999473790392,                5.0,                  5.0
             4.0,        9, 0.07033355656025483,                5.0,                  5.0
             3.0,        8, 0.1067660802398095,                5.0,                  5.0
             4.0,        9, 0.08060489877423661,                5.0,                  5.0
             5.0,        9, 0.1868206854983154,                5.0,                  5.0
             3.0,        8, 0.1067660802398095,                5.0,                  5.0
             4.0,        9, 0.08060489877423661,                5.0,                  5.0
             5.0,        9, 0.1868206854983154,                5.0,                  5.0
             5.0,        8, 0.08326442467096869,                5.0,                  5.0
             6.0,        7, 0.16379993640800522,                5.0,                  5.0
             4.0,       10, 0.06123915040671108,                5.0,                  5.0
             5.0,        8, 0.08326442467096869,                5.0,                  5.0
             8.0,       10, 0.05255787274085536,                5.0,                  5.0
             8.0,        8, 0.13436718036311895,                5.0,                  5.0
             2.0,        8, 0.09205398488360028,                5.0,                  5.0
             3.0,        8, 0.06996792901244438,                5.0,                  5.0
             2.0,       10, 0.24222446699028383,  4.751775555552621,                  5.0
             5.0,        8, 0.08326442467096869,                5.0,                  5.0
             2.0,        8, 0.0724410406450689,                5.0,                  5.0
             5.0,       10, 0.13251746854284682,                5.0,                  5.0
             6.0,       10, 0.06028140191461786,                5.0,                  5.0
             3.0,       10, 0.08087220659731525,                5.0,                  5.0
             6.0,       10, 0.10778010009562392,                5.0,                  5.0
             6.0,       10, 0.06028140191461786,                5.0,                  5.0
             2.0,       10, 0.08688184872025259,                5.0,                  5.0
             5.0,        4, 0.11169896063042378,                5.0,                  5.0
             3.0,        8, 0.1067660802398095,                5.0,                  5.0
             4.0,        9, 0.08060489877423661,                5.0,                  5.0
             3.0,        3, 0.28770744147958294, 3.7517755555526207,                  5.0
             6.0,       10, 0.06028140191461786,                5.0,                  5.0
             5.0,       10, 0.08371999473790392,                5.0,                  5.0
             3.0,        9, 0.13245899650507642,                5.0,                  5.0
             5.0,        8, 0.08326442467096869,                5.0,                  5.0
             7.0,        8, 0.057391858616524724,                5.0,                  5.0
             4.0,       10, 0.16543569196181246,                5.0,                  5.0
             3.0,        8, 0.1067660802398095,                5.0,                  5.0
             4.0,        9, 0.08060489877423661,                5.0,                  5.0
             8.0,        5, 0.18565102134752506,                5.0,                  5.0
             8.0,        8, 0.07563799690668616,                5.0,                  5.0
             6.0,        7, 0.16379993640800522,                5.0,                  5.0
             8.0,       10, 0.24898303766175842,  4.751775555552621,                  5.0
             7.0,       10, 0.08914996202882997,                5.0,                  5.0
             4.0,        9, 0.0481280997093982,                5.0,                  5.0
             2.0,        2, 0.05227750293358638,                5.0,                  5.0
             6.0,       10, 0.06028140191461786,                5.0,                  5.0
             5.0,       10, 0.08371999473790392,                5.0,                  5.0
             4.0,        9, 0.07033355656025483,                5.0,                  5.0
             3.0,        8, 0.1067660802398095,                5.0,                  5.0
             4.0,        9, 0.08060489877423661,                5.0,                  5.0
             5.0,        9, 0.1868206854983154,                5.0,                  5.0
             3.0,        8, 0.1067660802398095,                5.0,                  5.0
             4.0,        9, 0.08060489877423661,                5.0,                  5.0
             5.0,        9, 0.1868206854983154,                5.0,                  5.0
             5.0,        8, 0.08326442467096869,                5.0,                  5.0
             6.0,        7, 0.16379993640800522,                5.0,                  5.0
             4.0,       10, 0.06123915040671108,                5.0,                  5.0
             5.0,        8, 0.08326442467096869,                5.0,                  5.0
             8.0,       10, 0.05255787274085536,                5.0,                  5.0
             8.0,        8, 0.13436718036311895,                5.0,                  5.0
             2.0,        8, 0.09205398488360028,                5.0,                  5.0
             3.0,        8, 0.06996792901244438,                5.0,                  5.0
             2.0,       10, 0.24222446699028383,  4.751775555552621,                  5.0
             5.0,        8, 0.08326442467096869,                5.0,                  5.0
             2.0,        8, 0.0724410406450689,                5.0,                  5.0
             5.0,       10, 0.13251746854284682,                5.0,                  5.0
             6.0,       10, 0.06028140191461786,                5.0,                  5.0
             3.0,       10, 0.08087220659731525,                5.0,                  5.0
             6.0,       10, 0.10778010009562392,                5.0,                  5.0
             6.0,       10, 0.06028140191461786,                5.0,                  5.0
             2.0,       10, 0.08688184872025259,                5.0,                  5.0
             5.0,        4, 0.11169896063042378,                5.0,                  5.0
             3.0,        8, 0.1067660802398095,                5.0,                  5.0
             4.0,        9, 0.08060489877423661,                5.0,                  5.0
             3.0,        3, 0.28770744147958294, 3.7517755555526207,                  5.0
