#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             2.0,        5, 0.0810408057166199,                5.0,                  5.0
             0.0,        5, 0.08495235846438003,                5.0,                  5.0
             3.0,        2, 0.07965326003766182,                5.0,                  5.0
             3.0,        5, 0.059923534920508253,  4.825237882941892,                  5.0
             0.0,        5, 0.06496183100025758, 0.8425214316920826,                  5.0
             2.0,        2, 0.10868516527135894,                5.0,                  5.0
             2.0,        5, 0.0810408057166199,                5.0,                  5.0
             2.0,        6, 0.06806134007677374,                5.0,                  5.0
             1.0,        2, 0.054479768384305995,   3.84596484831365,                  5.0
             3.0,        5, 0.059923534920508253,  4.825237882941892,                  5.0
             3.0,        7, 0.06359689186723128,                5.0,                  5.0
             2.0,        7, 0.10134189749771955,                5.0,                  5.0
             4.0,        5, 0.05203846819086403,                5.0,                  5.0
             3.0,        7, 0.0660747898530201,                5.0,                  5.0
             1.0,        5, 0.08177675906253258,                5.0,                  5.0
             3.0,        5, 0.059923534920508253,  4.825237882941892,                  5.0
             1.0,        5, 0.06352059477471159,                5.0,                  5.0
             3.0,        8, 0.07422189953276359,                5.0,                  5.0
             2.0,        5, 0.0810408057166199,                5.0,                  5.0
             2.0,        6, 0.06806134007677374,                5.0,                  5.0
             1.0,        2, 0.054479768384305995,   3.84596484831365,                  5.0
             4.0,        5, 0.05203846819086403,                5.0,                  5.0
             2.0,        6, 0.06430996297762767,                5.0,                  5.0
             1.0,        5, 0.06842759368982675,                5.0,                  5.0
             1.0,        5, 0.06152267235559593,                5.0,                  5.0
             3.0,        7, 0.06931703721192856, 0.17173643208561806,                  5.0
             3.0,        9, 0.0781595738686583,  2.873917127888685,                  5.0
             3.0,        5, 0.059923534920508253,  4.825237882941892,                  5.0
             3.0,        7, 0.06359689186723128,                5.0,                  5.0
             5.0,        7, 0.06828568247618802, 4.9887995050274325,                  5.0
             1.0,        5, 0.06152267235559593,                5.0,                  5.0
             1.0,        5, 0.13845826195307487,                5.0,                  5.0
             1.0,        2, 0.05700646342655727,                5.0,                  5.0
             3.0,        5, 0.059923534920508253,  4.825237882941892,                  5.0
             4.0,        7, 0.06623117476984683,                5.0,                  5.0
             2.0,        7, 0.10697781967434178,                5.0,                  5.0
             1.0,        5, 0.06152267235559593,                5.0,                  5.0
             1.0,        5, 0.13845826195307487,                5.0,                  5.0
             3.0,        9, 0.0697326392606131,                5.0,                  5.0
             3.0,        5, 0.059923534920508253,  4.825237882941892,                  5.0
             3.0,        7, 0.06359689186723128,                5.0,                  5.0
             1.0,        5, 0.11117112717749535,                5.0,                  5.0
             2.0,        5, 0.0810408057166199,                5.0,                  5.0
             2.0,        6, 0.06806134007677374,                5.0,                  5.0
             2.0,        8, 0.12688667409904614,                5.0,                  5.0
             3.0,        5, 0.059923534920508253,  4.825237882941892,                  5.0
             2.0,        6, 0.06237214088794036,  4.295201095574713,                  5.0
             3.0,        7, 0.09623102613484172,                5.0,                  5.0
             2.0,        5, 0.0810408057166199,                5.0,                  5.0
             2.0,        6, 0.06806134007677374,                5.0,                  5.0
             3.0,        9, 0.09522145087627934,                5.0,                  5.0
             2.0,        5, 0.0810408057166199,                5.0,                  5.0
             1.0,        5, 0.08696503027626824,                5.0,                  5.0
             1.0,        2, 0.06410436746996168,                5.0,                  5.0
             2.0,        5, 0.0810408057166199,                5.0,                  5.0
             4.0,        7, 0.06655469649729712,                5.0,                  5.0
             1.0,        6, 0.07311142188626188,                5.0,                  5.0
