#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
            10.0,       10, 0.05963447439112468,                5.0,                  5.0
            12.0,        2, 0.09309443680920579,                5.0,                  5.0
            11.0,        5, 0.09259364667890034,                5.0,                  5.0
            11.0,        5, 0.0770348982085531,                5.0,                  5.0
            11.0,        7, 0.08367943073019185,                5.0,                  5.0
            12.0,       10, 0.05307244197765764,                5.0,                  5.0
            10.0,       10, 0.07832698636886637,                5.0,                  5.0
            12.0,        0,         -1,                5.0,                  5.0
            10.0,        6, 0.08993351787773475,                5.0,                  5.0
            10.0,        0,         -1, 3.9781254639162005,                  5.0
            11.0,        0,         -1, 3.9781254639162005,                  5.0
            12.0,        1, 0.32879662555420736, 3.9781254639162005,                  5.0
            12.0,       10, 0.05307244197765764,                5.0,                  5.0
            12.0,        2, 0.08637181521274787,                5.0,                  5.0
            12.0,        5, 0.0682396423155709,  4.797491473732966,                  5.0
            12.0,        5, 0.06583797249990565,                5.0,                  5.0
            11.0,        5, 0.08367949965258797,                5.0,                  5.0
            10.0,        1, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
            12.0,       10, 0.05307244197765764,                5.0,                  5.0
            11.0,        2, 0.09271315811379569,                5.0,                  5.0
            11.0,        5, 0.06618086142066944,                5.0,                  5.0
            11.0,        5, 0.07254646500515621,                5.0,                  5.0
            10.0,        7, 0.08367949965258797,                5.0,                  5.0
            12.0,       10, 0.05307244197765764,                5.0,                  5.0
            12.0,        2, 0.08637181521274787,                5.0,                  5.0
            11.0,        5, 0.069907702146792, 1.9393551287322897,                  5.0
            11.0,        5, 0.06511449410769311,                5.0,                  5.0
            12.0,       10, 0.05307244197765764,                5.0,                  5.0
            11.0,        2, 0.09271315811379569,                5.0,                  5.0
            11.0,        5, 0.06618086142066944,                5.0,                  5.0
            11.0,        5, 0.07254646500515621,                5.0,                  5.0
            10.0,        7, 0.08367949965258797,                5.0,                  5.0
            10.0,        1, 0.710924272578675,                0.0,                  0.0
            11.0,       10, 0.05417099604962826,                5.0,                  5.0
            12.0,        2, 0.08914380506283799,                5.0,                  5.0
            10.0,        5, 0.087915401196552,                5.0,                  5.0
            12.0,        5, 0.06544359854923021,                5.0,                  5.0
            12.0,       10, 0.05307244197765764,                5.0,                  5.0
            10.0,       10, 0.07832698636886637,                5.0,                  5.0
            11.0,        5, 0.07736924075219634,                5.0,                  5.0
