#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             5.0,        6, 0.053212767976185286, 4.0474852111677695,                  5.0
             2.0,        5, 0.07281381497975777,  2.977157774226467,                  5.0
             6.0,        9, 0.07463453791841439,                5.0,                  5.0
             6.0,        9, 0.13025518728767102,  4.070005754269624,                  5.0
             1.0,        1, 0.710924272578675,                0.0,                  0.0
             2.0,        5, 0.0810408057166199,                5.0,                  5.0
             5.0,        9, 0.0714227542585969,                5.0,                  5.0
             4.0,        5, 0.08453792809642977,                5.0,                  5.0
             4.0,        5, 0.061882722952996926,                5.0,                  5.0
             3.0,        0,         -1,                5.0,                  5.0
             6.0,        6, 0.1884802072396213,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             5.0,        6, 0.053212767976185286, 4.0474852111677695,                  5.0
             7.0,        9, 0.14575652340203912,                5.0,                  5.0
             5.0,        6, 0.05882463623655696,                5.0,                  5.0
             3.0,        6, 0.039743953323791825,                5.0,                  5.0
             5.0,        3, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             3.0,        0,         -1,                  0,                    0
             6.0,        9, 0.07038995215253756,                5.0,                  5.0
             4.0,        6, 0.05955397303244084,                5.0,                  5.0
             4.0,        5, 0.13124181138832097,                5.0,                  5.0
             3.0,        4, 0.06100885589242126,                5.0,                  5.0
             7.0,        0,         -1,                5.0,                  5.0
             4.0,        5, 0.05203846819086403,                5.0,                  5.0
             4.0,        7, 0.06748673406020939,                5.0,                  5.0
             4.0,        7, 0.06760307506488261,                5.0,                  5.0
             6.0,        7, 0.09745467435579451,                5.0,                  5.0
             5.0,        6, 0.053212767976185286, 4.0474852111677695,                  5.0
             5.0,        7, 0.07099653816090781,                5.0,                  5.0
             5.0,        7, 0.06375375924083095,                5.0,                  5.0
             9.0,        9, 0.127160916313261,                5.0,                  5.0
             4.0,        1, 0.710924272578675,                0.0,                  0.0
             3.0,        0,         -1,                  0,                    0
             3.0,        5, 0.059923534920508253,  4.825237882941892,                  5.0
             6.0,        9, 0.0843138613866,                5.0,                  5.0
             7.0,        5, 0.07398515110204527,                5.0,                  5.0
             4.0,        4, 0.1005955368699907,                5.0,                  5.0
             3.0,        5, 0.059923534920508253,  4.825237882941892,                  5.0
             3.0,        7, 0.06359689186723128,                5.0,                  5.0
             6.0,        7, 0.07924234471191437,                5.0,                  5.0
             6.0,        7, 0.082209867399835,                5.0,                  5.0
             6.0,        0,         -1, 3.9781254639162005,                  5.0
             3.0,        0,         -1, 3.9781254639162005,                  5.0
             5.0,        0,         -1, 3.9781254639162005,                  5.0
             5.0,        1, 0.32879662555420736, 3.9781254639162005,                  5.0
             5.0,        6, 0.053212767976185286, 4.0474852111677695,                  5.0
             6.0,        9, 0.08848518264538702,                5.0,                  5.0
             5.0,        6, 0.06016000766164203,                5.0,                  5.0
             6.0,        6, 0.039743884401395695,                5.0,                  5.0
             5.0,        3, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             5.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             4.0,        5, 0.05203846819086403,                5.0,                  5.0
             4.0,        7, 0.06748673406020939,                5.0,                  5.0
             3.0,        7, 0.07474708819130027,                5.0,                  5.0
             4.0,        7, 0.10810346024799285,                5.0,                  5.0
             7.0,        2, 0.3287966944766035, 3.9781254639162005,                  5.0
             3.0,        1, 0.5418282394614383,                0.0,                  0.0
             6.0,        0,         -1,                0.0,                  0.0
             1.0,        0,         -1,                0.0,                  0.0
             4.0,        5, 0.05203846819086403,                5.0,                  5.0
             5.0,        9, 0.07415587187726777,                5.0,                  5.0
             6.0,        6, 0.09720614019533738,                5.0,                  5.0
             6.0,        9, 0.07038995215253756,                5.0,                  5.0
             6.0,        9, 0.08906102926508176,                5.0,                  5.0
             4.0,        3, 0.06781914677676089,                5.0,                  5.0
             4.0,        3, 0.039743953323791825,                5.0,                  5.0
             6.0,        3, 0.1884802072396213,                5.0,                  5.0
             4.0,        5, 0.05203846819086403,                5.0,                  5.0
             2.0,        6, 0.06430996297762767,                5.0,                  5.0
             2.0,        5, 0.08926490171284442,  4.910591522265803,                  5.0
             3.0,        5, 0.059923534920508253,  4.825237882941892,                  5.0
             5.0,        9, 0.07196227877552933,                5.0,                  5.0
             5.0,        6, 0.09057821797116679,                5.0,                  5.0
             6.0,        6, 0.0774184513430356,                5.0,                  5.0
             4.0,        4, 0.3287966944766035, 3.9781254639162005,                  5.0
             5.0,        6, 0.053212767976185286, 4.0474852111677695,                  5.0
             6.0,        9, 0.08848518264538702,                5.0,                  5.0
             4.0,        5, 0.07378555184284288,                5.0,                  5.0
             5.0,        3, 0.06527604820422986,                5.0,                  5.0
             3.0,        6, 0.13279587357633738, 3.9565692460611386,                  5.0
             4.0,        0,         -1,                0.0,                  0.0
             4.0,        0,         -1,                0.0,                  0.0
             2.0,        1, 0.710924272578675,                0.0,                  0.0
             5.0,        6, 0.053212767976185286, 4.0474852111677695,                  5.0
             4.0,        7, 0.06604384369715618,                5.0,                  5.0
             5.0,        7, 0.06847894087494615,                5.0,                  5.0
             5.0,        7, 0.077060675184707,                5.0,                  5.0
             5.0,        1, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             6.0,        9, 0.07038995215253756,                5.0,                  5.0
             4.0,        6, 0.05955397303244084,                5.0,                  5.0
             4.0,        5, 0.13124181138832097,                5.0,                  5.0
             4.0,        4, 0.07481166847647729,                5.0,                  5.0
             1.0,        6, 0.1884802072396213,                5.0,                  5.0
             2.0,        0,         -1,                  0,                    0
             2.0,        5, 0.0810408057166199,                5.0,                  5.0
             3.0,        7, 0.06624489032667738,                5.0,                  5.0
             5.0,        7, 0.06815018104538971,                5.0,                  5.0
             3.0,        6, 0.0973773434273328,                5.0,                  5.0
             4.0,        0,         -1,                5.0,                  5.0
             7.0,        5, 0.2527640571908685,                5.0,                  5.0
             4.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             3.0,        5, 0.059923534920508253,  4.825237882941892,                  5.0
             4.0,        7, 0.06623117476984683,                5.0,                  5.0
             6.0,        7, 0.08893207546191613,                5.0,                  5.0
             1.0,        7, 0.11334921274010377,                5.0,                  5.0
             5.0,        3, 0.3287966944766035, 3.9781254639162005,                  5.0
             5.0,        6, 0.053212767976185286, 4.0474852111677695,                  5.0
             3.0,        6, 0.06882596513947793,                5.0,                  5.0
             2.0,        7, 0.09717326421238175, 3.1533011700416775,                  5.0
             5.0,        6, 0.053212767976185286, 4.0474852111677695,                  5.0
             3.0,        6, 0.06882596513947793,                5.0,                  5.0
             5.0,        7, 0.08194038083095333,                5.0,                  5.0
             5.0,        6, 0.053212767976185286, 4.0474852111677695,                  5.0
             8.0,       10, 0.12237308422106054, 1.1077580678462553,                  5.0
             4.0,        5, 0.06482674310383607, 2.9991319245663686,                  5.0
             2.0,        5, 0.0810408057166199,                5.0,                  5.0
