#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             0.0,        5, 0.06143403815416834,                5.0,                  5.0
             7.0,        9, 0.07684777390305086,                5.0,                  5.0
             6.0,        5, 0.05364980489006732,                5.0,                  5.0
             4.0,        3, 0.06658488450680355,                5.0,                  5.0
             4.0,        0,         -1,                5.0,                  5.0
             8.0,       10, 0.08907681249379631,                5.0,                  5.0
             0.0,        1, 0.06375279432728509,                5.0,                  5.0
             6.0,       10, 0.08987617444415175,                5.0,                  5.0
             2.0,        9, 0.039743953323791825,                5.0,                  5.0
             0.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             7.0,       10, 0.1204382947168031,   1.88840449346619,                  5.0
             7.0,       10, 0.15260410130268692,                5.0,                  5.0
             7.0,        9, 0.11930197117175136,                5.0,                  5.0
             7.0,        1, 0.710924272578675,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             8.0,       10, 0.08907681249379631,                5.0,                  5.0
             4.0,        5, 0.1061905191433097,                5.0,                  5.0
             5.0,        6, 0.05820013040519202,                5.0,                  5.0
             3.0,        6, 0.039743953323791825,                5.0,                  5.0
             1.0,        1, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             7.0,       10, 0.12064788772344484,                5.0,                  5.0
             6.0,        6, 0.05754488518515157,                5.0,                  5.0
             4.0,        1, 0.32879662555420736, 3.9781254639162005,                  5.0
             8.0,       10, 0.08907681249379631,                5.0,                  5.0
             5.0,        6, 0.053660970318240936,                5.0,                  5.0
             4.0,        6, 0.0551002767166952, 0.9829727829351533,                  5.0
             4.0,        6, 0.08367949965258797,                5.0,                  5.0
             2.0,        1, 0.5418282394614383,                0.0,                  0.0
             0.0,        0,         -1,                0.0,                  0.0
             5.0,        6, 0.053212767976185286, 4.0474852111677695,                  5.0
             8.0,       10, 0.12237308422106054, 1.1077580678462553,                  5.0
             0.0,        1, 0.05684904467378853,                5.0,                  5.0
             8.0,        6, 0.07780138417595289,                5.0,                  5.0
             8.0,       10, 0.08907681249379631,                5.0,                  5.0
             2.0,        4, 0.061671406886451854,                5.0,                  5.0
             6.0,       10, 0.07778125883628194,                5.0,                  5.0
             1.0,        6, 0.1884802072396213,                5.0,                  5.0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             0.0,        0,         -1,                  0,                    0
             9.0,       10, 0.07504049083164024,  4.421501611779748,                  5.0
             4.0,        1, 0.0821263334557213,                5.0,                  5.0
             8.0,       10, 0.12438871969598249,                5.0,                  5.0
             6.0,        6, 0.039743884401395695,                5.0,                  5.0
             7.0,        0,         -1,  2.484989136752146,   3.4168290237444645
             7.0,        1, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             1.0,        0,         -1,                0.0,                  0.0
             3.0,        0,         -1,                0.0,                  0.0
             4.0,        5, 0.05203846819086403,                5.0,                  5.0
             4.0,        7, 0.06748673406020939,                5.0,                  5.0
             0.0,        7, 0.095108142457036,                5.0,                  5.0
             5.0,        9, 0.06652616262529788,                5.0,                  5.0
             1.0,        0,         -1,                0.0,                  0.0
             7.0,        0,         -1,                0.0,                  0.0
             6.0,        2, 0.5418282394614383,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             7.0,       10, 0.1204382947168031,   1.88840449346619,                  5.0
             3.0,        4, 0.06993072222710056,                5.0,                  5.0
             9.0,        9, 0.11613760612047366,                5.0,                  5.0
             4.0,        5, 0.05203846819086403,                5.0,                  5.0
             3.0,        7, 0.0660747898530201,                5.0,                  5.0
             9.0,        8, 0.08665991082858558,                5.0,                  5.0
             3.0,        6, 0.14237098638156925,                5.0,                  5.0
             0.0,        0,         -1, 3.9781254639162005,                  5.0
             4.0,        5, 0.05203846819086403,                5.0,                  5.0
             7.0,        9, 0.17368008758351464,                5.0,                  5.0
             1.0,        5, 0.07809065147252486,   4.89479698735337,                  5.0
             4.0,        5, 0.05203846819086403,                5.0,                  5.0
             1.0,        6, 0.057927749095672734,                5.0,                  5.0
             6.0,        9, 0.0605299141616901,                5.0,                  5.0
             4.0,        5, 0.15332048068809773, 3.4544872466131973,                  5.0
             3.0,        0,         -1,                5.0,                  5.0
             2.0,        5, 0.0810408057166199,                5.0,                  5.0
             5.0,        9, 0.0714227542585969,                5.0,                  5.0
             6.0,        5, 0.10720912323576555,                5.0,                  5.0
             9.0,        8, 0.0722812516248348,                5.0,                  5.0
             4.0,        0,         -1,  2.484989136752146,   3.4168290237444645
             1.0,        0,         -1,  2.484989136752146,   3.4168290237444645
             8.0,        2, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             6.0,        0,         -1,                0.0,                  0.0
             7.0,       10, 0.1204382947168031,   1.88840449346619,                  5.0
             0.0,        5, 0.07450861670067863,                5.0,                  5.0
             3.0,        6, 0.06212381349467164,  4.147114461299386,                  5.0
             7.0,        5, 0.039743953323791825,                5.0,                  5.0
             8.0,        2, 0.32879662555420736, 3.9781254639162005,                  5.0
             4.0,        5, 0.05203846819086403,                5.0,                  5.0
             8.0,        9, 0.13883864465733523,                5.0,                  5.0
             8.0,        9, 0.09301035148592302,                5.0,                  5.0
             3.0,        3, 0.13279587357633738, 3.9565692460611386,                  5.0
             8.0,        0,         -1, 3.9781254639162005,                  5.0
             2.0,        0,         -1, 3.9781254639162005,                  5.0
             2.0,        5, 0.0810408057166199,                5.0,                  5.0
             6.0,        9, 0.08243200428257302,                5.0,                  5.0
             6.0,        5, 0.15617359219843688,  4.767202325464435,                  5.0
             1.0,        7, 0.13222030264622717, 1.7955142653277605,                  5.0
             8.0,        0,         -1, 3.9781254639162005,                  5.0
             1.0,        2, 0.3287966944766035, 3.9781254639162005,                  5.0
             8.0,        1, 0.5418282394614383,                0.0,                  0.0
             0.0,        0,         -1,                0.0,                  0.0
             7.0,        1, 0.710924272578675,                0.0,                  0.0
             7.0,        0,         -1,                  0,                    0
             7.0,       10, 0.1204382947168031,   1.88840449346619,                  5.0
             6.0,        9, 0.0966236081032177,                5.0,                  5.0
             4.0,        3, 0.07561227102996312,                5.0,                  5.0
             7.0,        5, 0.08367943073019185,                5.0,                  5.0
             2.0,        3, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             7.0,       10, 0.1204382947168031,   1.88840449346619,                  5.0
