#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             2.0,        7, 0.06028778978407339,                5.0,                  5.0
             0.0,        5, 0.05631227705270144,                5.0,                  5.0
             3.0,        7, 0.06254920252360713,  2.693641015515693,                  5.0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             0.0,        5, 0.05639367440253501, 3.1214982768552106,                  5.0
             2.0,        7, 0.06097391223758161,                5.0,                  5.0
             2.0,        7, 0.06028778978407339,                5.0,                  5.0
             2.0,        6, 0.057852141227114365,                5.0,                  5.0
             1.0,        7, 0.05842440388221017, 2.1041289481794045,                  5.0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             3.0,        7, 0.06082821029215556,                5.0,                  5.0
             2.0,        7, 0.058819811668827625,                5.0,                  5.0
             4.0,        7, 0.06422718717987143,                5.0,                  5.0
             3.0,        7, 0.06190229691349882,                5.0,                  5.0
             1.0,        5, 0.06009142987748927,                5.0,                  5.0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             1.0,        6, 0.05717070549654322,                5.0,                  5.0
             3.0,        7, 0.061935310741246724,                5.0,                  5.0
             2.0,        7, 0.06028778978407339,                5.0,                  5.0
             2.0,        6, 0.057852141227114365,                5.0,                  5.0
             1.0,        7, 0.05842440388221017, 2.1041289481794045,                  5.0
             4.0,        7, 0.06422718717987143,                5.0,                  5.0
             2.0,        6, 0.0594685092612354,                5.0,                  5.0
             1.0,        5, 0.059783622456357405,                5.0,                  5.0
             1.0,        5, 0.05986632933171751,                5.0,                  5.0
             3.0,        7, 0.06264279913755631,                5.0,                  5.0
             3.0,        9, 0.062419559496480155,                5.0,                  5.0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             3.0,        7, 0.06082821029215556,                5.0,                  5.0
             5.0,        9, 0.06866937345546278,                5.0,                  5.0
             1.0,        5, 0.05986632933171751,                5.0,                  5.0
             1.0,        6, 0.058561490528119556, 2.8614405326520895,                  5.0
             1.0,        6, 0.05885447963408273,                5.0,                  5.0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             4.0,        9, 0.06396783220322136,                5.0,                  5.0
             2.0,        5, 0.058425230950963775,                5.0,                  5.0
             1.0,        5, 0.05986632933171751,                5.0,                  5.0
             1.0,        6, 0.058561490528119556, 2.8614405326520895,                  5.0
             3.0,        7, 0.06241066850737894,                5.0,                  5.0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             3.0,        7, 0.06082821029215556,                5.0,                  5.0
             1.0,        5, 0.057964071198435045,                5.0,                  5.0
             2.0,        7, 0.06028778978407339,                5.0,                  5.0
             2.0,        6, 0.057852141227114365,                5.0,                  5.0
             2.0,        7, 0.059812638785129574,                5.0,                  5.0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             2.0,        6, 0.05858781888344252,                5.0,                  5.0
             3.0,        7, 0.06262570638331522,                5.0,                  5.0
             2.0,        7, 0.06028778978407339,                5.0,                  5.0
             2.0,        6, 0.057852141227114365,                5.0,                  5.0
             3.0,        7, 0.06210313677583161,                5.0,                  5.0
             2.0,        7, 0.06028778978407339,                5.0,                  5.0
             1.0,        6, 0.056639865201523594,                5.0,                  5.0
             1.0,        7, 0.059257675651463254,                5.0,                  5.0
             2.0,        7, 0.06028778978407339,                5.0,                  5.0
             4.0,        7, 0.06234029874092672,  4.948934193247817,                  5.0
             1.0,        5, 0.057409245909560994,                5.0,                  5.0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             1.0,        6, 0.05717070549654322,                5.0,                  5.0
             2.0,        7, 0.06005076566377055,                5.0,                  5.0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             3.0,        7, 0.06082821029215556,                5.0,                  5.0
             3.0,        7, 0.061033254420652494,                5.0,                  5.0
             1.0,        5, 0.05986632933171751,                5.0,                  5.0
             1.0,        6, 0.058561490528119556, 2.8614405326520895,                  5.0
             3.0,        7, 0.06241066850737894,                5.0,                  5.0
             2.0,        7, 0.06028778978407339,                5.0,                  5.0
             0.0,        5, 0.05631227705270144,                5.0,                  5.0
             0.0,        6, 0.05951448049945639,  4.833434075707178,                  5.0
             1.0,        5, 0.05986632933171751,                5.0,                  5.0
             3.0,        7, 0.06264279913755631,                5.0,                  5.0
             2.0,        7, 0.05980092197778689,                5.0,                  5.0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             1.0,        6, 0.05717070549654322,                5.0,                  5.0
             2.0,        7, 0.06005076566377055,                5.0,                  5.0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             2.0,        6, 0.05858781888344252,                5.0,                  5.0
             3.0,        7, 0.06262570638331522,                5.0,                  5.0
