#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             6.0,        8, 0.06873512542137407,                5.0,                  5.0
             7.0,       10, 0.07415973153145124,                5.0,                  5.0
             7.0,        7, 0.07147816786508816, 4.5242229516455215,                  5.0
             7.0,        5, 0.2527640571908685,                5.0,                  5.0
             7.0,        0,         -1,                  0,                    0
             8.0,       10, 0.07361200524937893,                5.0,                  5.0
             7.0,       10, 0.07291140909268269,                5.0,                  5.0
             5.0,        7, 0.11052815014396665,                5.0,                  5.0
             8.0,        2, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             8.0,        1, 0.710924272578675,                0.0,                  0.0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,       10, 0.07361200524937893,                5.0,                  5.0
             7.0,       10, 0.07291140909268269,                5.0,                  5.0
             8.0,        7, 0.06933736931878792,  4.406140088400186,                  5.0
             6.0,        2, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             5.0,        0,         -1,                0.0,                  0.0
             7.0,        0,         -1,                0.0,                  0.0
             7.0,       10, 0.07094712080288014,                5.0,                  5.0
             7.0,       10, 0.07033577914917669,                5.0,                  5.0
             8.0,        7, 0.0684967917755447,                5.0,                  5.0
             6.0,        2, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             8.0,        1, 0.710924272578675,                0.0,                  0.0
             7.0,       10, 0.07094712080288014,                5.0,                  5.0
             7.0,       10, 0.07033577914917669,                5.0,                  5.0
             8.0,        7, 0.0684967917755447,                5.0,                  5.0
             4.0,        2, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             8.0,       10, 0.07361200524937893,                5.0,                  5.0
             6.0,       10, 0.07094395037265801,                5.0,                  5.0
             8.0,        7, 0.06900826487725083,                5.0,                  5.0
             6.0,        2, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             8.0,        1, 0.710924272578675,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             5.0,        8, 0.0667167330506068,                5.0,                  5.0
             7.0,       10, 0.07217242316134014,  4.442911097054962,                  5.0
             6.0,        7, 0.06693569950312267,                5.0,                  5.0
             5.0,        5, 0.2527640571908685,                5.0,                  5.0
             8.0,       10, 0.07361200524937893,                5.0,                  5.0
             6.0,       10, 0.07094395037265801,                5.0,                  5.0
             8.0,        7, 0.06900826487725083,                5.0,                  5.0
             7.0,        2, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             7.0,        1, 0.710924272578675,                0.0,                  0.0
             7.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,        8, 0.06873512542137407,                5.0,                  5.0
