#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             2.0,        7, 0.06028778978407339,                5.0,                  5.0
             3.0,        6, 0.05981904856796998,                5.0,                  5.0
             4.0,        9, 0.06555897464035756,                5.0,                  5.0
             3.0,        7, 0.08367949965258797,                5.0,                  5.0
             4.0,        1, 0.710924272578675,                0.0,                  0.0
             4.0,        7, 0.06422718717987143,                5.0,                  5.0
             3.0,        7, 0.06190229691349882,                5.0,                  5.0
             1.0,        5, 0.06009142987748927,                5.0,                  5.0
             3.0,        9, 0.0838711039138389,                5.0,                  5.0
             5.0,        2, 0.5418282394614383,                0.0,                  0.0
             1.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        7, 0.06422718717987143,                5.0,                  5.0
             2.0,        6, 0.0594685092612354,                5.0,                  5.0
             3.0,        7, 0.0622231306674999,                5.0,                  5.0
             2.0,        9, 0.07207848193541028,                5.0,                  5.0
             1.0,        1, 0.710924272578675,                0.0,                  0.0
             1.0,        0,         -1,                  0,                    0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             3.0,        7, 0.06082821029215556,                5.0,                  5.0
             3.0,        7, 0.061033254420652494,                5.0,                  5.0
             1.0,        7, 0.039743953323791825,                5.0,                  5.0
             4.0,        2, 0.5418282394614383,                0.0,                  0.0
             1.0,        5, 0.05986632933171751,                5.0,                  5.0
             3.0,        7, 0.06264279913755631,                5.0,                  5.0
             3.0,        9, 0.062419559496480155,                5.0,                  5.0
             1.0,        7, 0.039743953323791825,                5.0,                  5.0
             4.0,        7, 0.06422718717987143,                5.0,                  5.0
             2.0,        6, 0.0594685092612354,                5.0,                  5.0
             6.0,       10, 0.07762390900590933,                5.0,                  5.0
             2.0,        6, 0.13279587357633738, 3.9565692460611386,                  5.0
             5.0,        1, 0.710924272578675,                0.0,                  0.0
             1.0,        0,         -1,                  0,                    0
             1.0,        5, 0.05986632933171751,                5.0,                  5.0
             5.0,        9, 0.06895229989159049,                5.0,                  5.0
             0.0,        5, 0.059812638785129574,                5.0,                  5.0
             1.0,        7, 0.07616523541414158,                5.0,                  5.0
             4.0,        7, 0.06422718717987143,                5.0,                  5.0
             2.0,        6, 0.0594685092612354,                5.0,                  5.0
             2.0,        7, 0.05945313956689764,                5.0,                  5.0
             4.0,        9, 0.0927991732641702,  4.803423609143178,                  5.0
             4.0,        1, 0.710924272578675,                0.0,                  0.0
             2.0,        0,         -1,                  0,                    0
             0.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             2.0,        7, 0.06028778978407339,                5.0,                  5.0
             4.0,        7, 0.06234029874092672,  4.948934193247817,                  5.0
             5.0,        9, 0.06765180319894894,                5.0,                  5.0
             1.0,        6, 0.13279587357633738, 3.9565692460611386,                  5.0
             2.0,        1, 0.710924272578675,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             3.0,        7, 0.06082821029215556,                5.0,                  5.0
             2.0,        7, 0.058819811668827625,                5.0,                  5.0
             1.0,        7, 0.039743953323791825,                5.0,                  5.0
             2.0,        2, 0.5418282394614383,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             0.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             0.0,        5, 0.06067844192535763,                5.0,                  5.0
             0.0,        6, 0.0566475155874944,                5.0,                  5.0
             1.0,        6, 0.057880675099113606,                5.0,                  5.0
             2.0,        7, 0.06028778978407339,                5.0,                  5.0
             2.0,        6, 0.057852141227114365,                5.0,                  5.0
             2.0,        7, 0.059812638785129574,                5.0,                  5.0
             3.0,        9, 0.08113970935507135,                5.0,                  5.0
             2.0,        1, 0.710924272578675,                0.0,                  0.0
             5.0,        8, 0.0667167330506068,                5.0,                  5.0
             2.0,        6, 0.05822390863185805,                5.0,                  5.0
             2.0,        5, 0.07133067393736264,                5.0,                  5.0
             1.0,        5, 0.05986632933171751,                5.0,                  5.0
             2.0,        6, 0.060760046042379605,                5.0,                  5.0
             5.0,        9, 0.06934295203287473, 3.9601849748226545,                  5.0
             5.0,        9, 0.08088972782429543,                5.0,                  5.0
             4.0,        1, 0.710924272578675,                0.0,                  0.0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             2.0,        6, 0.05858781888344252,                5.0,                  5.0
             4.0,        9, 0.06584265922284273,                5.0,                  5.0
             2.0,        7, 0.08367949965258797,                5.0,                  5.0
             3.0,        1, 0.710924272578675,                0.0,                  0.0
             3.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             1.0,        5, 0.05986632933171751,                5.0,                  5.0
             3.0,        7, 0.06264279913755631,                5.0,                  5.0
             5.0,        9, 0.06887400404958292,                5.0,                  5.0
             2.0,        9, 0.039743953323791825,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             2.0,        7, 0.06028778978407339,                5.0,                  5.0
             2.0,        6, 0.057852141227114365,                5.0,                  5.0
             1.0,        7, 0.05842440388221017, 2.1041289481794045,                  5.0
             1.0,        9, 0.07007318481990835,                5.0,                  5.0
             3.0,        1, 0.710924272578675,                0.0,                  0.0
             7.0,        0,         -1,                  0,                    0
             1.0,        5, 0.05986632933171751,                5.0,                  5.0
             1.0,        6, 0.058561490528119556, 2.8614405326520895,                  5.0
             3.0,        7, 0.06241066850737894,                5.0,                  5.0
             3.0,        9, 0.07255976702760997,                5.0,                  5.0
             3.0,        2, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             3.0,        1, 0.710924272578675,                0.0,                  0.0
             2.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             2.0,        7, 0.06028778978407339,                5.0,                  5.0
             2.0,        6, 0.057852141227114365,                5.0,                  5.0
             5.0,        9, 0.06804321348659065,                5.0,                  5.0
             1.0,        6, 0.08367949965258797,                5.0,                  5.0
             4.0,        2, 0.5418282394614383,                0.0,                  0.0
             2.0,        7, 0.06028778978407339,                5.0,                  5.0
             3.0,        6, 0.05981904856796998,                5.0,                  5.0
             3.0,        7, 0.062349327574820194,  4.978649482500449,                  5.0
             1.0,        5, 0.05986632933171751,                5.0,                  5.0
             2.0,        6, 0.060760046042379605,                5.0,                  5.0
             3.0,        9, 0.06293668423466922,                5.0,                  5.0
             1.0,        5, 0.05986632933171751,                5.0,                  5.0
             1.0,        6, 0.058561490528119556, 2.8614405326520895,                  5.0
             3.0,        7, 0.06241066850737894,                5.0,                  5.0
             2.0,        7, 0.06028778978407339,                5.0,                  5.0
             2.0,        6, 0.057852141227114365,                5.0,                  5.0
             3.0,        7, 0.06210313677583161,                5.0,                  5.0
             2.0,        9, 0.0743097755878337,                5.0,                  5.0
             2.0,        1, 0.710924272578675,                0.0,                  0.0
             2.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,        8, 0.06873512542137407,                5.0,                  5.0
             1.0,        5, 0.057955524821314504,                5.0,                  5.0
             3.0,        5, 0.07584860592630463,                5.0,                  5.0
             5.0,       10, 0.08303528201592889,                5.0,                  5.0
             3.0,        2, 0.5418282394614383,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             1.0,        5, 0.05986632933171751,                5.0,                  5.0
             0.0,        6, 0.05618263402557447,                5.0,                  5.0
             3.0,        7, 0.06143810457554021,                5.0,                  5.0
             2.0,        9, 0.06688965934250556,                5.0,                  5.0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             3.0,        7, 0.06082821029215556,                5.0,                  5.0
             1.0,        5, 0.057964071198435045,                5.0,                  5.0
             2.0,        9, 0.07731327576653599,                5.0,                  5.0
             4.0,        2, 0.5418282394614383,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             4.0,        9, 0.06396783220322136,                5.0,                  5.0
             2.0,        5, 0.058425230950963775,                5.0,                  5.0
             1.0,        7, 0.039743953323791825,                5.0,                  5.0
             0.0,        1, 0.5418282394614383,                0.0,                  0.0
             3.0,        1, 0.710924272578675,                0.0,                  0.0
             2.0,        7, 0.06028778978407339,                5.0,                  5.0
             2.0,        6, 0.057852141227114365,                5.0,                  5.0
             1.0,        7, 0.05842440388221017, 2.1041289481794045,                  5.0
             1.0,        9, 0.07007318481990835,                5.0,                  5.0
             1.0,        1, 0.710924272578675,                0.0,                  0.0
             4.0,        7, 0.06422718717987143,                5.0,                  5.0
             2.0,        6, 0.0594685092612354,                5.0,                  5.0
             3.0,        7, 0.0622231306674999,                5.0,                  5.0
             1.0,        7, 0.06895133497804462, 3.5462596716801684,                  5.0
             2.0,        2, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             2.0,        0,         -1,                0.0,                  0.0
             0.0,        5, 0.06067844192535763,                5.0,                  5.0
             2.0,        6, 0.05946906064040446, 2.5459534106207187,                  5.0
             1.0,        7, 0.05911459275709027, 1.3684472891399366,                  5.0
             3.0,        9, 0.06980838497396373,                5.0,                  5.0
             4.0,        2, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             6.0,        1, 0.710924272578675,                0.0,                  0.0
             1.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             4.0,        7, 0.06422718717987143,                5.0,                  5.0
             2.0,        6, 0.0594685092612354,                5.0,                  5.0
             2.0,        7, 0.05945313956689764,                5.0,                  5.0
             5.0,       10, 0.09755481859737637, 2.3635711585261374,                  5.0
             4.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             1.0,        5, 0.05986632933171751,                5.0,                  5.0
             1.0,        6, 0.058561490528119556, 2.8614405326520895,                  5.0
             1.0,        6, 0.05885447963408273,                5.0,                  5.0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             4.0,        9, 0.06396783220322136,                5.0,                  5.0
             2.0,        5, 0.058425230950963775,                5.0,                  5.0
             0.0,        5, 0.039743953323791825,                5.0,                  5.0
             4.0,        1, 0.3287966944766035, 3.9781254639162005,                  5.0
             3.0,        2, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             2.0,        1, 0.710924272578675,                0.0,                  0.0
             0.0,        5, 0.06067844192535763,                5.0,                  5.0
             1.0,        6, 0.057857103639635976,                5.0,                  5.0
             5.0,        9, 0.06616411327840901,                5.0,                  5.0
             3.0,        9, 0.06543036544917259,                5.0,                  5.0
             6.0,        8, 0.06873512542137407,                5.0,                  5.0
             2.0,        6, 0.05923872199252656,                5.0,                  5.0
             3.0,        5, 0.07187653931473935,                5.0,                  5.0
             4.0,        9, 0.08371899218557244,                5.0,                  5.0
             4.0,        2, 0.5418282394614383,                0.0,                  0.0
             3.0,        0,         -1,                  0,                    0
             2.0,        7, 0.06028778978407339,                5.0,                  5.0
             5.0,        9, 0.06562334815834618,                5.0,                  5.0
             4.0,        7, 0.06092828561134129,  3.121498747384628,                  5.0
             1.0,        5, 0.13279587357633738, 3.9565692460611386,                  5.0
             0.0,        2, 0.5418282394614383,                0.0,                  0.0
             5.0,        8, 0.0667167330506068,                5.0,                  5.0
             2.0,        6, 0.05822390863185805,                5.0,                  5.0
             2.0,        5, 0.07133067393736264,                5.0,                  5.0
             2.0,        7, 0.06028778978407339,                5.0,                  5.0
             2.0,        6, 0.057852141227114365,                5.0,                  5.0
             3.0,        7, 0.06210313677583161,                5.0,                  5.0
             2.0,        9, 0.0743097755878337,                5.0,                  5.0
             2.0,        1, 0.710924272578675,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             1.0,        5, 0.05986632933171751,                5.0,                  5.0
             2.0,        6, 0.060760046042379605,                5.0,                  5.0
             1.0,        7, 0.058542330101994465,                5.0,                  5.0
             3.0,        9, 0.07095180752581721,                5.0,                  5.0
             1.0,        2, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             6.0,        1, 0.710924272578675,                0.0,                  0.0
             2.0,        7, 0.06028778978407339,                5.0,                  5.0
             4.0,        7, 0.06234029874092672,  4.948934193247817,                  5.0
             1.0,        5, 0.057409245909560994,                5.0,                  5.0
             2.0,        9, 0.08243407195445704,                5.0,                  5.0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             3.0,        7, 0.06082821029215556,                5.0,                  5.0
             3.0,        7, 0.061033254420652494,                5.0,                  5.0
             2.0,        9, 0.039743953323791825,                5.0,                  5.0
