#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
            10.0,       10, 0.07935648019991132,                5.0,                  5.0
            12.0,       10, 0.08599667061059366,                5.0,                  5.0
            11.0,       10, 0.07713318154543936,                5.0,                  5.0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            12.0,       10, 0.0851100529067333,                5.0,                  5.0
            10.0,       10, 0.12624934870200036,                5.0,                  5.0
            12.0,        8, 0.0724587957172745,                5.0,                  5.0
            10.0,        2, 0.5418282394614383,                0.0,                  0.0
            10.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,       10, 0.0851100529067333,                5.0,                  5.0
            12.0,       10, 0.1115657078953592,                5.0,                  5.0
            12.0,        8, 0.07292670986462431,                5.0,                  5.0
            12.0,        2, 0.5418282394614383,                0.0,                  0.0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,       10, 0.0851100529067333,                5.0,                  5.0
            11.0,       10, 0.12211559014910607,  4.533367604952086,                  5.0
            11.0,       10, 0.07463543390956412,                5.0,                  5.0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,       10, 0.0851100529067333,                5.0,                  5.0
            12.0,       10, 0.1115657078953592,                5.0,                  5.0
            11.0,       10, 0.07504462617540826,                5.0,                  5.0
            11.0,        0,         -1,                  0,                    0
            12.0,       10, 0.0851100529067333,                5.0,                  5.0
            11.0,       10, 0.12211559014910607,  4.533367604952086,                  5.0
            11.0,       10, 0.07463543390956412,                5.0,                  5.0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            11.0,       10, 0.08204521179547226,                5.0,                  5.0
            12.0,       10, 0.0961142715957917,                5.0,                  5.0
            10.0,       10, 0.07900518274681925,                5.0,                  5.0
            12.0,        0,         -1,                  0,                    0
            12.0,       10, 0.0851100529067333,                5.0,                  5.0
            10.0,       10, 0.12624934870200036,                5.0,                  5.0
            11.0,       10, 0.07433238213376546,                5.0,                  5.0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,       10, 0.0851100529067333,                5.0,                  5.0
            11.0,       10, 0.12211559014910607,  4.533367604952086,                  5.0
            12.0,        8, 0.07248636467572787,                5.0,                  5.0
            12.0,        2, 0.5418282394614383,                0.0,                  0.0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,       10, 0.08204521179547226,                5.0,                  5.0
            11.0,       10, 0.1005443964520597,                5.0,                  5.0
            10.0,       10, 0.07871584652785114,                5.0,                  5.0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,       10, 0.0851100529067333,                5.0,                  5.0
            11.0,       10, 0.12211559014910607,  4.533367604952086,                  5.0
            12.0,        8, 0.07248636467572787,                5.0,                  5.0
            11.0,       10, 0.08204521179547226,                5.0,                  5.0
            10.0,       10, 0.10293614144268175,                5.0,                  5.0
            12.0,        8, 0.07319564505433693,                5.0,                  5.0
            11.0,        2, 0.5418282394614383,                0.0,                  0.0
            10.0,        0,         -1,                  0,                    0
            11.0,       10, 0.08204521179547226,                5.0,                  5.0
            12.0,       10, 0.0961142715957917,                5.0,                  5.0
            10.0,       10, 0.07900518274681925,                5.0,                  5.0
            11.0,       10, 0.08204521179547226,                5.0,                  5.0
            10.0,       10, 0.10293614144268175,                5.0,                  5.0
            12.0,        8, 0.07319564505433693,                5.0,                  5.0
            11.0,        2, 0.5418282394614383,                0.0,                  0.0
            10.0,        0,         -1,                  0,                    0
            10.0,       10, 0.07935648019991132,                5.0,                  5.0
            11.0,       10, 0.08727187278385423,                5.0,                  5.0
            12.0,        8, 0.0744856655427662,                5.0,                  5.0
            12.0,        2, 0.5418282394614383,                0.0,                  0.0
            11.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            12.0,       10, 0.0851100529067333,                5.0,                  5.0
            10.0,       10, 0.12624934870200036,                5.0,                  5.0
            10.0,       10, 0.07616089330318516, 0.04646957491292447,                  5.0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,       10, 0.08204521179547226,                5.0,                  5.0
            12.0,       10, 0.0961142715957917,                5.0,                  5.0
            12.0,        8, 0.07355941746112912,                5.0,                  5.0
            11.0,        2, 0.5418282394614383,                0.0,                  0.0
            12.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,       10, 0.07935648019991132,                5.0,                  5.0
            12.0,       10, 0.08599667061059366,                5.0,                  5.0
            11.0,       10, 0.07713318154543936,                5.0,                  5.0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,       10, 0.0851100529067333,                5.0,                  5.0
            11.0,       10, 0.12211559014910607,  4.533367604952086,                  5.0
            11.0,       10, 0.07463543390956412,                5.0,                  5.0
            12.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,       10, 0.0851100529067333,                5.0,                  5.0
            11.0,       10, 0.12211559014910607,  4.533367604952086,                  5.0
            11.0,       10, 0.07463543390956412,                5.0,                  5.0
            11.0,       10, 0.08204521179547226,                5.0,                  5.0
            11.0,       10, 0.1005443964520597,                5.0,                  5.0
            10.0,       10, 0.07871584652785114,                5.0,                  5.0
            10.0,       10, 0.07935648019991132,                5.0,                  5.0
