#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             5.0,        8, 0.0667167330506068,                5.0,                  5.0
             2.0,        6, 0.05822390863185805,                5.0,                  5.0
             6.0,        9, 0.07778939167902568,                5.0,                  5.0
             6.0,        7, 0.13279587357633738, 3.9565692460611386,                  5.0
             1.0,        0,         -1,                  0,                    0
             2.0,        7, 0.06028778978407339,                5.0,                  5.0
             5.0,        9, 0.06562334815834618,                5.0,                  5.0
             4.0,        7, 0.06092828561134129,  3.121498747384628,                  5.0
             4.0,        7, 0.13279587357633738, 3.9565692460611386,                  5.0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             5.0,        8, 0.0667167330506068,                5.0,                  5.0
             7.0,       10, 0.07217242316134014,  4.442911097054962,                  5.0
             5.0,        7, 0.06604398154194846,                5.0,                  5.0
             3.0,        2, 0.2527640571908685,                5.0,                  5.0
             5.0,        2, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             3.0,        1, 0.710924272578675,                0.0,                  0.0
             6.0,        8, 0.06873512542137407,                5.0,                  5.0
             4.0,        8, 0.0668977921852493,                5.0,                  5.0
             4.0,        7, 0.06568062266953305,                5.0,                  5.0
             3.0,        5, 0.13279587357633738, 3.9565692460611386,                  5.0
             7.0,        1, 0.5418282394614383,                0.0,                  0.0
             4.0,        7, 0.06422718717987143,                5.0,                  5.0
             4.0,        8, 0.0650243436135506,                5.0,                  5.0
             4.0,        9, 0.06547923142803119,                5.0,                  5.0
             6.0,        6, 0.1884802072396213,                5.0,                  5.0
             5.0,        8, 0.0667167330506068,                5.0,                  5.0
             5.0,        8, 0.06738789934415407,                5.0,                  5.0
             5.0,        9, 0.06983236996781816,                5.0,                  5.0
             9.0,        5, 0.2527640571908685,                5.0,                  5.0
             4.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             6.0,        9, 0.07064972066356442,  4.007674685352774,                  5.0
             7.0,       10, 0.07230344463638977,                5.0,                  5.0
             4.0,        2, 0.3287966944766035, 3.9781254639162005,                  5.0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             3.0,        7, 0.06082821029215556,                5.0,                  5.0
             6.0,        9, 0.07336126557224554,                5.0,                  5.0
             6.0,        7, 0.13279587357633738, 3.9565692460611386,                  5.0
             6.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             5.0,        8, 0.0667167330506068,                5.0,                  5.0
             6.0,        9, 0.07021792185178853,                5.0,                  5.0
             5.0,        7, 0.06749872655713661,                5.0,                  5.0
             6.0,        6, 0.1884802072396213,                5.0,                  5.0
             5.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             4.0,        7, 0.06422718717987143,                5.0,                  5.0
             4.0,        8, 0.0650243436135506,                5.0,                  5.0
             3.0,        7, 0.061325761069842735,                5.0,                  5.0
             4.0,        8, 0.08367949965258797,                5.0,                  5.0
             7.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             4.0,        7, 0.06422718717987143,                5.0,                  5.0
             5.0,        9, 0.06838375904588588,                5.0,                  5.0
             6.0,        9, 0.07135569276715907,                5.0,                  5.0
             6.0,        8, 0.06873512542137407,                5.0,                  5.0
             6.0,       10, 0.07204684655558503,  4.564371391639369,                  5.0
             4.0,        5, 0.08589976572163006,                5.0,                  5.0
             4.0,        5, 0.13279587357633738, 3.9565692460611386,                  5.0
             6.0,        2, 0.5418282394614383,                0.0,                  0.0
             4.0,        7, 0.06422718717987143,                5.0,                  5.0
             2.0,        6, 0.0594685092612354,                5.0,                  5.0
             2.0,        7, 0.05945313956689764,                5.0,                  5.0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             5.0,        9, 0.0673180809568709,                5.0,                  5.0
             5.0,        9, 0.0660273712444803,                5.0,                  5.0
             6.0,        5, 0.2527640571908685,                5.0,                  5.0
             4.0,        0,         -1,                  0,                    0
             5.0,        8, 0.0667167330506068,                5.0,                  5.0
             6.0,        9, 0.07021792185178853,                5.0,                  5.0
             4.0,        7, 0.06467842210735696,   4.27420407726868,                  5.0
             5.0,        6, 0.1884802072396213,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,        8, 0.0667167330506068,                5.0,                  5.0
             4.0,        7, 0.06393343992755078,                5.0,                  5.0
             5.0,        9, 0.07195552438070825,                5.0,                  5.0
             5.0,        6, 0.1884802072396213,                5.0,                  5.0
             5.0,        0,         -1,                  0,                    0
             6.0,        8, 0.06873512542137407,                5.0,                  5.0
             4.0,        8, 0.0668977921852493,                5.0,                  5.0
             4.0,        7, 0.06568062266953305,                5.0,                  5.0
             4.0,        6, 0.13279587357633738, 3.9565692460611386,                  5.0
             1.0,        0,         -1,                0.0,                  0.0
             2.0,        1, 0.710924272578675,                0.0,                  0.0
             2.0,        7, 0.06028778978407339,                5.0,                  5.0
             3.0,        6, 0.05981904856796998,                5.0,                  5.0
             5.0,        9, 0.0691964919410912,                5.0,                  5.0
             3.0,        7, 0.08367949965258797,                5.0,                  5.0
             4.0,        1, 0.710924272578675,                0.0,                  0.0
             7.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             3.0,        7, 0.0618634936044757,  4.075195344919437,                  5.0
             4.0,        9, 0.06396783220322136,                5.0,                  5.0
             6.0,        9, 0.06869914793059242, 3.1751332666510272,                  5.0
