#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             0.0,        5, 0.06067844192535763,                5.0,                  5.0
             7.0,       10, 0.07185855056934852,                5.0,                  5.0
             6.0,        9, 0.06670825559588238,                5.0,                  5.0
             4.0,        5, 0.1884802072396213,                5.0,                  5.0
             4.0,        1, 0.710924272578675,                0.0,                  0.0
             8.0,       10, 0.07361200524937893,                5.0,                  5.0
             0.0,        4, 0.08416443763178275,                5.0,                  5.0
             6.0,        7, 0.07294717981627594,                5.0,                  5.0
             2.0,        9, 0.039743953323791825,                5.0,                  5.0
             0.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             7.0,       10, 0.07094712080288014,                5.0,                  5.0
             7.0,       10, 0.07033577914917669,                5.0,                  5.0
             7.0,        7, 0.07977925017779372,                5.0,                  5.0
             7.0,        2, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             5.0,        0,         -1,                0.0,                  0.0
             1.0,        1, 0.710924272578675,                0.0,                  0.0
             8.0,       10, 0.07361200524937893,                5.0,                  5.0
             4.0,        7, 0.0659799526359405,                5.0,                  5.0
             5.0,        7, 0.07202747936227154,                5.0,                  5.0
             3.0,        5, 0.1884802072396213,                5.0,                  5.0
             1.0,        0,         -1,                0.0,                  0.0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             7.0,       10, 0.07721092600827786,                5.0,                  5.0
             6.0,        7, 0.08826731895120926,                5.0,                  5.0
             4.0,        2, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             8.0,       10, 0.07361200524937893,                5.0,                  5.0
             5.0,        8, 0.06892128481333044,                5.0,                  5.0
             4.0,        4, 0.13646805884232616,                5.0,                  5.0
             4.0,        6, 0.08367949965258797,                5.0,                  5.0
             2.0,        0,         -1,                0.0,                  0.0
             0.0,        2, 0.5418282050002402,                0.0,                  0.0
             5.0,        8, 0.0667167330506068,                5.0,                  5.0
             8.0,       10, 0.07334630941228458,                5.0,                  5.0
             0.0,        4, 0.06772548124041557,                5.0,                  5.0
             8.0,        8, 0.08367949965258797,                5.0,                  5.0
             8.0,       10, 0.07361200524937893,                5.0,                  5.0
             2.0,        5, 0.060671480763348155,                5.0,                  5.0
             6.0,        7, 0.07396116610819085, 3.8568812604588647,                  5.0
             1.0,        5, 0.08367949965258797,                5.0,                  5.0
             7.0,        2, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             7.0,        0,         -1,                0.0,                  0.0
             3.0,        0,         -1,                0.0,                  0.0
             0.0,        1, 0.710924272578675,                0.0,                  0.0
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             4.0,        8, 0.06866523811169478,  3.467255936641262,                  5.0
             8.0,        7, 0.0860136944424386,                5.0,                  5.0
             6.0,        5, 0.2527640571908685,                5.0,                  5.0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        7, 0.06422718717987143,                5.0,                  5.0
             4.0,        8, 0.0650243436135506,                5.0,                  5.0
             0.0,        5, 0.06819194801744657,                5.0,                  5.0
             5.0,        9, 0.09493866228494391,                5.0,                  5.0
             1.0,        1, 0.710924272578675,                0.0,                  0.0
             7.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             9.0,        0,         -1,                  0,                    0
             7.0,       10, 0.07094712080288014,                5.0,                  5.0
             3.0,        7, 0.06013609159018373,                5.0,                  5.0
             9.0,        8, 0.0867797668754616,                5.0,                  5.0
             4.0,        7, 0.06422718717987143,                5.0,                  5.0
             3.0,        7, 0.06190229691349882,                5.0,                  5.0
             9.0,       10, 0.08591803015660542,                5.0,                  5.0
             3.0,        5, 0.1884802072396213,                5.0,                  5.0
             0.0,        1, 0.710924272578675,                0.0,                  0.0
             4.0,        7, 0.06422718717987143,                5.0,                  5.0
             7.0,       10, 0.07361662304991987,                5.0,                  5.0
             1.0,        5, 0.11220013855176736,                5.0,                  5.0
             4.0,        7, 0.06422718717987143,                5.0,                  5.0
             1.0,        6, 0.05777460353146427,  4.149710820282839,                  5.0
             6.0,       10, 0.07540129957539872,                5.0,                  5.0
             4.0,        7, 0.13279587357633738, 3.9565692460611386,                  5.0
             3.0,        0,         -1,                  0,                    0
             2.0,        7, 0.06028778978407339,                5.0,                  5.0
             5.0,        9, 0.06562334815834618,                5.0,                  5.0
             6.0,        9, 0.06814080759951557, 2.6373394245145576,                  5.0
             9.0,        5, 0.2527640571908685,                5.0,                  5.0
             4.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             7.0,       10, 0.07094712080288014,                5.0,                  5.0
             0.0,        4, 0.08305692364831477,                5.0,                  5.0
             3.0,        4, 0.0739742613634562,                5.0,                  5.0
             7.0,       10, 0.09043334309449434,  4.652638566099129,                  5.0
             8.0,        2, 0.5418282050002402,                0.0,                  0.0
             4.0,        7, 0.06422718717987143,                5.0,                  5.0
             8.0,       10, 0.07529502124056098,                5.0,                  5.0
             8.0,       10, 0.07673494794058044,                5.0,                  5.0
