#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             6.0,        9, 0.1310906214856014,                5.0,                  5.0
             4.0,        7, 0.09135749822831737,  2.938898413594445,                  5.0
             5.0,        6, 0.18848025029978394,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,       10, 0.19839795230648477,                5.0,                  5.0
             2.0,        7, 0.17568124081579797,                5.0,                  5.0
             3.0,        9, 0.19102736496277054,                5.0,                  5.0
             2.0,        4, 0.3287966331049933,                5.0,                  5.0
             5.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,        8, 0.22482624155028105,                5.0,                  5.0
             3.0,        9, 0.1397852214326741,                5.0,                  5.0
             6.0,       10, 0.09878355892153225,                5.0,                  5.0
             6.0,        0,         -1, 1.7525800822228415,   2.2797921619166996
             2.0,        3, 0.42185432195813083,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             4.0,        9, 0.11145756046504351, 2.1465489773396644,                  5.0
             3.0,        9, 0.19102736496277054,  2.073602224832829,                  5.0
             6.0,        4, 0.3287966331049933, 1.7137101013347669,   3.6959445621965408
             5.0,        0,         -1,                  0,                    0
             3.0,        8, 0.2085888179048035,  4.859064370048905,                  5.0
             5.0,        9, 0.17336086930523503, 2.5995233091304355,                  5.0
             7.0,        7, 0.14412769661009775,                5.0,                  5.0
             4.0,        6, 0.18848025029978407,                5.0,                  5.0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             4.0,        9, 0.11145756046504351,                5.0,                  5.0
             8.0,       10, 0.14595162809406764,                5.0,                  5.0
             8.0,        3, 0.42185432195813083, 2.4426541852188084,   1.2528453301519757
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,        9, 0.20213177535037025, 2.2736341873988004,                  5.0
             4.0,        8, 0.1523300920482727,                5.0,                  5.0
             2.0,        6, 0.08983941691121156,                5.0,                  5.0
             6.0,        7, 0.13279588755563745, 3.3058758195409483,                  5.0
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             4.0,        9, 0.11145756046504351,                5.0,                  5.0
             3.0,        9, 0.19102736496277054,                5.0,                  5.0
             4.0,        4, 0.3287966331049933,                0.0,   2.4398276487579675
             5.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             5.0,        8, 0.16742784894897833, 2.3305998805599586,                  5.0
             6.0,        9, 0.1310906214856014,                5.0,                  5.0
             4.0,        7, 0.09135749822831737, 2.6589962825141953,                  5.0
             5.0,        6, 0.18848025029978394,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             2.0,       10, 0.20044666952922632,                5.0,                  5.0
             5.0,        7, 0.09769935649668839,                5.0,                  5.0
             2.0,        6, 0.08983941691121156,                5.0,                  5.0
             5.0,        7, 0.13279588755563745,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             2.0,       10, 0.20044666952922632,  1.761400224493852,                  5.0
             5.0,        7, 0.09769935649668839,                5.0,                  5.0
             3.0,        9, 0.19102736496277054, 3.3928661550137575,                  5.0
             4.0,        8, 0.22986576699302957, 1.7911688015761804,                  5.0
             3.0,        9, 0.1397852214326741,  4.726319180725155,                  5.0
             6.0,       10, 0.09878355892153225,                5.0,                  5.0
             5.0,        3, 0.42185432195813083,  2.092292389100802,   2.8344287822620373
             3.0,        0,         -1,                  0,                    0
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             7.0,        9, 0.17247382631651098,                5.0,                  5.0
             4.0,        7, 0.09135749822831737, 2.5102111020950035,                  5.0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             4.0,        9, 0.11145756046504351,                0.0,                  5.0
             8.0,       10, 0.14595162809406764,  2.908813657897352,                  5.0
             8.0,        3, 0.42185432195813083, 1.8123655399380767,   3.6434644638889613
             6.0,        0,         -1,                  0,                    0
             8.0,       10, 0.19839795230648477,                5.0,                  5.0
             7.0,        9, 0.07677356545655448,  3.370347144321137,                  5.0
             4.0,        6, 0.11514287675902747,                5.0,                  5.0
             2.0,        4, 0.2527640191516585,  3.465540711070367,                  5.0
             6.0,        1, 0.7109242800553772,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        8, 0.22986576699302957,                5.0,                  5.0
             5.0,        9, 0.17336086930523503,                5.0,                  5.0
             3.0,        9, 0.19102736496277054,  3.048684307148843,                  5.0
             4.0,        4, 0.3287966331049933, 1.9817858306758898,    4.774616106629605
             5.0,        0,         -1,                  0,                    0
             5.0,        8, 0.16742784894897833,                0.0,    4.666995589513811
             6.0,        9, 0.1310906214856014,                5.0,                  5.0
             4.0,        7, 0.09135749822831737,                5.0,                  5.0
             5.0,        6, 0.18848025029978394, 1.6169326627289635,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,       10, 0.20044666952922632,                5.0,                  5.0
             3.0,        8, 0.15498686897492434, 3.6943071719126372,                  5.0
             2.0,        6, 0.13384015607946892,                5.0,                  5.0
