#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
            11.0,        6, 0.18225992735870453,                5.0,                  5.0
            10.0,        9, 0.05622562214288238,                5.0,                  5.0
            12.0,       10, 0.09693399677138584,  2.938898413594445,                  5.0
            11.0,        0,         -1,                5.0,                  5.0
            10.0,        2, 0.2527640191516585,                5.0,                  5.0
            11.0,        2, 0.42185432195813094,                5.0,                  5.0
            12.0,        0,         -1,                0.0,                  0.0
            10.0,        0,         -1, 1.5521562551797077,                  0.0
            11.0,        0,         -1,                0.0,                  0.0
            10.0,        1, 0.7109242800553771,                0.0,                  0.0
            12.0,        0,         -1,                  0,                    0
            11.0,        6, 0.18225992735870453,                5.0,                  5.0
            10.0,        9, 0.05622562214288238,                5.0,                  5.0
            10.0,       10, 0.09693399677138584,                5.0,                  5.0
            11.0,        0,         -1,                5.0,                  5.0
            12.0,        2, 0.2527640191516585,                0.0,   3.3757461018368202
            12.0,        2, 0.42185432195813094,                0.0,                  0.0
            11.0,        0,         -1,                0.0,                  0.0
            10.0,        0,         -1,                0.0,                  0.0
            12.0,        0,         -1,                0.0,                  0.0
            11.0,        1, 0.7109242800553771,                0.0,                  0.0
            12.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        6, 0.18225992735870453,                5.0,                  5.0
            12.0,        9, 0.05622562214288238,                5.0,                  5.0
            10.0,       10, 0.09693399677138584,                5.0,                  5.0
            10.0,        0,         -1,                5.0,                  5.0
            12.0,        2, 0.2527640191516585,                5.0,                  5.0
            11.0,        2, 0.42185432195813094,                0.0,                  0.0
            10.0,        0,         -1,                0.0,                  0.0
            12.0,        0,         -1,                0.0,                  0.0
            10.0,        0,         -1,                0.0,                  0.0
            12.0,        1, 0.7109242800553771, 1.1268750591773227,                  0.0
            10.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            11.0,        0,         -1,                  0,                    0
            12.0,        0,         -1,                  0,                    0
            10.0,        6, 0.18225992735870453,                5.0,                  5.0
            12.0,        9, 0.05622562214288238,                5.0,                  5.0
            11.0,       10, 0.09693399677138584,  4.702410108574982,                  5.0
            11.0,        0,         -1, 0.3305998805599586,                  5.0
            11.0,        2, 0.2527640191516585,                5.0,                  5.0
            11.0,        2, 0.42185432195813094,                0.0,                  0.0
            10.0,        0,         -1,                0.0,                  0.0
            10.0,        0,         -1,                0.0,                  0.0
