#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             2.0,       10, 0.20044666952922632,  4.764723995458991,                  5.0
             0.0,        6, 0.10570642356899443,                5.0,                  5.0
             3.0,        9, 0.0839732905343581,  2.938898413594445,                  5.0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             0.0,        8, 0.1453270236734168,                5.0,                  5.0
             2.0,        3, 0.06280108510979192,                5.0,                  5.0
             2.0,       10, 0.20044666952922632,                5.0,                  5.0
             2.0,        7, 0.17568124081579797,                5.0,                  5.0
             1.0,        0,         -1,                5.0,                  5.0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             3.0,        9, 0.1397852214326741,                5.0,                  5.0
             2.0,        6, 0.08983941691121156,                5.0,                  5.0
             4.0,        8, 0.22986576699302957,  2.545939844720053,                  5.0
             3.0,        9, 0.1397852214326741,                5.0,                  5.0
             1.0,        0,         -1, 2.1465489773396644,                  5.0
             3.0,        8, 0.2085888179048035,  1.073602224832829,    4.513516843778509
             1.0,        8, 0.07958248617528285,                5.0,                  5.0
             3.0,        9, 0.0839732905343581,                5.0,                  5.0
             2.0,       10, 0.20044666952922632, 1.5995233091304355,                  5.0
             2.0,        7, 0.17568124081579797,  4.163687216761289,                  5.0
             1.0,        0,         -1,                5.0,                  5.0
             4.0,        8, 0.22986576699302957,                5.0,                  5.0
             2.0,        9, 0.13615310053263455,                5.0,                  5.0
             1.0,        0,         -1,                5.0,                  5.0
             1.0,       10, 0.11740082783327345,                5.0,                  5.0
             3.0,        8, 0.15498686897492434, 3.2736341873988004,                  5.0
             3.0,        6, 0.14404014910031165,                5.0,                  5.0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             3.0,        9, 0.1397852214326741, 3.3058758195409483,                  5.0
             5.0,        6, 0.1162549511188045,                5.0,                  5.0
             1.0,       10, 0.11740082783327345,                5.0,                  5.0
             1.0,        1, 0.08636476152811597,                5.0,                  5.0
             1.0,        9, 0.09597790949007262,  4.702410108574982,                  5.0
             3.0,        8, 0.2085888179048035, 1.3305998805599586,                  5.0
             4.0,        9, 0.11145756046504351,                5.0,                  5.0
             2.0,        6, 0.08983941691121156, 2.6589962825141953,                  5.0
             1.0,       10, 0.11740082783327345,                5.0,                  5.0
             1.0,        1, 0.08636476152811597,                5.0,                  5.0
             3.0,        7, 0.5022925210211232, 1.3913676895327884,    2.984273522824365
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             3.0,        9, 0.1397852214326741,                5.0,                  5.0
             1.0,        0,         -1,  3.761400224493852,                  5.0
             2.0,       10, 0.20044666952922632,                5.0,                  5.0
             2.0,        7, 0.17568124081579797, 3.3928661550137575,                  5.0
             2.0,        6, 0.08983941691121156,   4.79116880157618,                  5.0
             3.0,        8, 0.2085888179048035,  2.726319180725155,                  5.0
             2.0,        9, 0.13615310053263455,                5.0,                  5.0
             3.0,        9, 0.19102736496277054,                5.0,                  5.0
             2.0,       10, 0.20044666952922632,                5.0,                  5.0
             2.0,        7, 0.17568124081579797,                5.0,                  5.0
             3.0,        9, 0.19102736496277054, 0.5102111020950035,                  5.0
             2.0,       10, 0.20044666952922632,                5.0,                  5.0
             1.0,        1, 0.08636476152811597,  0.713189039188646,                  5.0
             1.0,        9, 0.09597790949007262,  3.908813657897352,                  5.0
             2.0,       10, 0.20044666952922632,                5.0,                  5.0
             4.0,        8, 0.09670744920861968,                5.0,                  5.0
             1.0,        6, 0.09367907128701186,  3.370347144321137,                  5.0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             1.0,        8, 0.07958248617528285,                5.0,                  5.0
             2.0,        3, 0.06280108510979192,                5.0,                  5.0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             3.0,        9, 0.1397852214326741,                5.0,                  5.0
             3.0,        9, 0.19102736496277054,  3.048684307148843,                  5.0
             1.0,       10, 0.11740082783327345,                5.0,                  5.0
             1.0,        1, 0.08636476152811597, 0.8680405066920205,                  5.0
             3.0,        7, 0.5022925210211232,                0.0,                  0.0
             2.0,       10, 0.20044666952922632,                5.0,                  5.0
             0.0,        6, 0.10570642356899443, 2.6169326627289635,                  5.0
             0.0,        8, 0.16565705237150044,                5.0,                  5.0
             1.0,       10, 0.11740082783327345,  4.694307171912637,                  5.0
             3.0,        8, 0.15498686897492434,                5.0,                  5.0
             2.0,        6, 0.13384015607946892, 4.7207703046987834,                  5.0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             1.0,        8, 0.07958248617528285,                5.0,                  5.0
             2.0,        3, 0.06280108510979192, 3.9736695257904575,                  5.0
             3.0,        8, 0.2085888179048035,                0.0,    2.273842951705224
             2.0,        9, 0.13615310053263455,                5.0,                  5.0
             3.0,        9, 0.19102736496277054,                5.0,                  5.0
             1.0,       10, 0.11740082783327345,                5.0,                  5.0
             1.0,        1, 0.08636476152811597,                5.0,                  5.0
             1.0,        9, 0.09597790949007262,                5.0,                  5.0
             0.0,        8, 0.08485833547171522,                5.0,                  5.0
             3.0,        9, 0.1397852214326741,                5.0,                  5.0
             1.0,        0,         -1,                5.0,                  5.0
             2.0,       10, 0.20044666952922632,                5.0,                  5.0
             3.0,        8, 0.15498686897492434,                5.0,                  5.0
             3.0,        6, 0.14404014910031165,                5.0,                  5.0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             2.0,        9, 0.13615310053263455,                5.0,                  5.0
             1.0,        0,         -1,  4.711307833655972,                  5.0
             2.0,       10, 0.20044666952922632,                5.0,                  5.0
             0.0,        6, 0.10570642356899443,  4.274621978191906,                  5.0
             1.0,        6, 0.1268651171997884,                5.0,                  5.0
             3.0,        8, 0.2085888179048035, 0.6544813508949652,                  5.0
             1.0,        8, 0.07958248617528285,                5.0,                  5.0
             1.0,        6, 0.1268651171997884,                5.0,                  5.0
             4.0,        8, 0.22986576699302957,  3.655628245008108,                  5.0
             1.0,        8, 0.07958248617528285,                5.0,                  5.0
             3.0,        9, 0.0839732905343581,                0.0,                  5.0
             1.0,       10, 0.11740082783327345,  3.831036158941987,                  5.0
             2.0,        7, 0.17568124081579797,                5.0,                  5.0
             1.0,        0,         -1,  3.578768685586393,                  5.0
             1.0,       10, 0.11740082783327345, 1.1176151120900144,                  5.0
             3.0,        8, 0.15498686897492434,                5.0,                  5.0
             3.0,        6, 0.14404014910031165,                5.0,                  5.0
             2.0,       10, 0.20044666952922632,                5.0,                  5.0
             1.0,        1, 0.08636476152811597,                5.0,                  5.0
             2.0,        6, 0.20211460810633416, 1.5566064095803958,                  5.0
             1.0,       10, 0.11740082783327345,                5.0,                  5.0
             2.0,        7, 0.17568124081579797,                5.0,                  5.0
             2.0,        6, 0.08983941691121156,                5.0,                  5.0
             4.0,        8, 0.22986576699302957,                5.0,                  5.0
             2.0,        9, 0.13615310053263455,                5.0,                  5.0
             0.0,        3, 0.13030197911948102,                5.0,                  5.0
             2.0,       10, 0.20044666952922632,                5.0,                  5.0
             2.0,        7, 0.17568124081579797,                5.0,                  5.0
             4.0,        7, 0.09135749822831737,                5.0,                  5.0
             3.0,        8, 0.2085888179048035,  3.587669863830958,                  5.0
             3.0,        9, 0.1397852214326741,                0.0,                  5.0
             4.0,        7, 0.09135749822831737,                5.0,                  5.0
             0.0,        8, 0.08485833547171522,                5.0,                  5.0
