#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             6.0,        9, 0.1310906214856014,                5.0,                  5.0
             4.0,        7, 0.09135749822831737,  2.938898413594445,                  5.0
             5.0,        6, 0.18848025029978394,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             2.0,       10, 0.20044666952922632,                5.0,                  5.0
             5.0,        7, 0.09769935649668839,                5.0,                  5.0
             2.0,        6, 0.08983941691121156,                5.0,                  5.0
             5.0,        7, 0.13279588755563745,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        8, 0.22482624155028105,                5.0,                  5.0
             2.0,        9, 0.13615310053263455,                5.0,                  5.0
             5.0,        6, 0.1162549511188045,                5.0,                  5.0
             3.0,        2, 0.13279588755563732,                5.0,                  5.0
             4.0,        5, 0.2527640191516584, 1.5459398447200532,                  5.0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             3.0,        9, 0.1397852214326741, 2.1465489773396644,                  5.0
             5.0,        6, 0.1162549511188045,  3.073602224832829,                  5.0
             7.0,        9, 0.20213177535037025,  3.713710101334767,                  5.0
             4.0,        8, 0.1523300920482727,                5.0,                  5.0
             3.0,        9, 0.19102736496277054, 2.5995233091304355,                  5.0
             4.0,        4, 0.3287966331049933, 1.1636872167612895,    3.986605025728097
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             6.0,        8, 0.22482624155028105,                5.0,                  5.0
             8.0,        9, 0.12401390835717498,                5.0,                  5.0
             7.0,        7, 0.14412769661009775,                5.0,                  5.0
             4.0,        8, 0.22986576699302957,                5.0,                  5.0
             2.0,        9, 0.13615310053263455,                5.0,                  5.0
             6.0,       10, 0.09878355892153225,                5.0,                  5.0
             5.0,        3, 0.42185432195813083, 2.0750128945298103,   2.0736059491963417
             4.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             4.0,        9, 0.11145756046504351, 3.3058758195409483,                  5.0
             5.0,        6, 0.1162549511188045,                5.0,                  5.0
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             6.0,        9, 0.1310906214856014,                5.0,                  5.0
             4.0,        7, 0.09135749822831737,  4.702410108574982,                  5.0
             5.0,        6, 0.18848025029978394, 2.3305998805599586,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             2.0,        9, 0.13615310053263455, 1.6589962825141953,                  5.0
             5.0,        6, 0.1162549511188045,                5.0,                  5.0
             2.0,        4, 0.13279588755563745,                5.0,                  5.0
             5.0,        3, 0.42185432195813083, 2.3913676895327884,    4.984273522824365
             6.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        8, 0.22482624155028105,                5.0,                  5.0
             2.0,        9, 0.13615310053263455,                5.0,                  5.0
             5.0,        6, 0.1162549511188045,  3.761400224493852,                  5.0
             3.0,        2, 0.13279588755563732,                5.0,                  5.0
             4.0,        5, 0.2527640191516584, 1.3928661550137575,                  5.0
             3.0,        8, 0.2085888179048035, 1.7911688015761804,                  5.0
             6.0,        9, 0.1310906214856014,  4.726319180725155,                  5.0
             5.0,        6, 0.1162549511188045,                5.0,                  5.0
             3.0,        2, 0.13279588755563732,                5.0,                  5.0
             5.0,        5, 0.2527640191516585,                5.0,                  5.0
             7.0,        0,         -1,                  0,                    0
             4.0,        8, 0.22986576699302957,                5.0,                  5.0
             3.0,        9, 0.1397852214326741, 1.5102111020950035,                  5.0
             4.0,        7, 0.09135749822831737,                5.0,                  5.0
             8.0,       10, 0.19839795230648477,                0.0,                  5.0
             8.0,        7, 0.10223571583725957,  2.908813657897352,                  5.0
             6.0,       10, 0.09878355892153225,                5.0,                  5.0
             8.0,       10, 0.19839795230648477,                5.0,                  5.0
             7.0,        9, 0.07677356545655448,  3.370347144321137,                  5.0
             4.0,        6, 0.11514287675902747,                5.0,                  5.0
             2.0,        4, 0.2527640191516585,  3.465540711070367,                  5.0
             6.0,        1, 0.7109242800553772,                0.0,                  0.0
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             4.0,        9, 0.11145756046504351,                5.0,                  5.0
             3.0,        9, 0.19102736496277054,  3.048684307148843,                  5.0
             4.0,        8, 0.22986576699302957, 3.9817858306758898,                  5.0
             5.0,        9, 0.17336086930523503,                0.0,    4.666995589513811
             3.0,        9, 0.19102736496277054,  4.575677883830059,                  5.0
             4.0,        4, 0.3287966331049933,                5.0,                  5.0
             5.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             8.0,       10, 0.19839795230648477, 1.6169326627289635,                  5.0
             8.0,        7, 0.10223571583725957,                5.0,                  5.0
             2.0,        6, 0.08983941691121156,                5.0,                  5.0
             3.0,        2, 0.13279588755563732,                5.0,                  5.0
             2.0,        5, 0.2527640191516585, 1.7207703046987834,                  5.0
