#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             7.0,        9, 0.20213177535037025,  4.764723995458991,                  5.0
             5.0,        8, 0.1351330029070552,                5.0,                  5.0
             8.0,       10, 0.14595162809406764,  1.938898413594445,                  5.0
             8.0,        3, 0.42185432195813083,  3.433277928244355,    4.298033416982191
             4.0,        0,         -1,                  0,                    0
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             7.0,        9, 0.17247382631651098,                5.0,                  5.0
             7.0,        7, 0.14412769661009775,                5.0,                  5.0
             7.0,        6, 0.18848025029978407,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,        9, 0.20213177535037025,                5.0,                  5.0
             9.0,        7, 0.09415682992535392,                5.0,                  5.0
             8.0,        8, 0.4067736130855376,                5.0,                  5.0
             6.0,        6, 0.18848025029978407,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,       10, 0.19839795230648477,  3.545939844720053,                  5.0
             7.0,        9, 0.07677356545655448,                5.0,                  5.0
             7.0,       10, 0.13493532717495965, 2.1465489773396644,                  5.0
             6.0,        0,         -1,                0.0,                  0.0
             9.0,        0,         -1,                0.0,                  0.0
             7.0,        9, 0.20213177535037025,  4.859064370048905,                  5.0
             6.0,        8, 0.089589374632272, 4.5995233091304355,                  5.0
             6.0,       10, 0.09878355892153225,                5.0,                  5.0
             8.0,        3, 0.42185432195813083,                5.0,                  5.0
             8.0,       10, 0.19839795230648477,                5.0,                  5.0
             8.0,        7, 0.10223571583725957,                5.0,                  5.0
             8.0,       10, 0.14595162809406764,                5.0,                  5.0
             6.0,        0,         -1, 2.4426541852188084,   1.2528453301519757
             6.0,        2, 0.42185432195813083,                0.0,                  0.0
             6.0,        1, 0.7109242800553772,                0.0,                  0.0
             8.0,       10, 0.19839795230648477,                5.0,                  5.0
             9.0,        5, 0.09043958981933856,  4.305875819540948,                  5.0
             7.0,        4, 0.1385385973444193,                5.0,                  5.0
             6.0,        9, 0.17943254566215322,                5.0,                  5.0
             6.0,        8, 0.22482624155028105,  4.257454217576672,                  5.0
             8.0,        9, 0.12401390835717498, 3.7024101085749823,                  5.0
             8.0,       10, 0.14595162809406764, 3.3305998805599586,                  5.0
             8.0,        3, 0.42185432195813083,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             8.0,       10, 0.19839795230648477, 0.6589962825141953,                  5.0
             7.0,        9, 0.07677356545655448,                5.0,                  5.0
             8.0,        8, 0.06869358725055436,                5.0,                  5.0
             7.0,        3, 0.42185432195813083, 2.3913676895327884,    4.984273522824365
             7.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             6.0,        8, 0.22482624155028105,                5.0,                  5.0
             6.0,        9, 0.1310906214856014,                5.0,                  5.0
             7.0,        7, 0.14412769661009775,  3.761400224493852,                  5.0
             6.0,        6, 0.18848025029978407,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             8.0,       10, 0.19839795230648477, 3.3928661550137575,                  5.0
             8.0,        7, 0.10223571583725957, 3.7911688015761804,                  5.0
             8.0,       10, 0.14595162809406764,  4.726319180725155,                  5.0
             6.0,        8, 0.22482624155028105,                5.0,                  5.0
             6.0,        9, 0.1310906214856014,                5.0,                  5.0
             8.0,       10, 0.14595162809406764,                5.0,                  5.0
             7.0,        3, 0.42185432195813083,                5.0,   4.9826234471374935
             5.0,        0,         -1,                  0,                    0
             5.0,        8, 0.16742784894897833, 0.5102111020950035,                  5.0
             6.0,        9, 0.1310906214856014,                5.0,                  5.0
             8.0,       10, 0.14595162809406764,                0.0,                  5.0
             7.0,        9, 0.20213177535037025,  0.908813657897352,                  5.0
             8.0,        8, 0.12846698060530648,                5.0,                  5.0
             6.0,       10, 0.09878355892153225,                5.0,                  5.0
             7.0,        3, 0.42185432195813083,                0.0,                  0.0
             8.0,        0,         -1,                  0,                    0
             7.0,        9, 0.20213177535037025,                5.0,                  5.0
             8.0,        8, 0.12846698060530648,                5.0,                  5.0
             6.0,       10, 0.09878355892153225,                5.0,                  5.0
             6.0,        0,         -1,  3.848961601144504,   3.2451173363941503
             6.0,        2, 0.42185432195813083, 0.4291597043029818,   1.4277109824717196
             5.0,        1, 0.7109242800553772,                0.0,                  0.0
             8.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             7.0,        9, 0.20213177535037025, 3.9817858306758898,                  5.0
             8.0,        8, 0.12846698060530648,                0.0,                  5.0
             8.0,       10, 0.14595162809406764,                5.0,                  5.0
             8.0,        3, 0.42185432195813083,  4.130868202605265,    4.878094542513033
             7.0,        0,         -1,                  0,                    0
             6.0,        8, 0.22482624155028105, 0.6169326627289635,                  5.0
             7.0,        9, 0.17247382631651098,                5.0,                  5.0
             4.0,        7, 0.09135749822831737,                5.0,                  5.0
             5.0,        6, 0.18848025029978394,                5.0,                  5.0
