#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             2.0,       10, 0.20044666952922632,  4.764723995458991,                  5.0
             0.0,        6, 0.10570642356899443,                5.0,                  5.0
             3.0,        9, 0.0839732905343581,  2.938898413594445,                  5.0
             3.0,        5, 0.2527640191516585,                5.0,                  5.0
             0.0,        0,         -1,                  0,                    0
             2.0,       10, 0.20044666952922632,                5.0,                  5.0
             2.0,        7, 0.17568124081579797,                5.0,                  5.0
             2.0,        6, 0.08983941691121156,                5.0,                  5.0
             1.0,        2, 0.13279588755563745,                5.0,                  5.0
             3.0,        5, 0.2527640191516585,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             4.0,        8, 0.22986576699302957,                5.0,                  5.0
             3.0,        9, 0.1397852214326741,                5.0,                  5.0
             1.0,        0,         -1,                5.0,                  5.0
             3.0,       10, 0.31438420493550406, 0.5459398447200532,    3.245015738434125
             1.0,        3, 0.42185432195813094,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             2.0,       10, 0.20044666952922632, 0.14654897733966443,                  5.0
             2.0,        7, 0.17568124081579797,  2.073602224832829,                  5.0
             1.0,        0,         -1,                5.0,                  5.0
             4.0,        7, 0.1181711955755896,                5.0,                  5.0
             2.0,        6, 0.18848025029978407, 2.5995233091304355,                  5.0
             1.0,       10, 0.11740082783327345,                5.0,                  5.0
             1.0,        1, 0.08636476152811597,                5.0,                  5.0
             3.0,        7, 0.5022925210211232, 2.6635294397950333,   2.0594668289203124
             3.0,        7, 0.12645469681668547,                5.0,                  5.0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             3.0,        9, 0.1397852214326741,                5.0,                  5.0
             5.0,        6, 0.1162549511188045,    4.2736341873988,                  5.0
             1.0,        2, 0.13279588755563745,                5.0,                  5.0
             1.0,        3, 0.2527640191516585,                5.0,                  5.0
             1.0,        0,         -1,                0.0,                  0.0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             4.0,        9, 0.11145756046504351,                5.0,                  5.0
             2.0,        6, 0.08983941691121156,                5.0,                  5.0
             1.0,        2, 0.13279588755563745, 3.7024101085749823,                  5.0
             1.0,       10, 0.11740082783327345, 3.3305998805599586,                  5.0
             3.0,        8, 0.15498686897492434,                5.0,                  5.0
             3.0,        6, 0.14404014910031165, 1.6589962825141953,                  5.0
             3.0,        6, 0.18848025029978394,                5.0,                  5.0
             1.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             2.0,        9, 0.13615310053263455,                5.0,                  5.0
             3.0,        9, 0.19102736496277054,                5.0,                  5.0
             2.0,        4, 0.3287966331049933, 3.3272254223085116,                  5.0
             2.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             1.0,       10, 0.11740082783327345,  3.761400224493852,                  5.0
             2.0,        7, 0.17568124081579797,                5.0,                  5.0
             4.0,        7, 0.09135749822831737,                5.0,                  5.0
             1.0,        0,         -1, 2.7911688015761804,                  5.0
             3.0,        6, 0.18848025029978407,  3.726319180725155,                  5.0
             1.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             3.0,        9, 0.1397852214326741,                5.0,                  5.0
             1.0,        0,         -1,                5.0,                  5.0
             1.0,       10, 0.11740082783327345,                5.0,                  5.0
             3.0,        8, 0.15498686897492434, 0.5102111020950035,                  5.0
             2.0,        6, 0.13384015607946892,                5.0,                  5.0
             0.0,        1, 0.18848025029978394,                0.0,                  5.0
             0.0,        3, 0.2527640191516585,                0.0,   3.4889592912331753
             1.0,       10, 0.11740082783327345,                5.0,                  5.0
             3.0,        8, 0.15498686897492434,                5.0,                  5.0
             2.0,        6, 0.13384015607946892,  2.370347144321137,                  5.0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             1.0,        8, 0.07958248617528285,                5.0,                  5.0
             2.0,        3, 0.06280108510979192,                5.0,                  5.0
             3.0,       10, 0.22634224022735366,                5.0,                  5.0
             2.0,        1, 0.7109242800553771,                0.0,                  0.0
             3.0,        8, 0.2085888179048035,  2.048684307148843,                  5.0
             1.0,        8, 0.07958248617528285,                5.0,                  5.0
             1.0,        6, 0.1268651171997884,                0.0,                  5.0
             1.0,        7, 0.08367947819256258,                5.0,                  5.0
             0.0,        1, 0.7109242800553771,                0.0,                  0.0
             3.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             3.0,        8, 0.2085888179048035, 0.6169326627289635,                  5.0
             3.0,        9, 0.1397852214326741,                5.0,                  5.0
             3.0,        9, 0.19102736496277054, 3.6943071719126372,                  5.0
             2.0,        4, 0.3287966331049933,  4.928600956730413,                  5.0
             1.0,        0,         -1,                  0,                    0
             2.0,       10, 0.20044666952922632, 2.7207703046987834,                  5.0
             0.0,        6, 0.10570642356899443,                5.0,                  5.0
             1.0,        6, 0.1268651171997884,                5.0,                  5.0
             3.0,        8, 0.08367947819256258, 3.9736695257904575,                  5.0
             1.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             4.0,        8, 0.22986576699302957,                0.0,    2.273842951705224
             1.0,        8, 0.07958248617528285,                5.0,                  5.0
             3.0,        9, 0.0839732905343581,                5.0,                  5.0
             1.0,        2, 0.2527640191516585,                5.0,                  5.0
             2.0,        3, 0.42185432195813083,  0.414656688262788,   1.4182913856365107
             1.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             1.0,       10, 0.11740082783327345,                5.0,                  5.0
             2.0,        7, 0.17568124081579797,                5.0,                  5.0
             1.0,        0,         -1,                5.0,                  5.0
             2.0,        5, 0.29721552522552125,  3.614620857475241,                  5.0
             2.0,        8, 0.08367947819256258,                5.0,                  5.0
             4.0,        8, 0.22986576699302957,                5.0,                  5.0
             2.0,        9, 0.13615310053263455,                5.0,                  5.0
             0.0,        3, 0.13030197911948102,                5.0,                  5.0
             2.0,       10, 0.20044666952922632,                5.0,                  5.0
             2.0,        7, 0.17568124081579797, 3.7113078336559724,                  5.0
             4.0,        7, 0.09135749822831737,                5.0,                  5.0
             3.0,        8, 0.2085888179048035, 2.2746219781919055,                  5.0
             3.0,        9, 0.1397852214326741,                5.0,                  5.0
             4.0,        7, 0.09135749822831737,  3.654481350894965,                  5.0
             0.0,        8, 0.08485833547171522,                5.0,                  5.0
             1.0,        8, 0.07958248617528285,                5.0,                  5.0
             1.0,        6, 0.1268651171997884,                5.0,                  5.0
             1.0,        7, 0.08367947819256258,                5.0,                  5.0
             3.0,        1, 0.7109242800553771,                0.0,                  0.0
             2.0,        0,         -1,                  0,                    0
             0.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             3.0,        8, 0.2085888179048035, 1.8310361589419868,                  5.0
             5.0,        9, 0.17336086930523503,                5.0,                  5.0
