#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             2.0,        9, 0.13615310053263455,                5.0,                  5.0
             6.0,       10, 0.09878355892153225,  2.938898413594445,                  5.0
             6.0,        0,         -1,  3.433277928244355,    4.298033416982191
             1.0,        3, 0.42185432195813094, 3.8484124136733286,   4.9086556749349475
             2.0,       10, 0.20044666952922632,                5.0,                  5.0
             5.0,        7, 0.09769935649668839,                5.0,                  5.0
             4.0,        7, 0.09135749822831737,                5.0,                  5.0
             4.0,        6, 0.18848025029978407,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             7.0,        9, 0.17247382631651098,                5.0,                  5.0
             5.0,        6, 0.1162549511188045,                5.0,                  5.0
             3.0,        2, 0.13279588755563732,  4.545939844720053,                  5.0
             5.0,        5, 0.2527640191516585,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             6.0,        8, 0.22482624155028105, 0.14654897733966443,                  5.0
             4.0,        9, 0.11145756046504351,  3.073602224832829,                  5.0
             4.0,        7, 0.09135749822831737,                5.0,                  5.0
             3.0,        6, 0.18848025029978394,                5.0,                  5.0
             7.0,        0,         -1,                  0,                    0
             4.0,        8, 0.22986576699302957, 1.5995233091304355,                  5.0
             4.0,        9, 0.11145756046504351,                5.0,                  5.0
             4.0,        7, 0.09135749822831737,                5.0,                  5.0
             6.0,        6, 0.18848025029978407,                5.0,                  5.0
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             5.0,        9, 0.17336086930523503,                5.0,                  5.0
             5.0,        6, 0.1162549511188045,                5.0,                  5.0
             9.0,        1, 0.13279588755563745,    4.2736341873988,                  5.0
             4.0,        6, 0.18848025029978394,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             6.0,        9, 0.1310906214856014, 3.3058758195409483,                  5.0
             7.0,        7, 0.14412769661009775,                5.0,                  5.0
             4.0,        6, 0.18848025029978407,                5.0,                  5.0
             3.0,        8, 0.2085888179048035,  4.257454217576672,                  5.0
             3.0,        9, 0.1397852214326741, 3.7024101085749823,                  5.0
             6.0,       10, 0.09878355892153225,  4.330599880559959,                  5.0
             6.0,        0,         -1,                5.0,                  5.0
             6.0,        2, 0.42185432195813083,                0.0,                  0.0
             3.0,        1, 0.7109242800553772,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             6.0,        9, 0.1310906214856014,                5.0,                  5.0
             5.0,        6, 0.1162549511188045,                5.0,                  5.0
             6.0,        7, 0.13279588755563745,                5.0,                  5.0
             5.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             4.0,        8, 0.22986576699302957,  1.761400224493852,                  5.0
             4.0,        9, 0.11145756046504351,                5.0,                  5.0
             3.0,        9, 0.19102736496277054, 3.3928661550137575,                  5.0
             4.0,        4, 0.3287966331049933,                0.0,    2.461614193023087
             7.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             4.0,        8, 0.22986576699302957,  2.726319180725155,                  5.0
             5.0,        9, 0.17336086930523503,                5.0,                  5.0
             6.0,       10, 0.09878355892153225,                5.0,                  5.0
             6.0,        8, 0.22482624155028105,                5.0,                  5.0
             6.0,        9, 0.1310906214856014,                5.0,                  5.0
             4.0,        7, 0.09135749822831737, 2.5102111020950035,                  5.0
             4.0,        6, 0.18848025029978407,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             4.0,        8, 0.22986576699302957,                0.0,   3.2280636648340604
             2.0,        9, 0.13615310053263455,  2.908813657897352,                  5.0
             2.0,        6, 0.08983941691121156,                5.0,                  5.0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             5.0,        9, 0.17336086930523503,  1.370347144321137,                  5.0
             5.0,        6, 0.1162549511188045,                5.0,                  5.0
             6.0,        7, 0.13279588755563745,                5.0,                  5.0
             4.0,        0,         -1,                  0,                    0
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             6.0,        9, 0.1310906214856014,                5.0,                  5.0
             4.0,        7, 0.09135749822831737,                5.0,                  5.0
             5.0,        6, 0.18848025029978394,  3.048684307148843,                  5.0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,        8, 0.16742784894897833,  4.981785830675889,                  5.0
             4.0,        9, 0.11145756046504351,                0.0,                  5.0
             5.0,        6, 0.1162549511188045,                5.0,                  5.0
             5.0,        7, 0.13279588755563745,                5.0,                  5.0
             5.0,        0,         -1,                  0,                    0
             6.0,        8, 0.22482624155028105, 0.6169326627289635,                  5.0
             4.0,        9, 0.11145756046504351,                5.0,                  5.0
             4.0,        7, 0.09135749822831737,                5.0,                  5.0
             4.0,        6, 0.18848025029978407,                5.0,                  5.0
             1.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             2.0,       10, 0.20044666952922632, 2.7207703046987834,                  5.0
             3.0,        8, 0.15498686897492434,                5.0,                  5.0
             5.0,        8, 0.2560669640282562,  3.906935979780223,                  5.0
             3.0,        4, 0.3287966331049933,                0.0,  0.06855350595382292
             4.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             3.0,        8, 0.2085888179048035,                0.0,    2.273842951705224
             4.0,        9, 0.11145756046504351,                5.0,                  5.0
             6.0,       10, 0.09878355892153225,                5.0,                  5.0
             1.0,        3, 0.42185432195813083,                5.0,                  5.0
             5.0,        0,         -1,                  0,                    0
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             3.0,        9, 0.1397852214326741,                5.0,                  5.0
             2.0,        6, 0.08983941691121156,                5.0,                  5.0
             5.0,        8, 0.16742784894897833, 4.9802752592180655,                  5.0
             3.0,        9, 0.1397852214326741,                5.0,                  5.0
             5.0,        6, 0.1162549511188045,                5.0,                  5.0
             5.0,        8, 0.16742784894897833,                5.0,                  5.0
             8.0,        9, 0.12401390835717498,                5.0,                  5.0
             4.0,        7, 0.09135749822831737,                5.0,                  5.0
             2.0,       10, 0.20044666952922632,                5.0,                  5.0
             5.0,        7, 0.09769935649668839,                5.0,                  5.0
             5.0,        6, 0.1162549511188045,                5.0,                  5.0
             7.0,        7, 0.13279588755563745,  4.274621978191906,                  5.0
             6.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             3.0,        8, 0.2085888179048035,  4.935798835001788,                  5.0
             3.0,        9, 0.1397852214326741,  2.654481350894965,                  5.0
             4.0,        7, 0.09135749822831737,                5.0,                  5.0
             2.0,        5, 0.18848025029978407,                5.0,                  5.0
             6.0,        1, 0.7109242800553772,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             2.0,       10, 0.20044666952922632,   3.30104065078525,                  5.0
             5.0,        7, 0.09769935649668839,                0.0,                  5.0
             6.0,       10, 0.09878355892153225,  4.831036158941987,                  5.0
             8.0,        3, 0.42185432195813083, 2.5848664580461134,    4.400300433692368
             5.0,        8, 0.16742784894897833,  2.578768685586393,                  5.0
             3.0,        9, 0.1397852214326741, 1.1176151120900144,                  5.0
             0.0,        3, 0.13030197911948102,                5.0,                  5.0
             5.0,        4, 0.08768552689888431,                5.0,                  5.0
             3.0,        6, 0.18848025029978407,                5.0,                  5.0
             4.0,        0,         -1,                  0,                    0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             4.0,        9, 0.11145756046504351, 3.5566064095803958,                  5.0
             7.0,        7, 0.14412769661009775,                5.0,                  5.0
             5.0,        6, 0.18848025029978394,                5.0,                  5.0
             4.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             1.0,       10, 0.11740082783327345,                5.0,                  5.0
             4.0,        8, 0.09670744920861968,                5.0,                  5.0
             4.0,       10, 0.11411738849056953,                5.0,                  5.0
             8.0,        2, 0.5418282154015284, 1.1750946015726145,   1.3312110207959673
             5.0,        0,         -1,                  0,                    0
             6.0,        8, 0.22482624155028105,                5.0,                  5.0
             4.0,        9, 0.11145756046504351,                5.0,                  5.0
             2.0,        6, 0.08983941691121156,                5.0,                  5.0
             3.0,        2, 0.13279588755563732,                5.0,                  5.0
             3.0,        5, 0.2527640191516585,                0.0,                  0.0
             9.0,        0,         -1,                  0,                    0
             3.0,        8, 0.2085888179048035,                5.0,                  5.0
             6.0,        9, 0.1310906214856014,                5.0,                  5.0
             3.0,        9, 0.19102736496277054, 3.2985348790628866,                  5.0
             6.0,        4, 0.3287966331049933,  3.336624912683275,                  5.0
             5.0,        0,         -1,                  0,                    0
