#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             6.0,       10, 0.06028140191461786,                5.0,                  5.0
             3.0,       10, 0.08087220659731525,                5.0,                  5.0
             7.0,        8, 0.5525781674248409,                0.0,                  0.0
             8.0,        0,         -1,                0.0,                  0.0
             2.0,        0,         -1,                0.0,                  0.0
             8.0,        8, 0.07563799690668616,                5.0,                  5.0
             6.0,        7, 0.16379993640800522,                5.0,                  5.0
             7.0,        8, 0.06861708611628417,                5.0,                  5.0
             3.0,        5, 0.13279588755563757,                5.0,                  5.0
             2.0,        0,         -1,                0.0,                  0.0
             2.0,        2, 0.5418282154015285, 2.6439541266225897,    4.353527190275538
             8.0,        0,         -1,                  0,                    0
             7.0,       10, 0.08914996202882997,                5.0,                  5.0
             6.0,        8, 0.12624944493435436,                5.0,                  5.0
             2.0,        5, 0.09235081685227847,                5.0,                  5.0
             2.0,        4, 0.13279588755563745,                5.0,                  5.0
             5.0,        1, 0.42185432195813083,                0.0,                  0.0
             1.0,        1, 0.5418282154015284, 2.6439541266225897,    4.353527190275538
             6.0,       10, 0.06028140191461786,                5.0,                  5.0
             8.0,        9, 0.06677799053520403,                5.0,                  5.0
             7.0,        7, 0.19451049286949385,                5.0,                  5.0
             1.0,        4, 0.32879663310499313,  2.868545493072215,                  5.0
             6.0,        0,         -1,                  0,                    0
             6.0,       10, 0.06028140191461786,                5.0,                  5.0
             7.0,        9, 0.07546603964549978,                5.0,                  5.0
             3.0,        7, 0.06923652183633724,                5.0,                  5.0
             3.0,        3, 0.3287966331049933,  2.868545493072215,                  5.0
             3.0,        8, 0.1067660802398095,                5.0,                  5.0
             3.0,        8, 0.06996792901244438,                5.0,                  5.0
             7.0,        7, 0.09393454165592437,                5.0,                  5.0
             8.0,        7, 0.13279588755563757,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             2.0,        8, 0.09205398488360028,                5.0,                  5.0
             2.0,        8, 0.0724410406450689,                5.0,                  5.0
             3.0,        9, 0.11154135891058937,                5.0,                  5.0
             0.0,        0,         -1,  3.868545493072215,                  5.0
             1.0,        8, 0.06263711192266001,                5.0,                  5.0
             0.0,        1, 0.12122864474952216,                5.0,                  5.0
             8.0,       10, 0.09526681807867425,                5.0,                  5.0
             2.0,        9, 0.20338424287917348,  4.868545493072215,                  5.0
             8.0,        0,         -1,                0.0,                  0.0
             7.0,        0,         -1, 2.6439541266225897,    4.353527190275538
             1.0,        1, 0.5418282154015284, 0.15010092653058063,                  0.0
             7.0,        0,         -1,                0.0,                  0.0
             7.0,       10, 0.08914996202882997,                5.0,                  5.0
             2.0,       10, 0.08688184872025259,                5.0,                  5.0
             2.0,        9, 0.10215447125742246,                5.0,                  5.0
             9.0,        0,         -1,                0.0,                  0.0
             2.0,        0,         -1,                0.0,                  0.0
             3.0,        1, 0.7109242800553771,                0.0,                  0.0
             2.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,       10, 0.08914996202882997,                5.0,                  5.0
             8.0,        9, 0.06677799053520403,                5.0,                  5.0
             8.0,       10, 0.07597585799634626,                5.0,                  5.0
             3.0,        0,         -1,                0.0,                  0.0
             8.0,        1, 0.7109242800553771,                0.0,                  0.0
             3.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             3.0,        8, 0.1067660802398095,                5.0,                  5.0
             6.0,        7, 0.16379993640800522,                5.0,                  5.0
             9.0,        6, 0.10387568730789629,                5.0,                  5.0
             9.0,        9, 0.11484231366181621,                5.0,                  5.0
             8.0,        5, 0.05039991135945477,                5.0,                  5.0
             7.0,       10, 0.19448393057492414,                5.0,                  5.0
             3.0,        5, 0.18848025029978394,                5.0,                  5.0
             2.0,        0,         -1,                0.0,                  0.0
             2.0,        8, 0.09205398488360028,                5.0,                  5.0
             3.0,        8, 0.06996792901244438,                5.0,                  5.0
             3.0,        9, 0.11154135891058937,                5.0,                  5.0
             7.0,       10, 0.08914996202882997,                5.0,                  5.0
             3.0,       10, 0.08087220659731525,                5.0,                  5.0
             2.0,        9, 0.10215447125742246,                5.0,                  5.0
             1.0,        0,         -1,                0.0,                  0.0
             1.0,        0,         -1,                0.0,                  0.0
             8.0,        8, 0.07563799690668616,                5.0,                  5.0
