#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             9.0,       10, 0.07618246601317492,                5.0,                  5.0
             9.0,       10, 0.08014247120541686,                5.0,                  5.0
             9.0,       10, 0.07835489993930041,                5.0,                  5.0
             2.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             6.0,        8, 0.06873512542137407,                5.0,                  5.0
             6.0,       10, 0.07204684655558503,  4.564371391639369,                  5.0
             9.0,        7, 0.07679091292624078,                5.0,                  5.0
             1.0,        4, 0.2527640571908685,                5.0,                  5.0
             5.0,        1, 0.710924272578675,                0.0,                  0.0
             1.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             7.0,       10, 0.07094712080288014,                5.0,                  5.0
             3.0,        7, 0.06013609159018373,                5.0,                  5.0
             6.0,        7, 0.06812226747495569,                5.0,                  5.0
             1.0,        5, 0.1884802072396213,                5.0,                  5.0
             1.0,        1, 0.710924272578675,                0.0,                  0.0
             2.0,        0,         -1,                  0,                    0
             5.0,        8, 0.0667167330506068,                5.0,                  5.0
             3.0,        7, 0.06055886156806614,                5.0,                  5.0
             6.0,        9, 0.0770681188034894, 2.3057295824299446,                  5.0
             2.0,        5, 0.1884802072396213,                5.0,                  5.0
             7.0,        1, 0.710924272578675,                0.0,                  0.0
             6.0,        8, 0.06873512542137407,                5.0,                  5.0
             4.0,        8, 0.0668977921852493,                5.0,                  5.0
             3.0,        5, 0.09800846580872656,                5.0,                  5.0
             3.0,        5, 0.039743953323791825,                5.0,                  5.0
             1.0,        5, 0.05986632933171751,                5.0,                  5.0
             2.0,        6, 0.060760046042379605,                5.0,                  5.0
             4.0,        9, 0.06592329842631883,                5.0,                  5.0
             3.0,        9, 0.0707158861638525,                5.0,                  5.0
             6.0,        1, 0.710924272578675,                0.0,                  0.0
             4.0,        0,         -1,                  0,                    0
             2.0,        7, 0.06028778978407339,                5.0,                  5.0
             3.0,        6, 0.05981904856796998,                5.0,                  5.0
             4.0,        9, 0.06555897464035756,                5.0,                  5.0
             2.0,        7, 0.08367949965258797,                5.0,                  5.0
             2.0,        7, 0.06028778978407339,                5.0,                  5.0
             5.0,        9, 0.06562334815834618,                5.0,                  5.0
             2.0,        5, 0.057728080914074206,                5.0,                  5.0
             6.0,        9, 0.039743953323791825,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,        8, 0.06873512542137407,                5.0,                  5.0
             5.0,        8, 0.06947390458552823,                5.0,                  5.0
             2.0,        5, 0.09502819247752123,                5.0,                  5.0
             2.0,        5, 0.039743884401395695,                5.0,                  5.0
             2.0,        1, 0.3287966944766035, 3.9781254639162005,                  5.0
             2.0,        1, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             0.0,        2, 0.5418282394614383,                0.0,                  0.0
             2.0,        0,         -1,                  0,                    0
             6.0,        8, 0.06873512542137407,                5.0,                  5.0
             9.0,       10, 0.07808093341467005,                5.0,                  5.0
             3.0,        7, 0.07177329356533148,  4.569434578664666,                  5.0
             2.0,        5, 0.2527640571908685,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             1.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,        8, 0.06873512542137407,                5.0,                  5.0
             7.0,       10, 0.07415973153145124,                5.0,                  5.0
             9.0,        8, 0.07610596215346684,                5.0,                  5.0
             8.0,       10, 0.07361200524937893,                5.0,                  5.0
             7.0,       10, 0.07291140909268269,                5.0,                  5.0
             5.0,        7, 0.11052815014396665,                5.0,                  5.0
             4.0,        2, 0.42185433528802807,  2.484989136752146,   3.4168290237444645
             1.0,        1, 0.710924272578675,                0.0,                  0.0
             5.0,        8, 0.0667167330506068,                5.0,                  5.0
             4.0,        7, 0.06393343992755078,                5.0,                  5.0
             7.0,       10, 0.07983025275093246, 2.2452593521756885,                  5.0
             8.0,       10, 0.07361200524937893,                5.0,                  5.0
