#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             5.0,        9, 0.07301001545572575,                5.0,                  5.0
             6.0,        9, 0.06078911028381631,                5.0,                  5.0
             4.0,        9, 0.08165394152316174,  2.938898413594445,                  5.0
             5.0,        3, 0.42185432195813083,  3.433277928244355,    4.298033416982191
             8.0,        0,         -1,                  0,                    0
             8.0,        9, 0.08023573839447833,                5.0,                  5.0
             2.0,        9, 0.05122544560668117,                5.0,                  5.0
             3.0,       10, 0.05950904705017063,                5.0,                  5.0
             2.0,        1, 0.5418282154015283,                5.0,                  5.0
             5.0,        1, 0.7109242800553772,                0.0,                  0.0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,        8, 0.0736024397019461,                5.0,                  5.0
             3.0,       10, 0.10675505872764751,                5.0,                  5.0
             6.0,       10, 0.12236857083108875,                5.0,                  5.0
             6.0,        2, 0.5418282154015284,                0.0,                  0.0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             3.0,        8, 0.0776626507738197,                5.0,                  5.0
             4.0,       10, 0.07959499284700415, 3.1465489773396644,                  5.0
             3.0,       10, 0.05950904705017063,  4.073602224832829,                  5.0
             6.0,        2, 0.5418282154015284,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             3.0,        8, 0.0776626507738197,                5.0,                  5.0
             5.0,       10, 0.0671785448450749, 4.5995233091304355,                  5.0
             7.0,        9, 0.0667204769615801,                5.0,                  5.0
             4.0,        2, 0.42185432195813083,                5.0,                  5.0
             3.0,        8, 0.0776626507738197,                5.0,                  5.0
             4.0,       10, 0.07959499284700415,                5.0,                  5.0
             8.0,        7, 0.09246402631383724,                5.0,                  5.0
             8.0,        5, 0.2527640191516585,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,        8, 0.08573939133818766,                5.0,                  5.0
             4.0,       10, 0.07959499284700415,                5.0,                  5.0
             2.0,       10, 0.10530981644854492,                5.0,                  5.0
             6.0,        2, 0.5418282154015284,                0.0,                  0.0
             5.0,        9, 0.07301001545572575,                5.0,                  5.0
             4.0,        9, 0.09221229319129734,                5.0,                  5.0
             3.0,       10, 0.05950904705017063,                5.0,                  5.0
             4.0,        0,         -1,                0.0,                  0.0
             5.0,        2, 0.5418282154015285,                0.0,                  0.0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             5.0,        9, 0.07301001545572575,                5.0,                  5.0
             6.0,        9, 0.06078911028381631, 2.6589962825141953,                  5.0
             4.0,        9, 0.08165394152316174,                5.0,                  5.0
             5.0,        3, 0.42185432195813083, 1.6123056938630613,   3.2860608068974213
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             2.0,        8, 0.10292250958453115,                5.0,                  5.0
             5.0,       10, 0.0671785448450749,                5.0,                  5.0
             2.0,       10, 0.10530981644854492,                5.0,                  5.0
             5.0,        2, 0.5418282154015283,                0.0,                  0.0
             6.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             2.0,        8, 0.10292250958453115,                5.0,                  5.0
             5.0,       10, 0.0671785448450749,                5.0,                  5.0
             3.0,       10, 0.05950904705017063,   4.79116880157618,                  5.0
             4.0,        8, 0.08542300209149893,                5.0,                  5.0
             3.0,       10, 0.10675505872764751,                5.0,                  5.0
             6.0,       10, 0.12236857083108875,                5.0,                  5.0
             5.0,        2, 0.5418282154015283,                5.0,    4.207481848736334
             3.0,        0,         -1,                  0,                    0
             5.0,        9, 0.07301001545572575,                5.0,                  5.0
             7.0,        9, 0.06231810495679546, 2.5102111020950035,                  5.0
             4.0,        9, 0.08165394152316174,                5.0,                  5.0
             3.0,        8, 0.0776626507738197,  0.713189039188646,                  5.0
             4.0,       10, 0.07959499284700415,  3.908813657897352,                  5.0
             8.0,        7, 0.09246402631383724,                5.0,                  5.0
             8.0,        5, 0.2527640191516585,  4.277635848779151,                  5.0
             6.0,        0,         -1,                  0,                    0
             8.0,        9, 0.08023573839447833,  3.370347144321137,                  5.0
             7.0,        9, 0.06231810495679546,                5.0,                  5.0
             4.0,        9, 0.08165394152316174,                5.0,                  5.0
             2.0,        3, 0.42185432195813094, 1.2505354626840053,    3.614844520377889
             6.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        8, 0.08542300209149893,                5.0,                  5.0
             5.0,       10, 0.0671785448450749,                5.0,                  5.0
             3.0,       10, 0.05950904705017063,                5.0,                  5.0
             4.0,        0,         -1,                0.0,                  0.0
             5.0,        2, 0.5418282154015285,                0.0,                  0.0
             5.0,        9, 0.07301001545572575,                5.0,                  5.0
             6.0,        9, 0.06078911028381631,                5.0,                  5.0
             4.0,        9, 0.08165394152316174, 3.6169326627289635,                  5.0
             5.0,        3, 0.42185432195813083,  2.673886671913766,    3.306857148894931
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,        8, 0.10292250958453115,  4.694307171912637,                  5.0
             3.0,       10, 0.10675505872764751,                5.0,                  5.0
             2.0,       10, 0.10530981644854492, 4.7207703046987834,                  5.0
             5.0,        2, 0.5418282154015283, 0.8224260692663493,   0.6770390420246869
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             2.0,        8, 0.10292250958453115,                5.0,                  5.0
             5.0,       10, 0.0671785448450749, 3.9736695257904575,                  5.0
             3.0,       10, 0.05950904705017063,                0.0,                  5.0
             4.0,        0,         -1,   4.58846108338204,    4.994325347756919
             3.0,        2, 0.5418282154015284, 1.5165522952627757,    2.462818143397449
             6.0,        8, 0.0736024397019461,                5.0,                  5.0
             5.0,       10, 0.0671785448450749,                5.0,                  5.0
             3.0,       10, 0.05950904705017063,                5.0,                  5.0
             5.0,        9, 0.07301001545572575,                5.0,                  5.0
             7.0,        9, 0.06231810495679546,                5.0,                  5.0
             4.0,        9, 0.08165394152316174,                5.0,                  5.0
             3.0,        8, 0.0776626507738197,                5.0,                  5.0
             4.0,       10, 0.07959499284700415,                5.0,                  5.0
             8.0,        7, 0.09246402631383724,                5.0,                  5.0
             8.0,        9, 0.08023573839447833,                5.0,                  5.0
             6.0,        9, 0.06078911028381631,                5.0,                  5.0
             8.0,        7, 0.09246402631383724,                5.0,                  5.0
             7.0,        3, 0.2527640191516585,                5.0,                  5.0
             4.0,        2, 0.5418282154015284,                0.0,                  0.0
             2.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             4.0,        8, 0.08542300209149893,                5.0,                  5.0
             3.0,       10, 0.10675505872764751,  2.654481350894965,                  5.0
             4.0,        9, 0.08165394152316174,                5.0,                  5.0
             5.0,        3, 0.42185432195813083, 2.3363947054001772,   3.3491331733050673
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             5.0,        9, 0.07301001545572575,                5.0,                  5.0
             6.0,        9, 0.06078911028381631,                5.0,                  5.0
             4.0,        9, 0.08165394152316174,                0.0,                  5.0
             5.0,        3, 0.42185432195813083,                0.0,                  0.0
             8.0,        9, 0.08023573839447833,                5.0,                  5.0
             8.0,        9, 0.06409233353707981,  4.578768685586393,                  5.0
             2.0,       10, 0.10530981644854492, 1.1176151120900144,                  5.0
             3.0,        2, 0.5418282154015283,  4.789970253870257,                  5.0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             2.0,        8, 0.10292250958453115,                5.0,                  5.0
             5.0,       10, 0.0671785448450749,                5.0,                  5.0
             6.0,       10, 0.12236857083108875,                5.0,                  5.0
             3.0,        2, 0.5418282154015283,                0.0,                  0.0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             2.0,        8, 0.10292250958453115,                5.0,                  5.0
             5.0,       10, 0.0671785448450749,                5.0,                  5.0
             3.0,       10, 0.05950904705017063,                5.0,                  5.0
             4.0,        0,         -1, 0.2043766403154827,   1.5755570747758505
             3.0,        2, 0.5418282154015284, 0.05399559496578185,                  0.0
             6.0,        8, 0.0736024397019461,                5.0,                  5.0
             5.0,       10, 0.0671785448450749,                5.0,                  5.0
             3.0,       10, 0.05950904705017063,                5.0,                  5.0
             5.0,        2, 0.5418282154015283, 3.8091411054717703,    4.957143762630599
             7.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             3.0,        8, 0.0776626507738197,                5.0,                  5.0
             4.0,       10, 0.07959499284700415, 0.6817130174771622,                  5.0
             8.0,        7, 0.09246402631383724,                5.0,                  5.0
             8.0,        5, 0.2527640191516585, 2.2040176102217925,                  5.0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             2.0,        8, 0.10292250958453115,  4.298534879062887,                  5.0
             6.0,       10, 0.06983526158966391,                5.0,                  5.0
             5.0,        8, 0.08050215401441559,  3.168088467077176,                  5.0
             4.0,        4, 0.32879663310499313, 0.8430824947551381,                  5.0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             3.0,        8, 0.0776626507738197,                5.0,                  5.0
             4.0,       10, 0.07959499284700415,                5.0,                  5.0
             5.0,        8, 0.08050215401441559,                5.0,                  5.0
             5.0,        9, 0.07301001545572575,                5.0,                  5.0
             6.0,        9, 0.06078911028381631,                5.0,                  5.0
             4.0,        9, 0.08165394152316174,                5.0,                  5.0
             5.0,        3, 0.42185432195813083,                0.0,                  0.0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             3.0,        8, 0.0776626507738197,                5.0,                  5.0
             2.0,       10, 0.23019667663966603,                5.0,                  5.0
             5.0,        8, 0.08050215401441559,                5.0,                  5.0
             2.0,        4, 0.3287966331049933,  4.520301743249988,                  5.0
             5.0,        9, 0.07301001545572575,                5.0,                  5.0
             6.0,        9, 0.06078911028381631,                5.0,                  5.0
             3.0,       10, 0.05950904705017063,                5.0,                  5.0
