#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             5.0,       10, 0.055340668990298277,                5.0,                  5.0
             6.0,       10, 0.04785206078539872,                5.0,                  5.0
             4.0,        4, 0.043888631252828554,                5.0,                  5.0
             5.0,        6, 0.16663913644288358,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,       10, 0.05819291826565439,                5.0,                  5.0
             2.0,        8, 0.05463052986214192,                5.0,                  5.0
             3.0,       10, 0.09749864470587201,                5.0,                  5.0
             2.0,        2, 0.4479069983634792, 0.8685454930722153,   1.3913274627127126
             5.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,       10, 0.056561543650543486,                5.0,                  5.0
             3.0,        8, 0.06160428564005397,                5.0,                  5.0
             6.0,        7, 0.08384976586885542,                5.0,                  5.0
             6.0,        5, 0.12639038118549376,                5.0,                  5.0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             3.0,        9, 0.056189497465461036,                5.0,                  5.0
             4.0,        8, 0.071887423475077,                5.0,                  5.0
             3.0,        9, 0.08969659867119122,                5.0,                  5.0
             6.0,        0,         -1,                5.0,                  5.0
             5.0,        2, 0.288990938076567, 0.058405739911953525,   4.9430281204115385
             3.0,        9, 0.056189497465461036,                5.0,                  5.0
             5.0,       10, 0.0665579212345319,                5.0,                  5.0
             7.0,       10, 0.06930879473747208,                5.0,                  5.0
             4.0,        1,        1.0,                0.0,                  0.0
             3.0,        9, 0.056189497465461036,                5.0,                  5.0
             4.0,        8, 0.071887423475077,                5.0,                  5.0
             8.0,        9, 0.103853385740182,                5.0,                  5.0
             8.0,        1, 0.17757886766597927,                5.0,                  5.0
             6.0,        2, 0.4145205546752471,                0.0,                  0.0
             8.0,        1,        1.0,                0.0,                  0.0
             7.0,       10, 0.05594115370790025,                5.0,                  5.0
             4.0,        9, 0.06417739098384807,                5.0,                  5.0
             2.0,       10, 0.09825973011036093,                5.0,                  5.0
             6.0,        1,        1.0,                0.0,                  0.0
             5.0,       10, 0.055340668990298277,                5.0,                  5.0
             4.0,        9, 0.06417739098384807,                5.0,                  5.0
             3.0,        9, 0.049512015353681715,                5.0,                  5.0
             4.0,        1, 0.5294805914740862,                0.0,                  0.0
             5.0,        1,        1.0,                0.0,                  0.0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             5.0,       10, 0.055340668990298277,                5.0,                  5.0
             6.0,       10, 0.04785206078539872,                5.0,                  5.0
             4.0,        4, 0.043888631252828554,                5.0,                  5.0
             5.0,        6, 0.16663913644288358,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             2.0,       10, 0.06251568205326503,                5.0,                  5.0
             5.0,        8, 0.05113440556299809,                5.0,                  5.0
             2.0,        6, 0.061973394812906576,                5.0,                  5.0
             5.0,        6, 0.16663913644288358,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             2.0,       10, 0.06251568205326503,                5.0,                  5.0
             5.0,        8, 0.05113440556299809,                5.0,                  5.0
             3.0,       10, 0.09749864470587201,                5.0,                  5.0
             4.0,       10, 0.05972312848780827,                5.0,                  5.0
             3.0,        8, 0.06160428564005397,                5.0,                  5.0
             6.0,        7, 0.08384976586885542,                5.0,                  5.0
             5.0,        3, 0.22052659227430044,  4.868545493072215,                  5.0
             3.0,        0,         -1,                0.0,                  0.0
             5.0,       10, 0.055340668990298277,                5.0,                  5.0
             7.0,       10, 0.04374732897063419,                5.0,                  5.0
             4.0,        4, 0.043888631252828554,                5.0,                  5.0
             3.0,        9, 0.056189497465461036,                5.0,                  5.0
             4.0,        8, 0.071887423475077,                5.0,                  5.0
             8.0,        9, 0.103853385740182,                5.0,                  5.0
             8.0,        1, 0.17757886766597927,                5.0,                  5.0
             6.0,        2, 0.4145205546752471,                0.0,                  0.0
             8.0,       10, 0.05819291826565439,                5.0,                  5.0
             7.0,       10, 0.04374732897063419,                5.0,                  5.0
             4.0,        4, 0.043888631252828554,                5.0,                  5.0
             2.0,        5, 0.21483593377615215,  4.868545493072215,                  5.0
             6.0,        1,        1.0,                0.0,                  0.0
             5.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,       10, 0.05972312848780827,                5.0,                  5.0
             5.0,        8, 0.05113440556299809,                5.0,                  5.0
             3.0,       10, 0.09749864470587201,                5.0,                  5.0
             4.0,        1, 0.5294805914740862,                0.0,                  0.0
             5.0,        1,        1.0,                0.0,                  0.0
             5.0,       10, 0.055340668990298277,                5.0,                  5.0
             6.0,       10, 0.04785206078539872,                5.0,                  5.0
             4.0,        4, 0.043888631252828554,                5.0,                  5.0
             5.0,        6, 0.16663913644288358,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,       10, 0.06251568205326503,                5.0,                  5.0
             3.0,        8, 0.06160428564005397,                5.0,                  5.0
             2.0,        6, 0.061973394812906576,                5.0,                  5.0
