#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             5.0,        7, 0.07275289483198018,                5.0,                  5.0
             6.0,        6, 0.089219856111492,                5.0,                  5.0
             4.0,        8, 0.08881213791661548,                5.0,                  5.0
             5.0,        4, 0.03974396054987639,                5.0,                  5.0
             8.0,        1, 0.2527640191516584, 0.058405739911953525,   4.9430281204115385
             8.0,        7, 0.09247312045150897,                5.0,                  5.0
             2.0,        6, 0.12639331478635957,                5.0,                  5.0
             3.0,        8, 0.13659433468058144,                5.0,                  5.0
             2.0,        6, 0.03974396054987639,                5.0,                  5.0
             5.0,        2, 0.42185432195813083,                0.0,                  0.0
             2.0,        0,         -1,                0.0,                  0.0
             5.0,        0,         -1,                0.0,                  0.0
             6.0,        7, 0.06914094777908629,                5.0,                  5.0
             3.0,        7, 0.0886467397054485,                5.0,                  5.0
             6.0,        7, 0.06917491891286082,                5.0,                  5.0
             6.0,        3, 0.039743960549876264,                5.0,                  5.0
             2.0,        3, 0.18848025029978394, 2.0584057399119535,                  5.0
             5.0,        0,         -1, 3.6439541266225897,                  5.0
             3.0,        7, 0.06895752093782194,                5.0,                  5.0
             4.0,        6, 0.06584234175011766,                5.0,                  5.0
             3.0,        8, 0.13659433468058144,                5.0,                  5.0
             6.0,        3, 0.039743960549876264,                5.0,                  5.0
             5.0,        5, 0.18848025029978394, 2.0584057399119535,                  5.0
             3.0,        7, 0.06895752093782194,                5.0,                  5.0
             5.0,        6, 0.12715737606908686,                5.0,                  5.0
             7.0,        2, 0.06973906594895062,                5.0,                  5.0
             4.0,        7, 0.18007546935369773,                5.0,                  5.0
             3.0,        7, 0.06895752093782194,                5.0,                  5.0
             4.0,        6, 0.06584234175011766,                5.0,                  5.0
             8.0,        0,         -1,                5.0,                  5.0
             8.0,        3, 0.0969663082039698,                5.0,                  5.0
             6.0,        6, 0.09032914099638077, 4.0584057399119535,                  5.0
             8.0,        2, 0.08367947819256258,                5.0,                  5.0
             7.0,        9, 0.10823080852941112,                5.0,                  5.0
             4.0,        8, 0.0695470097595756,                5.0,                  5.0
             2.0,        5, 0.0944286235775528,                5.0,                  5.0
             6.0,        3, 0.08367947819256245,                5.0,                  5.0
             5.0,        7, 0.07275289483198018,                5.0,                  5.0
             4.0,        6, 0.06584234175011766,                5.0,                  5.0
             3.0,        8, 0.13659433468058144,                5.0,                  5.0
             4.0,        0,         -1,                5.0,                  5.0
             5.0,        3, 0.03974396054987613,                5.0,                  5.0
             3.0,        4, 0.18848025029978394,                5.0,                  5.0
             4.0,        1, 0.5418282154015284, 0.15010092653058063,                  0.0
             5.0,        0,         -1,                0.0,                  0.0
             5.0,        7, 0.07275289483198018,                5.0,                  5.0
             6.0,        6, 0.089219856111492,                5.0,                  5.0
             4.0,        8, 0.08881213791661548,                5.0,                  5.0
             5.0,        4, 0.03974396054987639,                5.0,                  5.0
             8.0,        1, 0.2527640191516584, 0.058405739911953525,   4.9430281204115385
             8.0,        0,         -1,                5.0,                  5.0
             2.0,        2, 0.3287966331049933,  3.150100926530581,                  5.0
             3.0,        1, 0.5418282154015285,                0.0,                  0.0
             2.0,        5, 0.07296119132015302,                5.0,                  5.0
             5.0,        4, 0.07168103202772433,                5.0,                  5.0
             2.0,        5, 0.08937197748896572,                5.0,                  5.0
             5.0,        7, 0.06034661815723799,                5.0,                  5.0
             6.0,        4, 0.03974396054987652,                5.0,                  5.0
             3.0,        3, 0.2527640191516585,                5.0,                  5.0
             6.0,        1, 0.5418282154015285, 0.15010092653058063,                  0.0
             6.0,        0,         -1,                0.0,                  0.0
             2.0,        5, 0.07296119132015302,                5.0,                  5.0
             5.0,        4, 0.07168103202772433,                5.0,                  5.0
             3.0,        8, 0.05465277427857577,                5.0,                  5.0
             4.0,        5, 0.07380966868896516,                5.0,                  5.0
             3.0,        8, 0.056879219787979954,                5.0,                  5.0
             6.0,        4, 0.10359014775440613,                5.0,                  5.0
             5.0,        3, 0.11853142436774489,                5.0,                  5.0
             3.0,        1, 0.08800106456542899, 4.0584057399119535,                  5.0
             5.0,        7, 0.07275289483198018,                5.0,                  5.0
             7.0,        5, 0.08918843593431718,                5.0,                  5.0
             4.0,        6, 0.07209784737347191,                5.0,                  5.0
             3.0,        7, 0.06895752093782194,                5.0,                  5.0
             4.0,        6, 0.06584234175011766,                5.0,                  5.0
             8.0,        0,         -1,                5.0,                  5.0
             8.0,        3, 0.0969663082039698,                5.0,                  5.0
             6.0,        6, 0.09032914099638077, 4.0584057399119535,                  5.0
             8.0,        7, 0.09247312045150897,                5.0,                  5.0
             7.0,        5, 0.08918843593431718,                5.0,                  5.0
             4.0,        6, 0.07209784737347191,                5.0,                  5.0
             2.0,        4, 0.09077352341413028,                5.0,                  5.0
             6.0,        4, 0.08367947819256258, 4.0584057399119535,                  5.0
             5.0,        3, 0.3287966331049933,                5.0,                  5.0
